RAh,RAm,RAs,DE-,DEd,DEm,ESO,ID,GLON,GLAT,X,Y,MajAxis,u_MajAxis,MinAxis,u_MinAxis,PA,u_PA,MType,Class,Desc,FlagN,FlagM,FlagRC,FlagV,FlagA,Bmag,e_Bmag,apBmag,r_Bmag,B-V,U-B,r_B-V,RV,e_RV,r_RV
0,0,58,-,51,12.8,193- G  12,--,320.63,-64.51,7.3,-64.6,10,--,2,--,32,--,3,Sb:,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,1,0,-,59,54.1,111-IG  11,--,313.88,-56.48,7.8,4.5,10,--,3,--,--,:,--,Peculiar,"S-shaped, v open, np of 2",--,--,--,--,--,15.1,0.3,--,80,--,--,--,--,--,--
0,1,16,-,83,41.4,2- G   2,--,304.56,-33.56,2.1,72.0,10,--,4,--,163,--,5,S...,"F, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,1,24,-,73,45.0,28-SC   8,--,307.54,-43.23,6.5,67.6,60,:,--,--,--,--,--,OC,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,1,28,-,51,40.3,193- G  13,--,320.02,-64.13,11.3,-89.0,12,--,3,--,169,--,3,Sb,L in group,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,1,34,-,30,6.6,409-SC   9,OCl-43,15.58,-79.26,13.0,2.0,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,1,42,-,50,55.5,193- G  14,--,320.68,-64.82,13.5,-49.2,10,--,7,--,27,--,3,Sb,"P w G 15, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,1,44,-,30,10.1,409- G  10,--,15.24,-79.29,15.9,-0.9,10,--,9,--,--,:,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,0,-,50,53.9,193- G  15,--,320.6,-64.87,16.0,-47.7,10,:,7,:,--,:,6,Sc,"P w G 14, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,6,-,28,44.3,409- G  11,--,22.89,-79.57,20.2,75.3,11,--,3,--,35,--,-2,SO:,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,7,-,45,54.4,241- G  12,--,326.56,-69.29,20.4,-48.8,10,--,7,--,120,--,1,Sa,In G 13 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,9,-,30,45.7,409- G  12,MCG-5-1-28,12.02,-79.23,20.5,-32.6,15,:,12,:,154,:,-5,E,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,13,-,47,30.1,193- G  16,--,324.36,-67.92,19.0,133.3,10,--,2,--,56,--,3,Sb:,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,15,-,62,20.4,111- G  12,N 7823,312.26,-54.21,15.8,-125.5,10,--,9,--,--,:,6,Sc,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,19,-,54,45.8,149- G  16,--,317.08,-61.34,18.1,11.1,12,--,6,--,10,--,1,Sa,--,--,--,--,--,--,14.4,0.7,--,80,--,--,--,--,--,--
0,2,20,-,45,45.9,241- G  13,--,326.68,-69.43,22.3,-41.3,12,--,6,--,164,--,1,Sa,L in group,*,--,--,--,--,--,--,--,--,--,--,--,11900,10,2C
0,2,23,-,65,2.7,78- G  14,--,310.89,-51.64,13.6,12.4,11,--,6,--,150,--,--,Dwarf irr,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,27,-,30,47.1,409- G  13,MCG-5-1-30,11.82,-79.29,23.9,-33.8,12,--,9,--,118,--,-2,SO,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,35,-,51,6.0,193- G  17,--,320.21,-64.73,20.7,-58.6,10,:,8,:,171,--,-2,SO,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,46,-,20,58.0,538-**  19,N 7826,61.91,-77.66,29.0,-44.0,200,:,--,--,--,--,--,Conc of stars only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,55,-,36,13.3,349- G  23,--,348.05,-76.84,32.3,-59.0,14,--,2,--,55,--,4,Sb-c,P w G 25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,57,-,49,53.9,193- G  18,--,321.3,-65.84,24.4,5.5,10,--,4,--,84,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,57,-,50,32.9,193- G  19,--,320.64,-65.25,24.0,-29.2,24,:,14,:,78,:,6,Sc,"L in group, in cl",--,--,--,--,--,13.5,0.5,--,80,--,--,--,9800,10,2C
0,2,58,-,30,51.9,409- G  14,MCG-5-1-32,11.23,-79.38,29.9,-38.1,10,--,4,--,152,--,-2,SO,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,2,59,-,28,22.6,409-IG  15,MCG-5-1-31,24.83,-79.79,30.5,94.5,9,--,4,--,140,--,--,Double? system,Contact,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,5,-,35,5.6,349- G  24,--,352.04,-77.54,34.4,1.2,10,--,1,--,135,--,3,Sb:,In foreground of dist cl,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,9,-,36,13.7,349- G  25,--,347.9,-76.87,34.8,-59.4,11,--,10,--,--,:,3,Sb,P w G 23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,10,-,19,19.3,538- G  20,--,68.12,-76.75,34.8,43.6,10,--,5,--,63,:,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,10,-,46,35.8,241- G  14,--,325.16,-68.79,29.7,-85.7,15,:,2,--,10,--,5,S...,Abs lane,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,12,-,40,3.5,293-IG  32,--,336.9,-74.19,32.1,-0.8,11,:,6,:,--,:,--,...,Distorted,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,13,-,22,21.3,538- G  21,--,56.41,-78.46,34.6,-118.2,15,--,3,--,25,--,7,S.../Irr,F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,13,-,49,10.0,193- G  20,--,322.0,-66.51,27.2,44.4,10,--,1,:,158,--,3,Sb:,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,13,-,83,41.3,2- G   3,--,304.5,-33.58,4.9,72.1,10,:,9,:,--,:,5,S(r:)...,"Stellar centre, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,14,-,75,59.1,28- G   9,--,306.66,-41.09,11.7,-51.6,11,--,4,--,154,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,22,-,47,35.9,193-IG  21,--,323.79,-67.92,29.3,128.0,8,:,3,:,145,:,--,Double system,Bridge,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,23,-,31,22.9,409- G  16,MCG-5-1-33,8.43,-79.3,34.5,-65.6,14,--,4,--,9,--,1,Sa,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,24,-,28,59.6,409- G  17,--,21.32,-79.83,35.3,61.7,10,--,2,:,163,--,3,Sb:,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,26,-,36,23.6,349-IG  26,--,347.17,-76.81,37.9,-68.2,12,:,9,:,--,:,--,Triple system,"Connected, in G 27 group",--,--,--,--,--,--,--,--,--,--,--,--,8657,72,6
0,3,26,-,36,24.9,349- G  27,--,347.1,-76.8,37.9,-69.3,10,--,9,--,--,:,1,Sa,L in group,--,--,--,--,--,--,--,--,--,--,--,--,8385,53,6
0,3,27,-,44,5.6,241- G  15,--,328.77,-70.96,33.7,47.8,9,:,3,:,0,:,5,S...,Incl S comp s,*,--,--,--,--,16.2,0.3,--,80,--,--,--,--,--,--
0,3,31,-,30,54.4,409- G  18,MCG-5-1-34,10.84,-79.47,36.1,-40.3,11,--,6,--,29,--,1,Sa,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,31,-,32,58.9,349- G  28,--,0.63,-78.71,39.9,113.7,11,--,4,--,132,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,32,-,52,29.8,193- G  22,--,318.6,-63.51,27.8,-133.1,9,:,4,:,10,--,-2,SO,B in group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,37,-,50,55.5,193- G  23,--,320.03,-64.95,29.4,-49.3,10,:,2,:,155,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,38,-,51,57.5,193- G  24,--,319.06,-64.01,28.9,-104.4,9,--,2,--,26,--,5,S...,"B centre, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,39,-,23,7.8,472- G  14,MCG-4-1-14,53.11,-78.9,39.2,101.3,12,--,2,--,171,--,3,Sb:,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,40,-,40,29.6,293-IG  33,--,335.63,-73.91,36.8,-24.1,9,:,6,:,--,:,--,Double system,"Contact, tails",*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,48,-,41,46.3,293-IG  34,A 0003-41,332.83,-72.91,37.5,-92.2,55,:,10,:,20,:,--,Irr,Disturbed,*,--,2,--,--,13.0,0.3,--,80,--,--,--,1542,8,93
0,3,52,-,59,53.6,111- G  13,--,313.27,-56.6,26.9,4.9,13,--,1,--,132,--,6,Sc,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,57,-,32,14.1,409- G  19,MCG-5-1-35,3.95,-79.11,40.7,-111.2,13,--,5,--,133,--,3,Sb,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,57,-,32,35.0,349- G  29,--,2.28,-78.96,45.1,134.9,11,--,2,--,170,--,3,Sb:,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,3,57,-,54,6.4,149-IG  17,--,317.14,-62.04,31.0,46.0,10,:,4,:,--,:,--,SO+SO,Contact,--,--,--,--,--,14.8,0.3,--,80,--,--,--,--,--,--
0,4,5,-,30,35.5,409- G  20,--,12.33,-79.68,42.7,-23.6,12,--,1,--,135,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,5,-,44,47.1,241- G  16,--,327.38,-70.43,39.3,10.9,12,:,2,--,9,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,15,-,25,13.4,472- G  15,MCG-4-1-15,42.72,-79.74,45.8,-10.3,12,--,6,--,55,--,5,S...,F,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,18,-,35,30.7,349- G  30,--,349.79,-77.5,47.6,-21.2,12,--,6,--,25,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,19,-,42,7.0,293- G  35,--,331.88,-72.69,42.5,-110.6,14,:,9,:,54,--,--,Dwarf,"Asym, in IG 39 group",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,19,-,52,28.8,193- G  25,--,318.37,-63.57,34.1,-132.3,13,:,7,:,5,--,3,Sb,In G 22 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,21,-,50,41.6,193- G  26,--,320.01,-65.21,35.9,-37.1,12,:,7,:,89,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,27,-,51,7.0,193- G  27,--,319.56,-64.83,36.3,-59.7,12,--,8,--,3,:,4,SB(r)b-c,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,29,-,49,3.2,193-IG  28,--,321.65,-66.71,38.3,50.3,11,:,4,:,15,:,--,Compact + ...,eF bridge?,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,30,-,42,28.0,293-IG  36,--,331.12,-72.42,44.1,-129.3,4,:,2,:,--,:,--,Double(3?) system,Contact,--,--,--,--,--,16.1,--,32,99,--,--,--,--,--,--
0,4,34,-,41,38.1,293-IG  37,--,332.71,-73.11,45.2,-85.0,12,--,9,--,50,:,--,...,Distorted,*,--,--,--,--,14.0,0.3,--,80,--,--,--,14068,67,56
0,4,37,-,22,3.9,538- G  22,MCG-4-1-16,58.48,-78.6,52.0,-102.8,22,--,2,--,161,--,2,Sa-b:,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,38,-,67,6.8,78-IG  15,--,309.65,-49.71,24.4,-98.0,9,:,3,:,161,:,--,Double system,Connected?,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,43,-,52,53.9,149- G  18,--,317.89,-63.2,38.0,110.3,13,:,10,:,5,:,--,Dwarf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,44,-,80,35.2,12- G  15,--,305.24,-36.62,7.2,-25.5,18,--,2,--,120,--,4,Sb-c,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,49,-,28,24.0,409-IG  21,MCG-5-1-36,24.57,-80.19,51.9,93.1,14,:,6,:,153,:,--,Double system,Bridge  In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,49,-,64,49.3,78- G  16,--,310.59,-51.92,27.5,24.2,10,:,2,--,12,--,6,Sc,--,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,54,-,37,43.6,293- G  38,--,342.12,-76.13,51.0,123.3,11,:,3,--,0,--,5,S...,P w G 40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,57,-,42,1.9,293-IG  39,--,331.72,-72.83,48.8,-106.1,7,:,5,:,--,:,--,Double system,"Interaction, B in group",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,58,-,21,0.6,538- G  23,--,63.12,-78.11,56.7,-46.6,17,--,13,--,87,:,1,Sa:,"F, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,4,58,-,37,44.5,293- G  40,--,342.04,-76.13,51.7,122.5,10,:,5,:,98,--,--,Dwarf,P w G 38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,1,-,49,6.2,193- G  29,--,321.4,-66.7,42.9,47.6,10,:,5,:,175,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,2,-,47,29.8,241- G  17,--,323.25,-68.14,46.2,-133.8,15,--,1,:,119,--,6,Sc,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,7,-,42,10.8,293- G  41,--,331.36,-72.72,50.3,-114.1,11,--,2,--,170,--,5,S...,In IG 39 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,9,-,72,28.6,50- GA  5,--,307.61,-44.53,20.5,-127.1,10,--,2,--,54,--,5,S...,s of 2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,14,-,45,6.4,241-IG  18,--,326.36,-70.26,50.1,-6.5,3,:,2,:,160,:,--,"Double? system, or **?","Contact, p w G 19",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,21,-,45,5.6,241- G  19,--,326.33,-70.28,51.2,-5.8,10,:,3,:,61,--,-2,SO,P w IG 18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,41,-,34,51.4,349- G  31,LRLWW,351.47,-78.12,63.0,13.5,25,:,25,:,--,:,--,Dwarf irr,"Resolved, v dif env",--,--,--,--,--,--,--,--,--,--,--,--,207,7,1E
0,5,48,-,30,11.6,409- G  22,N 7 = MCG-5-1-37,13.99,-80.14,62.7,-2.5,27,--,6,--,29,--,6,Sc,Patchy,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,5,48,-,59,47.6,111- G  14,--,312.91,-56.77,40.0,10.0,27,--,15,--,160,--,6,Sc,--,--,--,--,--,--,14.0,0.7,--,80,--,--,--,--,--,--
0,6,2,-,34,8.2,349- G  32,N 10,354.21,-78.59,67.4,51.8,30,:,15,:,25,--,6,Sc,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--
0,6,9,-,50,53.8,193- G  30,--,319.19,-65.14,50.9,-48.2,10,--,2,--,125,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,18,-,50,10.8,193- G  31,--,319.83,-65.81,52.8,-10.0,9,--,3,--,75,--,-2,SO/N,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,22,-,31,21.8,409- *? 23,--,7.33,-79.91,68.5,-64.9,4,--,4,--,--,:,--,...,Star superimp on galaxy?,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,26,-,37,36.4,293- G  42,--,341.57,-76.43,67.2,129.5,10,:,6,--,132,--,1,Sa:,P w G 43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,32,-,33,11.6,349- G  33,--,358.11,-79.16,73.5,102.1,17,--,3,--,20,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,35,-,37,38.0,293- G  43,--,341.39,-76.43,68.9,128.0,10,:,7,:,171,--,-2,SO,P w G 42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,41,-,60,23.4,111- G  15,--,312.39,-56.23,45.3,-21.9,11,:,9,:,--,:,8,SBc/Irr,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,6,53,-,36,59.8,349- G  34,--,343.17,-76.92,74.3,-100.7,10,--,2,--,57,--,1,Sa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,4,-,32,33.3,349- G  35,I 1531,0.87,-79.57,80.0,136.0,16,:,13,:,138,:,-2,SO,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,4,-,46,28.2,241- G  20,--,323.68,-69.21,65.7,-79.4,10,--,9,--,--,:,4,Sb-c,In G 21 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,6,-,48,45.8,193- G  32,--,320.98,-67.15,61.4,65.4,12,:,8,:,92,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,20100,10,2C
0,7,11,-,76,36.3,28- G  10,--,306.17,-40.54,23.4,-85.0,10,--,7,--,62,--,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,22,-,36,55.2,349- G  36,--,343.12,-77.04,79.5,-96.7,10,--,10,--,--,:,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,23,-,49,14.0,193- G  33,--,320.38,-66.74,63.3,40.2,13,:,2,:,170,:,6,Sc,Connected w S comp n,*,--,--,--,--,15.2,0.3,--,80,--,--,--,--,--,--
0,7,23,-,64,39.0,78- G  17,I 1532,310.24,-52.16,42.3,33.0,20,:,6,--,74,--,5,SB...,Asym,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,24,-,25,14.4,472- G  16,N 24,43.69,-80.43,83.7,-11.6,90,:,17,:,46,--,6,Sc,--,--,1,2,--,--,12.1,0.08,--,2,0.6,-0.04,--,560,14,3
0,7,30,-,57,17.9,149- G  19,--,313.96,-59.21,54.5,-124.6,12,:,5,:,88,--,-3,E-SO,Brightest in group,--,--,--,--,--,--,--,--,--,--,--,--,9465,32,ES
0,7,45,-,18,32.6,538- G  24,MCG-3-1-21,73.88,-77.03,92.9,84.6,25,:,25,:,--,:,--,Dwarf spiral,--,--,1,--,--,--,--,--,--,--,--,--,--,1546,8,93
0,7,49,-,46,41.8,241- G  21,--,323.07,-69.07,72.2,-91.7,27,:,6,--,55,--,6,Sc:,L in group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,7,54,-,46,46.2,241- G  22,--,322.94,-69.01,72.9,-95.6,14,--,6,--,69,--,6,Sc,In G 21 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,0,-,29,4.2,409- G  24,--,20.12,-80.82,88.9,57.0,11,:,1,--,108,--,6,Sc:,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,9,-,57,15.8,149- G  20,--,313.81,-59.27,59.3,-122.9,13,:,7,--,5,--,6,Sc,In 149- G 19 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,10,-,57,4.8,149- G  21,--,313.92,-59.45,59.6,-113.1,11,--,6,--,97,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,12,-,59,58.4,111- G  16,--,312.29,-56.69,55.8,0.1,10,--,8,--,--,:,3,SBb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,14,-,47,21.2,241- G  23,--,322.1,-68.51,75.3,-126.8,21,--,10,--,163,--,3,S(r)b,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,22,-,21,20.8,538- G  25,MCG-4-1-19,64.0,-78.95,98.8,-65.0,18,--,4,--,103,--,-2,SO,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,22,-,39,45.1,293- G  44,--,334.71,-75.05,85.3,14.7,10,:,3,--,87,--,5,S...,S comp? 0.4 sf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,26,-,35,29.3,349- G  37,--,347.38,-78.17,92.3,-20.6,9,--,9,--,--,:,5,S(r)...,"Starlike centre, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,41,-,33,51.5,349- G  38,--,353.83,-79.2,96.8,66.2,16,--,8,--,57,--,3,Sb,S comp 2.0 s,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,43,-,59,25.9,111- G  17,--,312.45,-57.22,60.1,28.8,11,--,4,--,5,--,6,Sc,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,49,-,29,8.0,409- G  25,MCG-5-1-40,19.56,-80.99,98.4,53.5,19,:,10,:,23,--,-5,E,B and L in cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,53,-,41,40.5,293- G  45,--,330.32,-73.54,88.2,-87.9,25,:,6,:,137,--,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,55,-,49,0.7,193- G  34,--,320.02,-67.05,77.1,51.7,10,:,4,--,113,--,-2,SO,In cluster,--,--,--,--,--,15.3,0.7,--,80,--,--,--,--,--,--
0,8,55,-,57,14.1,149- G  22,--,313.64,-59.33,64.7,-121.5,12,:,7,:,35,--,2,Sa-b,In 149- G 19 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,8,59,-,63,24.3,78-IG  18,--,310.5,-53.41,53.6,99.0,10,:,3,:,100,:,--,...,"Pec, incl starlike obj f",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,6,-,37,13.0,349- G  39,--,341.09,-77.08,97.6,-112.9,16,:,5,:,163,--,10,Irr,Interacting w S comp 0.9 s,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,15,-,30,24.8,409- G  26,MCG-5-1-41,11.53,-80.8,102.2,-14.8,13,--,4,--,125,--,6,Sc,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,17,-,27,38.8,409-IG  27,--,29.1,-81.19,105.1,132.7,14,:,10,:,76,:,--,Double system,"F, contact, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,18,-,24,38.5,472- G  17,--,47.96,-80.67,107.2,19.9,11,--,4,--,42,--,-2,SO,In cluster,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,32,-,84,9.8,2- G   4,--,304.19,-33.15,13.2,46.5,10,--,5,:,0,--,3,Sb,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,34,-,47,34.4,193- G  35,--,321.29,-68.4,85.2,128.2,14,:,10,:,178,--,6,Sc,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,42,-,27,28.0,472- G  18,MCG-5-1-42,30.29,-81.28,109.4,-130.8,10,--,7,--,173,--,-2,SO(r),In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,43,-,23,46.8,472- G  19,--,53.05,-80.43,113.0,65.9,13,--,2,--,122,--,1,Sa:,--,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,9,44,-,62,17.8,111-IG  18,--,310.85,-54.5,62.1,-124.0,4,--,3,--,--,:,--,Peculiar,"Tail, disturbed?",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,10,31,-,24,29.6,472- G  20,MCG-4-1-20,49.41,-80.88,121.9,27.6,15,--,11,--,153,--,6,Sc,--,*,1,--,--,--,--,--,--,--,--,--,--,--,--,--
0,10,36,-,20,1.3,539- G   1,--,70.99,-78.53,-127.7,3.0,11,--,4,--,104,--,4,Sb-c,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,10,40,-,63,9.8,78- G  19,--,310.29,-53.69,64.2,111.5,14,:,10,:,10,:,-2,SB(r)O,eF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,10,46,-,49,37.2,193- G  36,--,318.71,-66.6,92.1,18.8,10,:,6,:,2,--,0,SO-a,Pw G 37,--,--,--,--,--,--,--,--,--,--,--,--,10300,90,2C
