HCG,z,n,log(sV),log(V),log(R),log(Ho.tc),log(Mv),log(Mp),log(Ma),log(Mm),log(M),log(L),log(M/L),log(rho)
60,0.0625,4,2.63,2.85,1.75,-1.99,46.18,46.65,46.69,46.75,46.67,37.75,2.21,-24.67
61,0.013,3,1.94,2.16,1.46,-1.6,44.56,45.05,44.92,45.43,44.99,37.11,1.16,-24.46
62,0.0137,4,2.46,2.69,1.43,-2.16,45.43,45.87,45.88,45.86,45.87,37.02,2.13,-23.51
63,0.0311,3,2.12,2.16,1.65,-1.41,44.73,45.2,45.23,45.23,45.22,37.53,0.97,-24.81
64,0.036,3,2.33,2.55,1.41,-2.03,45.15,45.79,45.62,45.51,45.57,37.16,1.69,-23.76
65,0.0475,5,2.51,2.74,1.66,-1.97,45.74,46.19,46.44,46.11,46.15,38.08,1.36,-23.93
66,0.0699,4,2.48,2.72,1.51,-2.1,45.68,46.2,46.19,46.19,46.19,37.68,1.79,-23.44
67,0.0245,4,2.32,2.56,1.69,-1.76,45.42,46.06,46.11,46.0,46.03,37.65,1.67,-24.14
68,0.008,5,2.19,2.42,1.52,-1.79,45.11,45.36,45.55,45.68,45.47,37.27,1.48,-24.18
69,0.0294,4,2.35,2.58,1.48,-1.99,45.31,45.77,45.84,45.53,45.67,37.2,1.76,-23.88
70,0.0636,4,2.16,2.31,1.86,-1.34,45.23,45.69,45.8,45.67,45.68,37.63,1.34,-24.99
71,0.0301,3,2.62,2.85,1.7,-2.04,46.27,46.69,46.55,47.05,46.62,37.4,2.51,-23.57
72,0.0421,4,2.42,2.66,1.55,-2.0,45.59,46.12,46.18,46.04,46.08,37.73,1.64,-23.66
73,0.0449,3,2.09,2.13,2.0,-1.02,45.1,45.55,45.6,45.87,45.57,36.89,1.97,-25.51
74,0.0399,5,2.5,2.73,1.59,-2.03,45.75,46.2,46.41,46.56,46.32,37.62,1.99,-23.55
75,0.0416,6,2.47,2.66,1.57,-1.98,45.52,46.14,46.35,45.13,45.93,37.55,1.67,-23.87
76,0.034,7,2.39,2.62,1.86,-1.65,45.75,46.18,46.53,46.07,46.13,37.59,1.82,-24.54
79,0.0145,4,2.14,2.36,0.83,-2.43,44.44,44.86,44.88,44.79,44.83,36.9,1.21,-22.74
80,0.031,4,2.43,2.67,1.4,-2.16,45.58,45.95,45.94,46.17,45.94,37.13,2.1,-23.34
81,0.0499,4,2.25,2.43,1.26,-2.06,44.89,45.55,45.59,45.4,45.48,37.13,1.64,-23.39
82,0.0362,4,2.79,3.03,1.85,-2.07,46.61,47.06,47.02,47.06,47.04,37.62,2.7,-23.6
83,0.0531,5,2.66,2.89,1.7,-2.08,46.19,46.61,46.79,46.74,46.68,37.31,2.66,-23.5
84,0.0556,5,2.31,2.52,1.77,-1.64,45.42,45.96,46.04,45.73,45.86,37.75,1.39,-24.55
85,0.0393,4,2.56,2.8,1.39,-2.3,45.87,46.27,46.29,46.41,46.28,37.25,2.32,-22.98
86,0.0199,4,2.43,2.66,1.67,-1.89,45.8,46.16,46.24,46.24,46.2,37.24,2.25,-23.9
87,0.0296,3,2.08,2.16,1.49,-1.56,44.65,44.85,44.95,45.47,44.91,37.35,0.84,-24.64
88,0.0201,4,1.43,--,1.83,0.94,--,--,--,--,--,37.53,--,--
89,0.0297,4,1.74,1.72,1.77,-0.84,43.9,44.79,44.93,44.98,44.86,37.33,0.81,-25.54
90,0.0088,4,2.0,2.22,1.47,-1.65,44.39,45.1,45.06,44.94,45.0,37.19,1.09,-24.49
91,0.0238,4,2.26,2.48,1.72,-1.66,45.35,45.86,45.9,45.47,45.71,37.62,1.37,-24.55
92,0.0215,4,2.59,2.83,1.45,-2.27,45.78,46.01,46.21,45.95,45.98,37.62,1.64,-23.47
93,0.0168,4,2.32,2.55,1.85,-1.59,45.78,46.05,46.15,46.3,46.1,37.45,1.93,-24.55
94,0.0417,7,2.68,2.92,1.76,-2.05,46.28,46.78,47.1,46.66,46.72,37.8,2.2,-23.66
95,0.0396,4,2.49,2.72,1.48,-2.13,45.72,45.96,46.11,45.95,45.99,37.53,1.7,-23.59
96,0.0292,4,2.12,2.34,1.48,-1.76,44.97,45.33,45.43,45.44,45.38,37.49,1.17,-24.15
97,0.0218,5,2.57,2.8,1.8,-1.9,46.14,46.55,46.74,46.51,46.53,37.28,2.54,-23.95
98,0.0266,3,2.08,2.31,1.44,-1.76,44.83,45.42,45.27,45.43,45.35,37.26,1.37,-24.06
99,0.029,5,2.42,2.65,1.63,-1.91,45.66,46.03,46.19,45.82,45.93,37.52,1.7,-24.05
100,0.0178,3,1.95,2.15,1.58,-1.46,44.69,45.25,45.12,45.44,45.19,36.97,1.5,-24.65
