HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Dyna,Type,MCount,AngSize,TotMag,Emag,z,Aname1,Aname2,Aname3,Aname4
47,10,23,8,+,13,59,10,*,S1,4,2.3,12.5,12.9,--,U5644,--,--,--
48,10,53,24,-,26,49,13,*,E1,4,5.0,11.6,12.1,--,--,--,--,--
49,10,53,18,+,67,26,47,*,E2,4,0.9,14.4,15.2,--,--,--,--,--
50,11,14,14,+,55,11,30,*,E2,5,0.7,14.4,15.5,--,--,--,--,--
51,11,19,42,+,24,34,3,*,E2,6,4.5,11.5,12.6,--,N3651,U6388,--,--
52,11,23,41,+,21,21,51,*,S1,4,3.2,12.8,13.4,--,--,--,--,--
53,11,26,21,+,21,3,7,*,S1,4,12.9,11.5,12.2,--,N3697,U6479,--,--
54,11,26,38,+,20,51,15,*,E2,4,0.7,14.3,15.0,--,ROSE27,I700,U6487,--
55,11,29,9,+,71,5,17,*,E3,5,0.9,13.4,14.9,0.052,ARP329,VV172,U6514,--
56,11,29,47,+,53,13,29,*,S3,5,2.1,12.2,13.1,0.027,ARP322,VV150,U6527,--
57,11,35,14,+,22,15,43,*,S2,8,5.5,11.4,12.6,--,ARP320,VV282,U6602,--
58,11,39,37,+,10,35,40,*,S3,5,8.8,12.6,13.5,--,N3825,U6668,--,--
59,11,45,51,+,13,0,15,*,E3,5,2.1,12.5,13.5,--,ROSE7,--,--,--
60,12,0,32,+,51,58,17,*,E2,4,2.3,13.4,14.4,--,--,--,--,--
61,12,9,52,+,29,27,21,*,E3,4,3.8,9.9,11.1,--,ROSE10,N4169,U7202,--
62,12,50,32,-,8,57,10,*,E3,4,3.7,11.6,12.4,--,--,--,--,--
63,12,59,25,-,32,29,58,*,S3,4,2.9,13.1,13.9,--,--,--,--,--
64,13,23,8,-,3,35,53,*,S2,4,1.7,13.4,14.4,--,--,--,--,--
65,13,27,6,-,29,14,30,*,E1,5,1.7,12.7,13.6,--,--,--,--,--
66,13,36,43,+,57,33,28,*,E1,4,1.0,13.8,14.5,--,VV135,--,--,--
67,13,46,26,-,6,57,26,*,E3,4,3.3,11.6,12.5,--,--,--,--,--
68,13,51,34,+,40,34,24,*,E3,5,9.2,9.5,10.5,0.008,N5353,--,--,--
69,13,53,12,+,25,18,26,*,S2,4,1.9,12.2,13.1,--,VV281,U8842,--,--
70,14,2,2,+,33,34,1,*,S2,6,3.4,12.1,13.2,--,--,--,--,--
71,14,8,48,+,25,43,11,*,S1,4,5.0,12.8,13.3,--,I4381,U9073,--,--
72,14,45,37,+,19,16,2,*,E3,5,1.8,11.9,13.2,0.043,ARP328,VV165,U9532,--
73,15,0,27,+,23,32,57,*,S1,5,4.8,12.5,13.0,--,ARP42,VV7,N5829,U9673
74,15,17,14,+,21,4,27,*,E2,5,1.9,12.1,12.9,--,VV139,--,--,--
75,15,19,20,+,21,21,43,*,E3,6,2.2,12.4,13.5,--,--,--,--,--
76,15,29,15,+,7,28,37,*,S3,5,3.3,12.3,13.6,--,--,--,--,--
77,15,47,6,+,21,58,47,--,E3,4,0.8,13.8,14.8,--,U10049,--,--,--
78,15,48,15,+,68,21,32,--,S3,4,3.5,12.7,13.5,--,U10057,--,--,--
79,15,57,1,+,20,53,34,*,E3,5,1.3,11.3,12.6,0.015,VV115,N6027,U10116,--
80,15,58,44,+,65,21,58,*,E2,4,1.7,12.6,13.3,--,--,--,--,--
81,16,15,53,+,12,54,54,*,E3,4,0.9,13.3,14.5,--,U10319,--,--,--
82,16,26,28,+,32,55,59,*,E2,4,3.1,12.2,13.1,--,N6162,U10403,--,--
83,16,33,14,+,6,22,17,*,E3,4,1.9,13.8,14.8,--,--,--,--,--
84,16,46,29,+,77,55,31,*,E3,6,2.4,13.5,14.7,--,--,--,--,--
85,18,51,26,+,73,17,19,*,E3,4,1.3,12.8,13.6,--,--,--,--,--
86,19,48,50,-,30,57,18,*,E2,4,4.0,12.3,13.2,--,--,--,--,--
87,20,45,20,-,20,1,33,*,S1,4,1.5,12.4,12.9,--,--,--,--,--
88,20,49,44,-,5,56,49,*,S3,4,5.2,11.3,12.2,0.02,N6978,--,--,--
89,21,17,34,-,4,7,17,*,S2,4,4.8,13.7,14.6,--,--,--,--,--
90,21,59,11,-,32,12,30,*,E3,4,7.4,9.1,10.1,0.009,N7172,--,--,--
91,22,6,22,-,28,1,18,*,S1,4,5.2,11.7,12.3,--,--,--,--,--
92,22,33,43,+,33,42,23,*,S2,5,3.2,11.1,12.0,0.02,ARP319,VV288,N7320,U12101
93,23,12,55,+,18,42,37,*,E3,5,9.0,10.9,12.0,--,ARP99,N7550,U12456,--
94,23,14,47,+,18,26,47,*,E1,7,2.8,12.3,13.1,--,ARP170,N7578,U12478,--
95,23,17,0,+,9,13,5,*,E3,4,1.5,11.9,13.1,--,ARP150,VV20,N7609,--
96,23,25,26,+,8,29,55,*,S2,4,2.3,11.5,12.0,--,ARP182,VV343,N7674,U12608
97,23,44,53,-,2,34,60,*,E2,5,5.2,11.5,12.4,--,--,--,--,--
98,23,51,39,+,0,5,42,*,E2,4,2.4,11.5,12.2,0.026,ARP323,VV208,N7783,U12837
99,23,58,10,+,28,6,38,*,S2,4,2.4,12.2,13.0,--,U12896,--,--,--
100,23,58,47,+,12,51,15,*,S1,4,3.6,11.5,12.1,--,N7803,U12906,--,--
