359+03.1   Th 3-28      17 27.8  -26 57   6   WR star
358+02.1   Ap 1-3       17 28.1  -28 22   2   no em. lines
349-03.2   IRAS1728-39  17 28.8  -39 49   6   =349-03.1
001+04.1   MaC 1-5      17 29.0  -24 43   4   Me star, GX 1+4: SS
359+03.3   Ap 1-4       17 29.0  -27 02   6   no em. lines, star
358+02.3   Th 3-29      17 29.3  -29 03   2   H-alpha only
359+02.2   Ap 1-5       17 30.0  -28 19   2   no em. lines
339-09.1   ESO-228-05   17 30.5  -51 01   4   galaxy
359+02.1   Th 3-30      17 30.6  -28 05   2   H-alpha only, SS
358+01.2   Th 3-31      17 31.1  -29 27   2   H-alpha only, SS
006+07.1   M 1-21       17 31.3  -19 07   6   symbiotic star
359+02.4   Th 3-32      17 32.1  -28 05   2   Be star with [NII]
000+02.2   ESO-520-13   17 36.2  -27 14   3   plate fault
359+01.2   Th 3-36      17 36.2  -28 46   2   M star
358-00.1   Bl 3-5       17 39.1  -30 26   2   early M star
351-05.1   He 2-275     17 42.1  -38 38   6   symbiotic star
328-17.1   He 2-269     17 42.2  -64 37   2   em. galaxy (IC 4662)
001+00.1   Bl 3-2       17 42.8  -26 57   2   H-alpha only
356-02.2   M 1-27       17 43.5  -33 08   2      NEW PN in S6
000-00.2   Bl 3-22      17 43.9  -29 00   2   H-alpha only?
000-00.1   Bl 3-4       17 44.0  -28 45   2   H-alpha only
357-02.1   Ae 2-M       17 44.5  -32 20   5   no em. lines
001-00.1   Bl 3-11      17 45.1  -28 00   2   peculiar Be star
001-00.2   Bl 3-3       17 46.4  -27 45   2   no em. lines
356-03.4   SM 4         17 46.6  -33 30   6   no em. lines
358-01.2   Sa 3-80      17 47.0  -30 57   2   H-alpha only, SS
357-03.1   He 2-294     17 48.5  -32 54   2   H-alpha only, SS
001-00.3   Bl 3-19      17 48.6  -27 47   2   Be star
000-01.4   Bl 3-14      17 49.2  -29 45   2   H-alpha only, SS
358-02.2   Bl 3-6       17 49.7  -31 19   2   H-alpha only?
359-02.1   Bl L         17 50.0  -30 17   2   H-alpha only, SS
001-01.1   Bl M         17 50.6  -28 27   2   H-alpha only
000-01.3   Bl O         17 50.6  -28 59   2   H-alpha only
358-03.2   H 2-30       17 53.0  -32 37   3   M star
000-02.3   H 2-32       17 53.2  -29 38   4   no [OIII] lines
345-11.1   ESO-279-14   17 55.9  -46 39   6   galaxy
006+00.1   V-V 2-1      17 57.0  -23 13   6   H-alpha only
001-03.1   H 1-47       17 57.4  -29 22   4   =001-03.2, Be star
003-01.1   He 2-325     17 58.0  -26 22   1   M-type em.-line star
001-03.2   Ap 1-7       17 58.3  -29 20   4   =001-03.1, Be star
349-10.1   ESO-280-02   18 00.9  -43 24   3   galaxy or reflection neb.
003-03.1   Sa 3-119     18 03.4  -27 45   3   M star
341-15.1   ESO-182-04   18 05.5  -52 34   3   galaxy
358-06.1   He 2-354     18 06.6  -33 20   4   Z And-type, WC features
003-04.10  ESO-456-64   18 07.4  -27 52   3   plate fault
003-04.1   Ap 1-10      18 07.6  -27 59   6   symbiotic star
003-04.6   Ap 1-11      18 07.9  -28 33   6   symbiotic star
018+03.1   M 4-8        18 09.4  -10 44   4   no [OIII] lines
000-06.1   ESO-456-73   18 09.4  -32 07   3   plate fault
009-02.1   He 2-374     18 12.5  -21 36   6   symbiotic star
030+08.1   K 4-1        18 14.0  +01 52   4   red star
004-05.4   K 2-9        18 15.5  -28 11   6   several stars
010-03.1   He 2-396     18 20.5  -21 55   4   Me star
008-06.1   H 2-47       18 25.8  -24 34   4   H-alpha only
009-06.1   ESO-522-29   18 26.0  -23 53   3   plate fault
037+07.1   K 4-2        18 29.8  +07 12   4   M star
348-16.1   ESO-281-07   18 29.8  -46 17   4   em. galaxy
026+01.1   V-V 1-8      18 30.6  -05 00   1   probably HII region
036+06.1   K 4-3        18 31.4  +05 51   4   M star
035+05.1   K 3-8        18 32.4  +05 02   4   M star
040+07.1   Y-C 46       18 34.0  +10 16   4   galaxy
044+08.1   K 3-10       18 37.8  +14 09   1   M8 star
056+14.1   K 2-6        18 39.1  +26 52   4   M star, no em. lines
012-07.1   He 2-417     18 39.6  -21 21   6   symbiotic star
038+04.1   K 4-4        18 41.8  +06 44   4   late-type star?
034+01.1   K 4-6        18 45.8  +01 40   4   H-alpha only
026-02.2   K 4-7        18 45.9  -06 44   6   symbiotic star
015-08.1   Y-C 29       18 46.2  -19 38   6   galaxy
356-18.1   ESO-337-04   18 54.9  -39 58   4   galaxy
028-04.2   Th 1-I       18 56.2  -05 26   3   M star
042+01.1   K 4-11       19 01.2  +08 40   4   late-type star?
043+01.1   K 4-13       19 01.8  +10 06   3   M star
035-02.1   K 4-14       19 02.1  +01 18   3   M star
034-02.1   K 4-15       19 02.3  +00 16   4   M star
033-04.1   K 4-17       19 06.8  -01 14   4   no [OIII] lines
044+01.1   K 3-23       19 07.4  +11 00   4   H-alpha em. star
037-02.1   Ap 3-1       19 08.1  +02 45   3   M star
050+03.1   M 1-67       19 09.3  +16 47   1   pop.I WN star + nebula
037-03.1   K 4-18       19 09.6  +02 33   3   M star
032-06.1   K 2-10       19 10.4  -03 37   6   probably plate fault
038-03.3   K 2-11       19 11.8  +03 30   6   several stars
045-00.1   K 4-21       19 12.1  +10 46   1   M7 star
037-04.1   K 3-28       19 12.8  +02 28   4   late-type star
038-04.1   K 4-22       19 15.3  +02 44   4   late-type star
049+00.1   K 4-23       19 16.3  +14 54   4   Me star
048-00.1   K 4-24       19 18.9  +14 01   1   M7 star
036-06.1   K 4-25       19 19.9  +00 07   4   no em. lines
037-06.2   K 4-26       19 21.0  +00 32   4   late-type star
047-03.1   K 4-27       19 28.0  +11 17   4   late-type star
057+02.1   K 4-29       19 28.5  +22 58   4   M star
009-21.1   K 1-5        19 29.3  -29 31   4   em. galaxy
050-03.1   K 4-31       19 34.8  +13 34   4   M star
055-01.2   K 3-44       19 38.7  +18 38   4   late M star
060+00.1   K 4-32       19 40.0  +24 23   4   late M star
059-00.1   He 2-446     19 42.0  +23 20   4   H-alpha em., Be star
064+02.1   K 4-33       19 43.7  +28 31   4   M star
054-03.1   K 4-34       19 44.2  +16 54   4   M star
057-02.1   K 4-35       19 46.7  +20 00   4   late M star
044-10.1   K 4-36       19 47.1  +05 11   4   M star
064+00.1   K 3-47       19 48.4  +28 04   1   M10e star, Mira var.
057-03.1   K 4-38       19 49.1  +19 50   4   late-type star?
060-02.1   K 4-39       19 51.0  +23 06   4   M star
062-01.1   K 4-40       19 52.1  +24 50   1   M6 star
069+01.1   KJ 1-2       19 59.0  +33 21   6   HII region
070+01.1   K 3-50       19 59.8  +33 24   1   compact HII region
070+01.2   NGC 6857     19 59.9  +33 23   1   HII region
063-03.2   K 4-42       20 04.6  +24 52   4   M star
074+01.1   M 1-76       20 14.6  +36 57   2   BQ[] star
081+03.1   K 3-59       20 23.5  +43 43   4   H-alpha em. star
088+06.1   Kr 1-2       20 34.1  +51 23   1   probably reflection nebula
075-04.1   He 2-468     20 39.3  +34 34   6   symbiotic star
084+02.1   K 4-54       20 41.2  +45 46   4   M star
093+05.1   K 4-44       20 59.0  +54 21   1   probably knot in 93+5.2
093+01.1   M 1-78       21 19.1  +51 41   6   HII region
050-36.1   A 76         21 27.5  -03 01   1   galaxy
065-27.2   CIPG 1       21 27.6  +11 57   2   H-alpha em. unlikely
097+03.1   A 77         21 30.6  +55 40   3   compact HII region
096+01.1   K 4-45       21 33.7  +53 34   4   HII region
353-55.1   ESO-289-19   22 18.1  -44 08   3   probably galaxy
104-06.1   M 2-54       22 49.5  +51 35   4   em.-line star
114+10.1   Kr 2-2       22 55.0  +71 12   1   probably reflection nebula
113+06.1   KJPN 7       23 05.7  +66 43   6   identical with KJ 2-2
108-05.1   K 4-46       23 07.1  +54 29   1   M-type star
113+05.1   KJ 2-2       23 07.2  +66 32   4   H-alpha em. star
110-00.1   We 1-12      23 10.0  +59 20   6   HII region
114+03.1   Anon.        23 33.2  +64 36   4   HII region (Sh 2-167)
