Field,NPC_RAh,NPC_RAm,NPC_DEdeg,Plate,RAh,RAm,RAs,DE-,DEd,DEm,Diff_X,Diff_Y,Exp.Y,Exp.M,Exp.d,ExpST.h,ExpST.m,Seeing,Obs_Code,Note
31,3,18,-75,3001,3,18,8,-,74,57.8,-0.46,-1.95,1978,9,29.29178,2,48,4,OPA,--
32,4,24,-75,425,4,27,24,-,74,51.7,-11.76,-7.38,1973,11,26.17231,3,45,2,HES,9
32,4,24,-75,425,4,27,24,-,74,51.7,-11.76,-7.38,1973,11,26.17231,3,45,2,HES,--
33,5,30,-75,1185,5,30,17,-,75,8.3,-0.97,7.37,1975,12,5.20103,5,0,2,OPA,--
34,6,36,-75,423,6,36,14,-,75,2.2,-0.82,2.0,1973,11,25.24291,5,23,2,DBA,--
35,7,42,-75,1254,7,42,7,-,75,8.3,-0.39,7.35,1976,1,29.14086,7,10,2,OPA,3
36,8,48,-75,1268,8,47,39,-,74,59.9,1.24,-0.07,1976,2,2.17842,8,20,2,OPA,--
37,9,54,-75,1249,9,54,12,-,74,58.5,-0.72,-1.3,1976,1,27.2412,9,27,5,HES,--
38,11,0,-75,491,11,0,13,-,75,4.9,-0.73,4.37,1974,2,25.18147,9,57,2,HES,7
39,12,6,-75,488,12,6,18,-,75,5.4,-1.03,4.8,1974,2,24.23545,11,11,2,HES,--
40,13,12,-75,904,13,11,13,-,75,1.4,2.7,1.24,1975,5,6.08588,12,14,3,GPA,--
41,14,18,-75,560,14,17,48,-,75,3.7,0.68,3.25,1974,4,22.16569,13,15,3,DBA,--
42,15,24,-75,931,15,24,16,-,75,10.3,-0.89,9.16,1975,6,6.1072,14,47,3,HES,--
43,16,30,-75,918,16,27,12,-,75,2.6,9.67,2.34,1975,5,18.18539,15,25,3,OPA,--
44,17,36,-75,547,17,36,8,-,75,3.0,-0.44,2.66,1974,6,17.14991,16,33,3,DBA,--
45,18,42,-75,915,18,41,26,-,75,2.7,1.97,2.36,1975,5,14.28981,17,40,5,OPA,1
46,19,48,-75,958,19,47,4,-,75,5.6,3.24,4.96,1975,6,13.27369,19,15,3,OPA,--
47,20,54,-75,925,20,53,28,-,74,57.5,1.85,-2.19,1975,5,22.36146,19,55,1,GPA,--
48,22,0,-75,578,22,0,0,-,75,3.4,-0.01,3.05,1974,7,24.2338,21,0,3,DBA,2
49,23,6,-75,1009,23,5,14,-,75,13.5,2.59,12.0,1975,7,13.33375,22,40,3,OPA,1
50,0,0,-70,404,0,0,4,-,70,5.7,-0.32,5.1,1973,11,21.10701,1,51,2,HES,--
51,0,52,-70,421,0,52,23,-,70,3.6,-1.72,3.2,1973,11,25.10787,2,8,2,DBA,--
52,1,44,-70,1061,1,44,15,-,70,5.2,-1.16,4.66,1975,9,4.29984,1,20,3,OPA,--
53,2,36,-70,412,2,36,7,-,70,2.4,-0.57,2.17,1973,11,23.09463,1,41,1,HES,--
54,3,28,-70,414,3,28,2,-,69,50.6,-0.17,-8.32,1973,11,23.2276,4,53,2,DBA,9
54,3,28,-70,414,3,28,2,-,69,50.6,-0.17,-8.32,1973,11,23.2276,4,53,2,DBA,--
55,4,20,-70,3002,4,20,20,-,69,59.7,-1.52,-0.27,1978,9,29.3458,4,6,4,OPA,--
56,5,12,-70,1133,5,12,7,-,69,57.9,-0.54,-1.83,1975,11,8.21932,3,40,2,HES,--
57,6,4,-70,406,6,4,15,-,70,1.7,-1.13,1.47,1973,11,21.23929,5,2,2,HES,--
58,6,56,-70,1192,6,56,19,-,70,17.6,-1.44,15.62,1975,12,5.26472,6,32,1,OPA,9
58,6,56,-70,1192,6,56,19,-,70,17.6,-1.44,15.62,1975,12,5.26472,6,32,1,OPA,--
59,7,48,-70,1222,7,48,9,-,69,53.8,-0.72,-5.51,1976,1,4.21258,7,15,2,GPA,--
60,8,40,-70,1293,8,40,22,-,70,1.5,-1.69,1.34,1976,2,7.15784,8,10,1,OPA,--
61,9,32,-70,867,9,31,39,-,70,2.7,1.62,2.44,1975,4,13.99567,8,37,5,GPA,--
62,10,24,-70,894,10,23,35,-,70,2.8,1.92,2.5,1975,5,3.97222,9,22,1,OPA,--
63,11,16,-70,1270,11,15,30,-,69,59.0,2.27,-0.91,1976,2,2.27676,10,42,4,HES,--
64,12,8,-70,899,12,7,34,-,70,2.4,1.99,2.15,1975,5,5.04083,11,5,2,OPA,--
65,13,0,-70,874,12,59,36,-,70,3.0,1.81,2.71,1975,4,16.12387,11,50,1,GPA,--
66,13,52,-70,538,13,52,4,-,70,3.0,-0.27,2.63,1974,6,14.9954,12,42,4,DBA,--
67,14,44,-70,905,14,43,34,-,70,9.4,1.99,8.35,1975,5,6.14544,13,40,3,OPA,--
68,15,36,-70,539,15,36,6,-,70,2.8,-0.48,2.48,1974,6,15.06188,14,18,4,DBA,--
69,16,28,-70,510,16,28,23,-,70,1.0,-1.74,0.9,1974,5,26.14558,15,0,1,DBA,7
70,17,20,-70,540,17,20,6,-,70,3.4,-0.43,3.01,1974,6,15.13944,16,10,4,DBA,--
71,18,12,-70,525,18,12,40,-,70,3.3,-3.03,2.93,1974,5,28.24053,17,25,4,DBA,2
72,19,4,-70,548,19,4,2,-,70,3.1,-0.12,2.78,1974,6,17.21155,18,2,3,DBA,--
73,19,56,-70,962,19,55,38,-,69,57.9,1.69,-1.84,1975,6,14.27442,19,20,2,OPA,2
74,20,48,-70,355,20,47,57,-,69,58.6,0.2,-1.26,1973,9,22.02499,19,56,2,HES,8
75,21,40,-70,559,21,40,1,-,69,55.2,-0.11,-4.27,1976,6,21.30172,20,30,4,DBA,2
76,22,32,-70,579,22,32,6,-,70,3.2,-0.44,2.81,1974,7,27.24638,21,30,2,DBA,2
77,23,24,-70,1037,23,22,56,-,69,59.7,4.9,-0.28,1975,8,14.25676,22,55,5,HES,1
78,0,0,-65,1159,23,59,58,-,65,16.8,0.19,14.9,1975,11,27.03309,0,26,2,GPA,--
79,0,44,-65,374,0,44,21,-,65,2.0,-1.93,1.8,1973,10,24.10175,23,53,2,HES,8
80,1,28,-65,365,1,27,57,-,65,2.3,0.31,2.06,1973,10,1.18671,0,25,2,HES,8
81,2,12,-65,358,2,11,46,-,64,59.9,1.34,-0.1,1973,9,22.24799,1,18,2,HES,8
82,2,56,-65,368,2,55,34,-,65,1.7,2.46,1.54,1973,10,2.24908,1,59,1,HES,8
83,3,40,-65,418,3,40,59,-,65,3.8,-5.53,3.41,1973,11,24.20271,4,21,1,HES,--
84,4,24,-65,413,4,25,57,-,64,59.4,-10.99,-0.54,1973,11,23.16319,3,20,2,DBA,--
85,5,8,-65,415,5,8,4,-,65,1.5,-0.4,1.31,1973,11,23.28716,6,19,2,HES,--
86,5,52,-65,410,5,52,43,-,64,58.9,-4.01,-0.99,1973,11,22.22964,4,52,2,HES,9
86,5,52,-65,410,5,52,43,-,64,58.9,-4.01,-0.99,1973,11,22.22964,4,52,2,HES,--
87,6,36,-65,1223,6,35,40,-,64,57.9,1.84,-1.9,1976,1,5.15791,6,0,4,GPA,1
88,7,20,-65,1181,7,20,0,-,65,3.1,-0.03,2.74,1975,12,4.27647,6,45,1,OPA,--
89,8,4,-65,1195,8,3,30,-,64,57.3,2.84,-2.41,1975,12,8.29323,7,25,1,OPA,--
90,8,48,-65,483,8,47,56,-,65,3.9,0.36,3.46,1974,2,23.09344,7,42,1,HES,--
91,9,32,-65,739,9,32,9,-,65,3.1,-0.8,2.77,1975,1,12.24063,8,28,1,DBA,--
92,10,16,-65,480,10,16,6,-,65,3.7,-0.53,3.26,1974,2,20.16257,9,10,2,HES,--
93,11,0,-65,908,10,59,44,-,65,2.2,1.55,1.92,1975,5,11.98293,10,9,5,HES,2
94,11,44,-65,895,11,43,40,-,65,2.7,1.86,2.44,1975,5,4.02971,10,45,1,OPA,--
95,12,28,-65,822,12,28,48,-,65,3.4,-4.52,3.06,1975,3,15.19047,11,20,1,DBA,--
96,13,12,-65,508,13,11,59,-,65,3.2,0.09,2.89,1975,5,26.02158,12,0,4,DBA,7
97,13,56,-65,542,13,56,7,-,65,2.5,-0.7,2.19,1974,6,15.99959,12,52,3,HES,--
98,14,40,-65,324,14,40,1,-,65,2.6,-0.06,2.34,1973,6,29.98633,13,29,1,HES,8
99,15,24,-65,536,15,23,58,-,65,3.1,0.23,2.72,1974,6,13.0618,14,10,3,DBA,2
100,16,8,-65,543,16,8,2,-,65,3.1,-0.2,2.74,1974,6,16.08824,15,0,3,DBA,--
101,16,52,-65,537,16,52,5,-,65,2.5,-0.44,2.21,1974,6,13.12413,15,40,5,DBA,2
102,17,36,-65,330,17,35,48,-,65,1.6,1.15,1.4,1973,7,3.11803,16,51,2,HES,8
103,18,20,-65,889,18,19,33,-,65,11.7,2.46,10.4,1975,4,20.34495,17,25,2,OPA,--
104,19,4,-65,545,19,4,5,-,65,2.8,-0.47,2.51,1974,6,16.21289,18,0,3,DBA,--
105,19,48,-65,554,19,47,59,-,65,4.0,0.06,3.52,1974,6,18.24068,18,48,2,DBA,--
106,20,32,-65,338,20,31,55,-,65,1.4,0.5,1.26,1973,8,2.14969,19,35,2,HES,8
107,21,16,-65,585,21,16,2,-,65,3.1,-0.21,2.78,1974,8,11.15348,20,15,2,DBA,--
108,22,0,-65,323,22,0,1,-,65,5.9,-0.06,5.25,1973,6,29.30347,21,3,1,HES,8
109,22,44,-65,644,22,46,7,-,65,4.1,-11.96,3.63,1974,10,16.03353,21,42,3,DBA,--
110,23,28,-65,1032,23,27,44,-,64,53.6,1.52,-5.73,1975,8,13.26295,23,0,5,GPA,--
111,0,0,-60,354,23,59,50,-,59,59.1,1.14,-0.8,1973,9,21.1503,22,53,2,HES,8
112,0,38,-60,362,0,37,51,-,59,59.0,0.98,-0.85,1973,9,30.1555,23,36,2,HES,8
113,1,16,-60,1086,1,15,23,-,59,56.4,4.13,-3.16,1975,10,1.20327,0,47,1,GPA,--
114,1,54,-60,653,1,54,13,-,60,1.7,-1.45,1.49,1974,10,18.15826,0,50,1,DBA,--
115,2,32,-60,1066,2,31,48,-,59,55.5,1.29,-4.0,1975,9,5.32481,2,0,3,OPA,--
116,3,10,-60,434,3,11,33,-,60,1.1,-10.31,1.0,1973,11,29.09487,2,5,4,DBA,--
117,3,48,-60,366,3,48,5,-,60,1.7,-0.51,1.54,1973,10,1.28851,2,52,3,HES,8
118,4,26,-60,634,4,26,2,-,60,2.6,-0.25,2.28,1974,10,12.27507,3,15,5,GPA,--
119,5,4,-60,650,5,4,11,-,60,1.8,-1.2,1.62,1974,10,17.28566,3,50,3,DBA,--
120,5,42,-60,660,5,41,50,-,60,4.5,1.09,4.03,1974,10,19.3079,4,30,1,DBA,--
121,6,20,-60,1141,6,20,9,-,60,9.5,-0.96,8.48,1975,11,10.30043,5,45,1,HES,--
122,6,58,-60,712,6,58,1,-,60,4.0,-0.12,3.58,1974,12,20.19401,5,50,1,DBA,--
123,7,36,-60,758,7,35,59,-,60,4.5,0.06,3.96,1975,1,19.1398,6,30,3,HES,--
124,8,14,-60,833,8,13,49,-,60,3.0,1.18,2.7,1975,3,17.0091,7,6,3,DBA,2
125,8,52,-60,490,8,52,2,-,60,3.7,-0.23,3.27,1974,2,25.09006,7,45,3,HES,7
126,9,30,-60,1231,9,30,2,-,60,3.2,-0.24,2.88,1976,1,10.26892,9,0,1,HES,--
127,10,8,-60,487,10,8,8,-,60,2.8,-0.9,2.46,1974,2,24.15096,9,9,1,HES,--
128,10,46,-60,484,10,45,59,-,60,3.7,0.06,3.33,1974,2,23.18001,9,47,1,HES,--
129,11,24,-60,803,11,23,43,-,60,3.1,1.89,2.72,1975,3,9.16876,10,25,1,HES,--
130,12,2,-60,1291,12,2,6,-,60,4.0,-0.72,3.53,1976,2,6.29908,11,30,2,OPA,--
131,12,40,-60,485,12,39,54,-,60,2.3,0.63,2.01,1974,2,23.25965,11,42,3,HES,--
132,13,18,-60,299,13,18,2,-,60,3.3,-0.21,2.96,1973,3,30.31717,15,24,3,HES,8
133,13,56,-60,551,13,55,59,-,60,2.5,0.12,2.23,1974,6,17.99621,12,55,2,DBA,--
134,14,34,-60,509,14,34,16,-,60,1.1,-1.76,0.95,1974,5,26.08324,13,30,2,DBA,7
135,15,12,-60,300,15,12,2,-,60,3.1,-0.24,2.79,1973,3,30.25484,13,54,3,HES,8
136,15,50,-60,518,15,51,27,-,60,3.0,-9.66,2.67,1974,5,27.13246,14,45,2,DBA,7
137,16,28,-60,552,16,28,1,-,60,2.6,-0.16,2.33,1974,6,18.10009,15,25,3,DBA,--
138,17,6,-60,519,17,6,3,-,60,2.9,-0.31,2.61,1974,5,27.19548,16,16,2,DBA,7
139,17,44,-60,858,17,43,37,-,60,2.7,2.51,2.37,1975,4,11.33836,16,40,2,GPA,--
140,18,22,-60,520,18,22,5,-,60,3.0,-0.58,2.66,1974,5,27.26058,17,50,2,DBA,7
141,19,0,-60,512,19,0,15,-,60,1.1,-1.68,1.02,1974,5,26.27023,18,0,2,DBA,--
142,19,38,-60,921,19,36,9,-,60,2.8,12.38,2.48,1975,5,20.31152,18,35,3,OPA,1
143,20,16,-60,987,20,15,31,-,60,6.3,3.27,5.63,1975,7,6.19565,18,53,4,HES,--
144,20,54,-60,595,20,54,1,-,60,2.7,-0.15,2.37,1974,8,14.12936,19,52,1,GPA,--
145,21,32,-60,342,21,32,10,-,60,3.2,-1.15,2.88,1973,8,3.18921,20,36,1,HES,8
146,22,10,-60,347,22,10,3,-,60,3.5,-0.36,3.08,1973,8,4.21003,21,10,1,HES,8
147,22,48,-60,360,22,48,4,-,60,3.1,-0.48,2.73,1973,9,23.10744,21,59,3,HES,8
148,23,26,-60,361,23,26,6,-,60,1.9,-0.72,1.66,1973,9,30.09525,22,9,2,HES,8
149,0,0,-55,357,23,59,58,-,54,58.4,0.26,-1.46,1973,9,22.15103,22,58,2,HES,8
150,0,33,-55,340,0,32,52,-,55,1.3,0.99,1.17,1973,8,2.31937,23,40,2,HES,8
151,1,6,-55,1033,1,5,54,-,55,4.0,0.82,3.54,1975,8,13.32528,0,30,5,GPA,3
152,1,39,-55,1069,1,38,33,-,55,8.0,3.38,7.09,1975,9,13.26627,1,7,4,GPA,--
153,2,12,-55,658,2,11,50,-,55,4.6,1.27,4.1,1974,10,19.16246,1,0,1,DBA,--
154,2,45,-55,633,2,45,11,-,55,3.1,-1.44,2.72,1974,10,12.20928,1,40,3,DBA,--
155,3,18,-55,1097,3,17,57,-,55,6.1,0.32,5.45,1975,10,3.27745,2,42,3,GPA,--
156,3,51,-55,1132,3,50,46,-,54,57.8,1.76,-1.93,1975,11,8.20547,3,20,2,HES,--
157,4,24,-55,369,4,24,5,-,55,0.7,-0.65,0.61,1973,10,2.26778,2,26,2,HES,8
158,4,57,-55,655,4,57,2,-,55,2.5,-0.21,2.21,1974,10,18.26907,3,30,2,DBA,--
159,5,30,-55,711,5,30,3,-,55,3.6,-0.35,3.2,1974,12,20.13515,4,25,1,DBA,--
160,6,3,-55,656,6,3,2,-,55,2.7,-0.21,2.44,1974,10,18.32171,4,46,1,DBA,--
161,6,36,-55,715,6,35,59,-,55,4.6,0.17,4.05,1974,12,21.17743,5,30,1,GPA,2
162,7,9,-55,1186,7,8,45,-,54,58.1,1.87,-1.67,1975,12,5.26333,6,30,2,OPA,2
163,7,42,-55,719,7,42,5,-,55,4.8,-0.59,4.29,1974,12,22.23495,6,57,5,DBA,--
164,8,15,-55,1230,8,15,6,-,55,8.6,-0.78,7.64,1976,1,10.21698,7,45,1,GPA,--
165,8,48,-55,500,8,47,53,-,55,5.4,0.84,4.8,1974,3,18.02925,7,40,1,HES,7
166,9,21,-55,814,9,20,49,-,55,2.6,1.36,2.32,1975,3,14.06161,8,10,1,DBA,--
167,9,54,-55,304,9,53,55,-,54,59.9,0.63,-0.13,1973,4,2.03057,8,42,3,HES,8
168,10,27,-55,793,10,27,5,-,55,3.0,-0.63,2.63,1975,2,19.17497,9,23,2,DBA,--
169,11,0,-55,854,10,59,39,-,55,1.6,2.66,1.4,1975,4,11.06134,10,0,3,GPA,--
170,11,33,-55,816,11,32,47,-,55,2.7,1.61,2.41,1975,3,14.16065,10,33,1,DBA,--
171,12,6,-55,849,12,5,51,-,55,2.9,1.09,2.59,1975,4,9.10489,10,55,2,GPA,--
172,12,39,-55,798,12,39,5,-,55,3.5,-0.66,3.07,1975,2,21.25746,11,30,2,DBA,2
173,13,12,-55,492,13,12,11,-,55,2.7,-1.39,2.36,1974,2,25.27358,12,10,3,HES,7
174,13,45,-55,302,13,45,5,-,55,3.1,-0.6,2.76,1973,3,31.19394,12,30,3,HES,8
175,14,18,-55,556,14,18,2,-,55,2.5,-0.26,2.25,1974,6,20.9984,13,10,1,DBA,--
176,14,51,-55,824,14,50,44,-,55,2.2,2.1,1.94,1975,3,15.29158,13,46,1,DBA,--
177,15,24,-55,916,15,23,48,-,55,2.3,1.54,2.05,1975,5,17.14657,14,25,2,OPA,--
178,15,57,-55,906,15,56,38,-,55,2.3,2.75,2.03,1975,5,6.24101,15,58,3,OPA,--
179,16,30,-55,557,16,30,3,-,55,2.8,-0.42,2.48,1974,6,21.09536,15,30,1,DBA,--
180,17,3,-55,864,17,2,47,-,55,2.7,1.6,2.4,1975,4,12.30447,15,55,1,GPA,--
181,17,36,-55,321,17,36,9,-,55,5.5,-1.17,4.88,1973,6,29.14627,17,16,2,HES,8
182,18,9,-55,553,18,9,1,-,55,2.8,-0.18,2.48,1974,6,18.16588,17,0,3,DBA,--
183,18,42,-55,576,18,42,1,-,55,2.4,-0.12,2.17,1974,7,24.09529,17,40,1,DBA,--
184,19,15,-55,993,19,14,54,-,55,7.6,0.79,6.75,1975,7,8.19088,18,54,3,GPA,6
185,19,48,-55,322,19,48,14,-,55,2.2,-1.75,2.0,1973,6,29.20998,18,48,1,HES,8
186,20,21,-55,920,20,20,45,-,55,2.1,1.95,1.88,1975,5,18.3516,19,25,5,OPA,1
187,20,54,-55,1008,20,53,34,-,55,9.3,3.38,8.3,1975,7,13.23887,20,23,3,OPA,6
188,21,27,-55,327,21,27,3,-,55,2.0,-0.41,1.74,1973,6,30.27443,20,25,2,HES,8
189,22,0,-55,571,21,59,57,-,55,2.5,0.33,2.19,1974,7,20.24818,21,5,3,HES,--
190,22,33,-55,350,22,33,7,-,55,2.9,-0.86,2.61,1973,8,5.21768,21,25,1,HES,8
191,23,6,-55,1001,23,6,3,-,55,8.9,-0.41,7.88,1975,7,10.34194,22,40,4,HES,--
192,23,39,-55,1557,23,39,11,-,55,11.5,-1.44,10.25,1976,6,30.35817,22,27,3,HES,--
193,0,0,-50,1163,0,0,6,-,50,0.2,-0.89,0.16,1975,11,28.03451,0,32,1,HES,--
194,0,30,-50,645,0,30,3,-,50,4.2,-0.46,3.76,1974,10,16.10486,23,25,4,GPA,--
195,1,0,-50,640,0,59,45,-,49,58.8,2.13,-1.04,1974,10,15.12837,23,55,3,GPA,2
196,1,30,-50,637,1,30,1,-,50,3.9,-0.17,3.46,1974,10,13.1546,0,25,3,GPA,2
197,2,0,-50,648,2,0,1,-,50,4.3,-0.1,3.85,1974,10,17.16446,0,55,2,DBA,2
198,2,30,-50,1070,2,29,20,-,50,7.0,5.72,6.23,1975,9,14.30717,2,10,3,GPA,--
199,3,0,-50,1092,3,0,3,-,50,3.3,-0.37,2.94,1975,10,2.27187,2,30,4,GPA,--
200,3,30,-50,649,3,30,2,-,50,2.9,-0.22,2.57,1974,10,17.22679,2,25,4,GPA,--
201,4,0,-50,642,3,59,53,-,50,4.1,1.05,3.68,1974,10,15.25303,2,55,4,GPA,2
202,4,30,-50,1104,4,29,40,-,49,56.6,2.93,-3.05,1975,10,5.32601,4,0,2,GPA,2
203,5,0,-50,1128,4,59,42,-,50,0.3,2.57,0.24,1975,11,7.25668,4,30,1,OPA,--
204,5,30,-50,1146,5,30,3,-,50,11.3,-0.44,10.03,1975,11,12.2638,5,0,1,HES,--
205,6,0,-50,1145,5,59,50,-,49,55.6,1.41,-3.89,1975,1,11.11663,5,25,2,HES,--
206,6,30,-50,1194,6,29,46,-,50,2.3,1.95,2.09,1975,12,8.2309,5,55,1,OPA,--
207,7,0,-50,1243,7,0,15,-,50,10.8,-2.08,9.62,1976,1,26.12135,6,30,4,GPA,--
208,7,30,-50,1323,7,30,17,-,49,59.0,-2.38,-0.85,1976,2,23.0449,6,30,2,OPA,--
209,8,0,-50,1263,7,59,49,-,50,8.3,1.53,7.39,1976,2,1.15067,7,36,2,HES,--
210,8,30,-50,1244,8,30,2,-,50,4.7,-0.28,4.14,1976,1,26.18368,8,0,4,GPA,--
211,9,0,-50,1236,8,59,59,-,50,1.6,0.09,1.44,1976,1,12.24407,8,32,2,GPA,--
212,9,30,-50,853,9,29,44,-,50,2.3,2.32,2.09,1975,4,2.02359,8,30,3,GPA,--
213,10,0,-50,802,9,59,51,-,50,3.5,1.22,3.1,1975,3,9.10643,8,55,1,OPA,--
214,10,30,-50,789,10,30,6,-,50,2.8,-0.8,2.5,1975,2,18.17908,9,25,1,DBA,--
215,11,0,-50,1261,10,59,46,-,49,56.9,2.04,-2.74,1976,1,31.27045,10,25,2,OPA,--
216,11,30,-50,873,11,29,44,-,50,2.2,2.23,1.99,1975,4,16.065,10,25,1,OPA,--
217,12,0,-50,1346,11,59,52,-,50,2.1,1.08,1.85,1976,2,29.23628,11,30,5,HES,--
218,12,30,-50,855,12,29,46,-,50,2.0,1.93,1.79,1975,4,11.12367,11,30,1,GPA,--
219,13,0,-50,791,13,0,5,-,50,3.5,-0.65,3.15,1975,2,18.28158,11,53,1,OPA,--
220,13,30,-50,936,13,29,41,-,50,4.4,2.65,3.94,1975,6,8.02694,12,59,4,GPA,6
221,14,0,-50,844,13,59,51,-,50,2.9,1.27,2.6,1975,4,8.19073,12,55,1,OPA,--
222,14,30,-50,893,14,29,44,-,50,2.1,2.23,1.83,1975,5,3.14324,13,25,1,OPA,--
223,15,0,-50,937,14,59,34,-,50,6.9,3.7,6.14,1975,6,8.08996,14,30,4,GPA,2
224,15,30,-50,951,15,29,31,-,50,5.7,4.09,5.03,1975,6,12.09982,15,0,3,OPA,--
225,16,0,-50,561,16,0,2,-,50,3.6,-0.32,3.18,1974,6,22.06839,14,55,4,DBA,2
226,16,30,-50,902,16,29,42,-,50,2.3,2.63,2.05,1975,5,5.22435,15,30,3,HES,--
227,17,0,-50,846,16,59,50,-,50,2.6,1.37,2.33,1975,4,8.31746,15,58,2,HES,--
228,17,30,-50,872,17,29,49,-,50,2.1,1.6,1.88,1975,4,15.32051,16,30,2,GPA,--
229,18,0,-50,586,18,0,2,-,50,2.8,-0.22,2.48,1974,8,12.01571,17,0,1,DBA,--
230,18,30,-50,917,18,29,49,-,50,2.6,1.55,2.27,1975,5,17.27123,17,25,4,OPA,2
231,19,0,-50,919,18,59,46,-,50,2.1,2.05,1.84,1975,5,18.29274,18,0,3,OPA,--
232,19,30,-50,594,19,30,1,-,50,4.2,-0.09,3.77,1974,8,14.07257,18,30,1,DBA,--
233,20,0,-50,998,19,59,47,-,50,10.4,1.79,9.26,1975,7,10.21243,19,33,5,GPA,--
234,20,30,-50,1005,20,29,40,-,50,8.1,2.88,7.18,1975,7,12.22567,20,0,3,OPA,--
235,21,0,-50,603,21,0,5,-,50,4.1,-0.77,3.61,1974,8,16.12944,20,0,1,GPA,--
236,21,30,-50,588,21,30,1,-,50,2.4,-0.21,2.17,1974,8,12.15422,20,20,1,DBA,--
237,22,0,-50,1006,22,0,3,-,50,1.8,-0.4,1.61,1975,7,12.28662,21,28,5,HES,--
238,22,30,-50,596,22,30,2,-,50,2.9,-0.22,2.55,1974,8,14.19724,21,30,1,DBA,--
239,23,0,-50,651,23,0,12,-,50,3.1,-1.69,2.8,1974,10,18.03707,21,55,1,DBA,--
240,23,30,-50,1094,23,30,11,-,50,4.9,-1.51,4.33,1975,10,3.1237,23,0,1,OPA,--
241,0,0,-45,1167,23,59,56,-,44,59.6,0.7,-0.37,1975,11,29.03458,0,36,3,GPA,--
242,0,28,-45,652,0,28,8,-,45,3.0,-1.29,2.7,1974,10,18.0994,23,25,2,GPA,--
243,0,56,-45,1065,0,55,54,-,45,9.9,0.96,8.83,1975,9,5.25556,0,20,3,OPA,--
