RFGC,FGC(E),m_FGC(E),PGC,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s,GLON,GLAT,PA,---,aO,bO,aE,bE,Btot,AB,MType,As,SB,N,Notes
24,9,E,478,0,6,22.6,-,59,36,50,0,3,51.4,-,59,53,32,313.27,-56.6,131,24,1.24,0.1,1.36,0.17,16.3,0.04,c,0,II,0,--
25,10,E,502,0,6,37.6,-,30,18,47,0,4,4.7,-,30,35,29,12.33,-79.68,134,25,0.98,0.09,0.95,0.1,16.7,0.05,c,0,II,0,Bright. Slightly curved
26,5,--,496,0,6,38.1,+,17,17,3,0,4,3.9,+,17,0,21,107.92,-44.28,66,26,1.14,0.15,1.16,0.2,16.1,0.12,dm,0,III,1,Diffuse on E print
27,6,--,527,0,6,53.7,+,41,44,26,0,4,18.5,+,41,27,44,114.09,-20.37,28,27,1.49,0.15,1.32,0.13,15.9,0.32,cd,2,II,3,--
28,11,E,553,0,7,9.1,-,80,18,36,0,4,45.7,-,80,35,18,305.24,-36.62,122,28,1.45,0.16,1.36,0.19,15.8,0.37,c,0,II,1,Faint ends. Slightly curved
29,7,--,566,0,7,15.5,+,33,55,5,0,4,40.5,+,33,38,23,112.55,-28.06,178,29,1.18,0.1,0.92,0.12,16.7,0.21,c,1,III,1,--
30,12,E,568,0,7,18.9,-,64,32,35,0,4,48.9,-,64,49,17,310.6,-51.92,14,30,0.85,0.12,0.84,0.12,16.5,0.08,cd,0,II,1,--
--,13,E,--,0,7,33.2,-,21,12,59,0,5,0.2,-,21,29,41,61.16,-78.38,55,--,0.53,0.06,0.54,0.08,17.4,0.08,d,0,II,0,--
31,14,E,587,0,7,33.4,-,47,13,8,0,5,1.6,-,47,29,50,323.24,-68.14,119,31,1.23,0.1,1.05,0.11,16.5,0.05,c,0,II,0,Curved. In cluster
32,15,E,--,0,7,34.7,-,53,43,7,0,5,3.5,-,53,59,49,316.9,-62.2,34,32,0.63,0.09,0.54,0.09,17.1,0.06,cd,0,II,1,--
33,16,E,--,0,8,0.1,-,50,38,35,0,5,28.7,-,50,55,17,319.4,-65.07,122,33,0.86,0.1,0.95,0.16,16.8,0.07,bc,0,III,4,Diffuse. In cluster
34,8,--,--,0,8,24.0,+,33,1,41,0,5,48.9,+,32,44,59,112.62,-28.98,14,34,1.14,0.11,1.01,0.11,16.5,0.18,cd,1,III,4,--
35,9,--,--,0,8,45.6,-,4,37,57,0,6,12.0,-,4,54,39,96.72,-65.31,108,35,0.72,0.09,0.67,0.1,16.9,0.13,cd,1,II,0,--
36,10,--,--,0,8,48.8,+,4,27,22,0,6,14.8,+,4,10,40,103.27,-56.78,127,36,0.78,0.11,0.67,0.11,16.8,0.1,d,2,III,2,--
37,17,E,--,0,9,2.3,-,26,28,23,0,6,29.7,-,26,45,4,34.49,-80.52,57,37,0.73,0.09,0.67,0.11,17.1,0.08,bc,0,III,0,Contrast nucl. and LSB disk
38,11,--,670,0,9,19.6,+,0,35,57,0,6,45.8,+,0,19,16,101.17,-60.48,40,38,1.01,0.12,0.9,0.15,16.5,0.12,b,0,II,1,--
39,12,--,--,0,9,21.0,+,30,40,0,0,6,45.9,+,30,23,19,112.33,-31.34,50,39,0.8,0.1,0.96,0.11,16.7,0.25,cd,2,III,0,Faint spur on the right
40,13,--,--,0,9,24.5,-,1,45,5,0,6,50.8,-,2,1,47,99.52,-62.7,42,40,0.9,0.1,0.71,0.11,16.9,0.17,bc,1,III,1,Compact companion at 1.3 W
41,18,E,--,0,9,31.6,-,28,1,16,0,6,59.2,-,28,17,57,25.03,-80.67,72,41,0.68,0.08,0.51,0.09,17.4,0.06,c,0,III,0,Loose
42,19,E,--,0,9,44.1,-,17,3,33,0,7,11.1,-,17,20,14,77.03,-76.06,117,42,0.61,0.06,0.58,0.09,17.4,0.15,c,1,II,2,--
43,14,--,--,0,9,49.4,+,39,7,57,0,7,13.6,+,38,51,16,114.18,-23.03,22,43,0.72,0.09,0.69,0.1,16.9,0.31,cd,0,II,0,--
44,15,--,--,0,9,53.8,+,28,32,59,0,7,18.6,+,28,16,17,111.99,-33.44,43,44,0.87,0.12,0.87,0.16,16.6,0.17,bc,0,III,3,--
45,16,--,731,0,10,26.3,+,28,59,17,0,7,51.0,+,28,42,36,112.23,-33.03,6,45,1.98,0.16,1.79,0.21,15.8,0.18,c,0,III,4,Dust lane
46,17,--,--,0,10,46.7,-,0,53,33,0,8,12.9,-,1,10,15,100.85,-62.01,61,46,0.73,0.06,0.62,0.07,17.4,0.18,d,0,III,1,Knotty
47,20,E,--,0,10,51.8,-,58,11,49,0,8,22.5,-,58,28,31,313.05,-58.13,46,47,0.63,0.08,0.61,0.1,17.3,0.04,c,0,III,0,--
48,21,E,--,0,10,56.6,-,26,33,0,0,8,24.3,-,26,49,41,34.3,-80.95,95,48,0.74,0.09,0.7,0.12,16.9,0.08,c,0,II,2,--
49,18,--,--,0,11,7.8,+,33,54,13,0,8,32.1,+,33,37,32,113.44,-28.22,109,49,1.12,0.11,0.9,0.12,16.6,0.2,c,1,III,0,--
50,19,--,--,0,11,20.1,-,13,58,19,0,8,47.1,-,14,15,0,85.52,-73.86,49,50,0.74,0.1,0.67,0.11,16.9,0.12,bc,0,II,1,--
51,22,E,--,0,11,28.1,-,32,26,2,0,8,56.3,-,32,42,44,359.06,-79.84,177,51,0.95,0.09,0.66,0.11,16.8,0.06,d,1,II,2,Curved.Interacting.In group
52,23,E,--,0,12,37.2,-,26,22,12,0,10,5.1,-,26,38,53,35.73,-81.3,2,52,0.91,0.09,0.66,0.09,16.9,0.07,c,1,II,1,--
53,24,E,--,0,12,39.0,-,25,4,44,0,10,6.8,-,25,21,25,44.01,-81.06,154,53,0.65,0.09,0.86,0.11,16.8,0.07,cd,0,II,2,--
54,20,--,--,0,13,11.1,+,86,57,7,0,9,37.6,+,86,40,26,122.38,24.12,56,54,0.66,0.08,0.75,0.09,17.0,0.92,cd,1,II,1,Curved. Dw.gal.0.9  at 3.5 N
55,25,E,--,0,13,15.1,-,26,48,18,0,10,43.1,-,27,4,59,32.93,-81.49,159,55,0.61,0.07,0.54,0.09,17.3,0.09,c,0,II,1,--
56,21,--,889,0,13,17.6,+,17,1,47,0,10,42.8,+,16,45,6,110.01,-44.88,106,56,2.4,0.31,2.02,0.26,14.8,0.18,dm,2,II,0,Blue.Patchy.Sp.gal.at 0.5 SE
--,26,E,--,0,13,18.1,-,38,43,48,0,10,47.2,-,39,0,29,335.03,-75.93,163,--,0.54,0.05,0.48,0.08,17.7,0.07,cd,0,II,3,--
57,27,E,--,0,13,29.6,-,68,14,29,0,11,4.9,-,68,31,10,308.22,-48.5,3,57,0.8,0.09,0.82,0.11,16.8,0.13,c,0,II,1,Knots. Compan. 0.2 at 1.4 SE
58,22,--,--,0,13,41.1,+,5,58,40,0,11,6.9,+,5,42,0,106.13,-55.66,54,58,1.01,0.1,1.03,0.12,16.5,0.1,c,0,II,1,Compan. at 2.5 NE
59,23,--,--,0,13,48.4,+,43,19,11,0,11,11.2,+,43,2,30,115.71,-19.02,97,59,1.51,0.17,1.32,0.16,15.8,0.32,bc,1,II,1,Two-layers. Knotty centre
60,24,--,937,0,14,12.9,+,7,24,44,0,11,38.7,+,7,8,4,106.98,-54.3,24,60,1.01,0.11,0.95,0.12,16.4,0.48,cd,2,II,1,--
61,25,--,--,0,14,15.4,+,1,55,42,0,11,41.5,+,1,39,1,104.33,-59.59,128,61,0.87,0.11,0.78,0.13,16.8,0.11,bc,1,III,1,--
62,26,--,--,0,14,26.2,+,7,18,2,0,11,52.0,+,7,1,22,107.03,-54.42,108,62,0.64,0.09,0.58,0.1,17.3,0.36,d,1,IV,0,--
63,28,E,988,0,14,48.6,-,55,52,57,0,12,20.6,-,56,9,38,313.38,-60.5,112,63,1.04,0.12,0.93,0.11,16.4,0.06,bc,0,II,0,Faint curved ends
64,29,E,--,0,14,49.2,-,58,38,20,0,12,21.9,-,58,55,1,311.88,-57.85,20,64,0.73,0.09,0.72,0.11,16.9,0.04,c,0,II,1,--
--,30,E,--,0,15,4.2,-,37,2,56,0,12,33.4,-,37,19,37,338.43,-77.45,172,--,0.58,0.07,0.53,0.06,17.3,0.06,c,0,II,0,Knots. Very faint ends
65,27,--,--,0,15,55.4,+,16,0,15,0,13,20.4,+,15,43,35,110.6,-46.02,56,65,0.95,0.12,0.99,0.12,16.4,0.23,c,0,II,2,Compact compan. at 2.5 NE
66,28,--,--,0,15,57.5,+,3,29,28,0,13,23.5,+,3,12,48,105.95,-58.21,18,66,0.78,0.11,0.78,0.12,16.7,0.11,bc,1,II,0,--
67,31,E,1078,0,16,15.9,-,34,30,32,0,13,45.1,-,34,47,13,346.4,-79.45,137,67,0.9,0.09,0.87,0.09,16.7,0.06,d,0,II,3,Faint curved ends
68,32,E,1091,0,16,31.0,-,33,54,25,0,14,0.3,-,34,11,5,348.75,-79.88,145,68,0.95,0.1,0.87,0.11,16.6,0.07,bc,0,II,1,Diffuse
69,33,E,--,0,16,47.5,-,42,19,1,0,14,17.9,-,42,35,41,325.66,-73.25,131,69,0.74,0.07,0.67,0.1,17.1,0.04,cd,0,II,0,--
70,29,--,1195,0,18,24.5,+,17,50,2,0,15,49.2,+,17,33,23,111.91,-44.33,110,70,0.95,0.12,0.97,0.14,16.4,0.2,c,1,II,0,--
71,30,--,--,0,19,5.6,+,26,37,34,0,16,29.2,+,26,20,55,114.03,-35.69,177,71,1.01,0.11,1.21,0.12,16.3,0.17,d,0,II,1,--
72,34,E,--,0,19,26.7,-,31,54,14,0,16,56.3,-,32,10,54,356.55,-81.56,6,72,0.63,0.09,0.67,0.1,17.0,0.07,c,0,II,0,--
73,31,--,--,0,19,35.8,+,18,39,43,0,17,0.2,+,18,23,4,112.5,-43.56,34,73,1.12,0.09,0.99,0.1,16.5,0.22,dm,2,II,1,Blue. Winding
74,32,--,1269,0,19,41.7,+,0,22,33,0,17,7.9,+,0,5,54,106.14,-61.46,146,74,1.06,0.12,0.95,0.12,16.4,0.11,c,1,II,0,Compan. at 0.5 E
75,35,E,--,0,20,3.7,-,25,19,10,0,17,32.5,-,25,35,48,45.59,-82.74,59,75,0.82,0.09,0.73,0.09,17.0,0.06,c,0,III,0,Contrast nucl. In cluster ?
76,36,E,--,0,20,13.8,-,45,49,30,0,17,45.7,-,46,6,9,319.23,-70.3,60,76,0.63,0.09,0.56,0.09,17.1,0.04,bc,0,II,0,--
77,37,E,--,0,20,22.4,-,49,15,14,0,17,55.1,-,49,31,52,316.02,-67.08,25,77,0.82,0.11,0.83,0.11,16.7,0.06,c,0,III,5,In interact.galaxies group
78,38,E,1324,0,20,40.3,-,56,24,51,0,18,15.1,-,56,41,29,311.5,-60.2,163,78,0.9,0.12,0.95,0.11,16.4,0.05,bc,0,II,0,Knots. Faint ends
79,33,--,--,0,20,52.4,+,26,58,55,0,18,15.8,+,26,42,17,114.57,-35.39,150,79,0.9,0.11,0.84,0.11,16.4,0.13,dm,1,I,0,--
80,39,E,--,0,20,54.6,-,60,14,40,0,18,30.9,-,60,31,18,309.79,-56.48,52,80,0.82,0.09,0.78,0.11,16.8,0.06,c,0,II,1,--
81,34,--,1346,0,20,59.9,+,7,37,21,0,18,25.4,+,7,20,42,109.88,-54.48,18,81,1.23,0.11,1.16,0.13,16.5,0.17,c,0,III,2,--
82,40,E,1364,0,21,20.6,-,40,27,58,0,18,51.8,-,40,44,37,326.02,-75.28,49,82,1.08,0.15,1.05,0.11,16.0,0.03,cd,1,I,1,Knots
83,35,--,1368,0,21,27.0,-,4,13,53,0,18,53.7,-,4,30,31,104.27,-66.01,37,83,1.9,0.15,1.66,0.2,15.9,0.11,bc,0,III,2,LSB disk. Very red nucleus
84,41,E,1378,0,21,27.7,-,54,16,4,0,19,2.2,-,54,32,42,312.36,-62.31,121,84,1.08,0.15,1.14,0.15,16.0,0.06,cd,1,II,0,--
85,36,--,--,0,22,8.5,+,10,22,48,0,19,33.6,+,10,6,10,111.23,-51.82,149,85,0.9,0.11,0.91,0.11,16.5,0.5,d,0,II,1,--
86,37,--,1422,0,22,15.2,+,20,36,29,0,19,39.1,+,20,19,51,113.76,-41.74,161,86,1.04,0.14,1.01,0.16,16.2,0.31,c,1,II,1,--
87,38,--,--,0,22,28.2,-,10,41,54,0,19,55.6,-,10,58,32,99.01,-72.21,105,87,0.76,0.08,1.01,0.08,16.9,0.14,d,0,III,0,--
88,42,E,1466,0,22,53.5,-,41,54,54,0,20,25.4,-,42,11,32,322.66,-74.1,154,88,0.9,0.07,0.87,0.09,17.0,0.03,c,0,II,3,In group or cluster
89,43,E,1473,0,22,57.5,-,35,49,4,0,20,28.3,-,36,5,42,336.07,-79.41,26,89,0.73,0.09,0.67,0.08,16.9,0.05,d,1,II,1,Knotty
90,40,--,--,0,23,6.4,+,20,58,18,0,20,30.2,+,20,41,41,114.1,-41.41,138,90,0.71,0.1,0.56,0.1,17.2,0.37,dm,2,IV,1,Wedge-like on blue print
91,44,E,--,0,23,7.7,-,25,10,52,0,20,36.9,-,25,27,29,48.39,-83.36,36,91,0.83,0.1,0.58,0.11,17.0,0.06,c,1,III,2,Contrast nucl. and LSB disk
92,39,--,1498,0,23,7.8,+,35,8,49,0,20,29.6,+,34,52,12,116.42,-27.37,140,92,0.76,0.1,0.69,0.1,16.9,0.3,cd,0,III,2,--
93,41,--,--,0,23,20.7,+,41,59,6,0,20,41.2,+,41,42,29,117.36,-20.58,47,93,0.81,0.1,0.69,0.11,16.8,0.28,c,1,II,1,--
94,45,E,--,0,23,40.4,-,38,39,58,0,21,11.9,-,38,56,35,327.9,-77.08,101,94,0.69,0.09,0.66,0.09,16.9,0.07,cd,0,II,2,Faint ends
95,42,--,1525,0,24,2.7,+,16,29,11,0,21,27.0,+,16,12,34,113.48,-45.88,55,95,6.16,0.64,5.6,0.6,13.3,0.28,c,0,II,0,Two-layers
96,46,E,1536,0,24,28.3,-,71,44,44,0,22,15.3,-,72,1,21,305.92,-45.23,9,96,1.13,0.09,1.06,0.1,16.7,0.13,c,0,III,0,Slightly curved
97,48,E,1568,0,24,58.9,-,81,23,44,0,23,12.3,-,81,40,21,304.15,-35.67,124,97,1.04,0.1,1.06,0.19,16.6,0.43,d,0,III,0,--
--,47,E,--,0,25,9.4,-,60,52,2,0,22,48.2,-,61,8,39,308.64,-55.97,152,--,0.53,0.07,0.5,0.08,17.4,0.06,cd,0,II,0,--
98,43,--,--,0,25,13.3,+,13,32,17,0,22,37.9,+,13,15,40,113.22,-48.84,83,98,0.8,0.09,0.74,0.1,17.1,0.39,cd,1,IV,3,--
99,44,--,1609,0,25,47.7,-,2,17,3,0,23,14.2,-,2,33,40,107.96,-64.41,14,99,2.46,0.22,2.24,0.22,15.2,0.1,c,0,II,0,Dust lane
100,49,E,--,0,25,59.4,-,28,34,37,0,23,29.5,-,28,51,14,17.02,-84.19,50,100,0.67,0.09,0.58,0.1,17.0,0.07,c,0,II,1,El.compan. 0.2 at 1.3 SE
101,45,--,--,0,26,2.9,+,49,29,2,0,23,20.8,+,49,12,26,118.7,-13.18,8,101,1.06,0.11,0.91,0.12,16.5,0.51,m,2,III,1,Bluish
102,46,--,1665,0,27,2.9,+,11,35,2,0,24,27.6,+,11,18,27,113.45,-50.84,23,102,3.14,0.34,2.97,0.44,14.5,0.3,c,2,II,0,Interact.w.compan.at2.4W
103,47,--,--,0,27,10.6,-,10,19,19,0,24,38.2,-,10,35,55,103.0,-72.25,52,103,0.95,0.1,1.0,0.11,16.5,0.17,cd,1,II,1,--
104,50,E,--,0,27,27.1,-,40,36,20,0,24,59.9,-,40,52,56,321.58,-75.64,40,104,1.08,0.15,1.05,0.11,16.0,0.05,cd,1,I,1,Interact. in group.LSB arms
105,51,E,1701,0,27,34.2,-,34,11,49,0,25,5.7,-,34,28,25,337.43,-81.27,60,105,1.67,0.23,1.42,0.21,15.4,0.04,b,0,I,0,Round buldge
106,52,E,--,0,27,59.6,-,16,46,38,0,25,28.2,-,17,3,13,94.07,-78.31,39,106,0.95,0.07,0.86,0.06,17.2,0.1,c,0,IV,0,--
107,48,--,--,0,27,59.9,-,7,34,4,0,25,27.2,-,7,50,39,106.0,-69.67,126,107,0.73,0.1,0.76,0.11,16.8,0.17,c,1,II,0,--
108,53,E,1729,0,28,4.6,-,58,6,10,0,25,43.5,-,58,22,45,308.88,-58.75,30,108,1.2,0.16,1.16,0.18,16.0,0.04,c,1,II,1,Dust lane. Wavy
109,49,--,1751,0,28,27.8,-,7,23,27,0,25,55.1,-,7,40,2,106.45,-69.52,64,109,1.23,0.16,1.12,0.17,16.0,0.18,bc,0,II,0,--
110,50,--,1778,0,28,59.8,+,15,58,13,0,26,23.8,+,15,41,39,115.08,-46.56,19,110,1.12,0.15,1.06,0.17,16.3,0.43,c,0,III,2,--
111,54,E,--,0,29,3.0,-,20,42,22,0,26,32.3,-,20,58,56,83.21,-81.79,157,111,0.61,0.08,0.69,0.09,17.1,0.09,c,0,II,0,Curved ends.Gal.0.2 at 1.0 NW
112,51,--,1781,0,29,8.2,+,15,54,0,0,26,32.2,+,15,37,25,115.11,-46.63,133,112,2.24,0.22,2.02,0.26,15.3,0.41,dm,2,III,1,--
113,53,--,1797,0,29,23.4,+,31,22,57,0,26,44.6,+,31,6,23,117.43,-31.25,119,113,1.12,0.09,1.18,0.11,16.5,0.28,d,0,II,1,--
114,52,--,--,0,29,25.7,+,43,32,14,0,26,44.3,+,43,15,40,118.71,-19.15,48,114,0.84,0.1,0.74,0.1,16.9,0.35,c,0,III,0,--
115,54,--,--,0,29,43.5,-,10,16,16,0,27,11.3,-,10,32,50,105.02,-72.38,43,115,0.88,0.11,0.86,0.11,16.5,0.14,cd,1,II,0,--
116,55,--,--,0,29,56.5,+,10,42,0,0,27,21.2,+,10,25,26,114.37,-51.81,63,116,1.2,0.12,1.24,0.2,16.2,0.59,bc,0,II,0,--
117,55,E,1831,0,29,56.7,-,45,8,6,0,27,31.3,-,45,24,40,314.94,-71.49,15,117,0.98,0.1,0.95,0.13,16.6,0.04,bc,0,II,0,Contrast buldge and LSB arms
118,56,--,1836,0,29,57.1,-,11,17,49,0,27,25.0,-,11,34,24,104.21,-73.38,98,118,1.14,0.15,1.13,0.15,16.0,0.13,cd,0,II,2,--
119,56,E,1845,0,30,12.2,-,41,6,7,0,27,45.8,-,41,22,42,318.94,-75.36,104,119,2.03,0.16,2.13,0.16,15.5,0.06,bc,0,II,0,--
120,57,--,--,0,31,16.6,+,30,19,48,0,28,37.7,+,30,3,15,117.78,-32.34,138,120,0.87,0.1,0.63,0.1,17.1,0.21,c,1,IV,2,--
121,57,E,--,0,31,22.1,-,34,1,52,0,28,54.3,-,34,18,25,333.72,-81.86,164,121,0.7,0.09,0.73,0.11,16.9,0.05,c,0,II,1,--
122,58,--,1926,0,31,28.1,-,19,45,43,0,28,57.6,-,20,2,17,90.03,-81.33,0,122,1.81,0.13,1.81,0.15,15.8,0.09,d,0,II,0,--
123,59,--,1933,0,31,35.9,+,14,36,45,0,28,59.8,+,14,20,11,115.75,-47.98,40,123,1.4,0.13,1.23,0.13,16.1,0.26,c,1,II,1,Bright star projected
124,58,E,1942,0,31,49.4,-,26,43,12,0,29,20.1,-,26,59,45,37.15,-85.61,82,124,2.8,0.28,2.61,0.3,14.7,0.05,b,0,I,0,Dust lane
125,59,E,--,0,32,15.3,-,42,3,50,0,29,49.7,-,42,20,24,316.41,-74.56,33,125,0.69,0.09,0.79,0.1,16.8,0.06,c,0,II,1,--
126,60,--,1970,0,32,30.9,+,2,34,30,0,29,56.7,+,2,17,57,113.46,-59.95,172,126,1.34,0.19,1.32,0.17,15.7,0.09,d,1,II,2,Knotty
127,60,E,--,0,33,0.2,-,30,56,49,0,30,32.0,-,31,13,22,348.37,-84.45,84,127,0.77,0.09,0.75,0.1,16.9,0.06,bc,0,II,1,--
--,61,E,--,0,33,28.7,-,55,10,52,0,31,8.4,-,55,27,24,308.35,-61.76,130,--,0.57,0.08,0.5,0.08,17.4,0.07,d,0,III,1,--
128,61,--,2080,0,34,43.5,-,0,2,27,0,32,9.8,-,0,18,58,113.82,-62.62,156,128,0.84,0.12,0.56,0.13,16.7,0.08,ab,0,I,3,--
129,62,--,2098,0,35,6.3,+,45,31,46,0,32,22.6,+,45,15,14,119.94,-17.25,86,129,1.18,0.16,1.04,0.19,16.1,0.29,d,0,III,0,--
130,63,--,--,0,35,27.8,-,10,46,41,0,32,56.0,-,11,3,12,109.22,-73.22,96,130,0.91,0.1,0.87,0.1,16.6,0.12,d,0,II,0,--
131,62,E,--,0,36,7.0,-,36,37,19,0,33,40.8,-,36,53,50,320.86,-79.97,107,131,0.65,0.09,0.5,0.08,17.2,0.05,d,0,III,1,In cluster
132,63,E,2167,0,36,13.6,-,19,7,55,0,33,43.3,-,19,24,26,98.54,-81.27,129,132,0.89,0.08,0.92,0.1,16.8,0.08,c,1,II,0,Companions at arms' ends
133,66,E,--,0,36,25.0,-,57,0,32,0,34,7.1,-,57,17,3,307.02,-60.0,75,133,0.99,0.13,0.98,0.13,16.3,0.04,cd,0,II,1,--
134,64,E,--,0,36,33.9,-,20,24,22,0,34,4.0,-,20,40,52,95.31,-82.47,26,134,0.92,0.08,0.75,0.09,16.9,0.09,c,0,II,0,--
135,65,E,--,0,36,35.7,-,23,46,1,0,34,6.5,-,24,2,32,77.21,-85.25,68,135,0.68,0.08,0.75,0.09,17.0,0.08,bc,0,II,3,--
136,68,E,2190,0,36,37.6,-,56,54,25,0,34,19.8,-,57,10,56,306.99,-60.1,107,136,1.61,0.16,1.84,0.21,15.7,0.05,b,0,II,1,Dust lane
137,67,E,2193,0,36,42.1,-,27,49,1,0,34,13.8,-,28,5,32,20.19,-86.66,154,137,0.89,0.1,0.87,0.11,16.6,0.07,c,1,II,2,In triplet
138,64,--,2207,0,37,1.1,+,3,25,57,0,34,26.8,+,3,9,28,115.88,-59.24,102,138,1.06,0.15,1.01,0.16,16.3,0.08,c,2,III,0,--
139,65,--,2231,0,37,21.2,+,29,8,56,0,34,41.7,+,28,52,27,119.24,-33.62,46,139,2.24,0.17,1.7,0.21,15.5,0.21,cd,0,II,1,--
140,66,--,2261,0,37,53.9,+,32,41,24,0,35,13.4,+,32,24,55,119.64,-30.1,142,140,1.57,0.15,1.23,0.15,15.9,0.35,cd,1,II,1,--
141,67,--,2260,0,37,57.8,+,5,8,53,0,35,23.1,+,4,52,24,116.67,-57.56,119,141,1.34,0.16,1.23,0.16,15.9,0.14,c,0,II,1,2 compact companions at 1.5 S
