NGC,Extension,Components,Dreye,NAMEZH,TYPE,CLASS,CONZH,CON,RAJ2000,DECJ2000,RADJ2000,DECDJ2000,VMAG,BMAG,B-V,SB,AX,AY,ANGLE,DESP,DESPS
NGC2548,,,*,·ä³²ÐÇÍÅ,OCL,I2m,³¤Éß×ù,HYA,8h13m43.1s,8.228638889,-5h45m2s,-5.750555556,5.8,,,,30,,,"a cluster, very large, pretty rich, pretty much compressed, stars from 9th to 13th magnitude","Cl, vL, pRi, pmC, st 9¡­13"
NGC2549,,,*,,Gxy,S0,ÌìÃ¨×ù,LYN,8h18m58.3s,8.316194444,+57h48m11s,57.80305556,11.2,12.2,1,12.9,3.8,1.2,177,"pretty bright, small, much extended 0¡ã, pretty suddenly much brighter middle","pB, S, mE 0¡ã, psmbM"
NGC2550,,,*,,Gxy,Sb/P,Â¹±ª×ù,CAM,8h24m33.7s,8.409361111,+74h0m43s,74.01194444,12.8,13.6,0.8,11.7,1,0.4,103,"most extremely faint, pretty small, considerably extended","eeF, pS, cE"
NGC2551,,,*,,Gxy,Sa,Â¹±ª×ù,CAM,8h24m50.2s,8.413944444,+73h24m45s,73.4125,12.1,13.1,1,12.7,1.6,1,55,"very faint, small, faint star in centre","vF, S, F * in centre"
NGC2552,,,*,,Gxy,SBm,ÌìÃ¨×ù,LYN,8h19m19.6s,8.322111111,+50h0m25s,50.00694444,12.1,12.6,0.5,14.2,3.6,2.1,57,"extremely faint, considerably large, a little extended 45¡ã","eF, cL, lE 45¡ã"
NGC2553,,,*,,Gxy,S,¾ÞÐ·×ù,CNC,8h17m35.1s,8.293083333,+20h54m12s,20.90333333,13.9,14.7,0.8,14.1,1.7,0.8,72,"very faint, small, gradually a little brighter middle","vF, S, glbM"
NGC2554,,,*,,Gxy,S0-a,¾ÞÐ·×ù,CNC,8h17m53.4s,8.298166667,+23h28m20s,23.47222222,12,12.9,0.9,14,3.2,2.4,147,"faint, small, round, much brighter middle, mottled but not resolved","F, S, R, mbM, r"
NGC2555,,,*,,Gxy,SBab,³¤Éß×ù,HYA,8h17m56.3s,8.298972222,+0h44m42s,0.745,12.2,13,0.8,13.2,1.9,1.4,115,"very faint, considerably small, irregular figure, 3 small (faint) stars involved?","vF, cS, iF, 3 S st inv?"
NGC2556,,,*,,Gxy,S0,¾ÞÐ·×ù,CNC,8h19m0.8s,8.316888889,+20h56m15s,20.9375,14.5,15.5,1,12.5,0.4,0.2,138,"very faint, very small","vF, vS"
NGC2557,,,*,ÂíÂÀË¹ÐÇÏµÍÅ,Gxy,SB0,¾ÞÐ·×ù,CNC,8h19m10.9s,8.319694444,+21h26m10s,21.43611111,13.2,14.2,1,13.3,1.2,1,55,"extremely faint, extremely small, round, a little brighter middle","eF, eS, R, lbM"
NGC2558,,,*,,Gxy,Sab,¾ÞÐ·×ù,CNC,8h19m12.7s,8.320194444,+20h30m41s,20.51138889,13,13.8,0.8,13.7,1.8,1.3,160,"very faint, small, round, suddenly brighter middle, stellar","vF, S, R, sbM, stellar"
NGC2559,,,*,,Gxy,SBbc,´¬Î²×ù,PUP,8h17m6.1s,8.285027778,-27h27m25s,-27.45694444,10.9,11.7,0.8,12.3,3,1.4,6,"faint, pretty large, gradually much brighter middle, among 60 stars","F, pL, gmbM, am 60 st"
NGC2560,,,*,,Gxy,S0-a,¾ÞÐ·×ù,CNC,8h19m51.9s,8.331083333,+20h59m5s,20.98472222,13.3,14.3,1,12.4,1.4,0.3,93,"faint, pretty large","F, pL"
NGC2561,,,*,,Gxy,SBc,³¤Éß×ù,HYA,8h19m36.7s,8.326861111,+4h39m24s,4.656666667,13.2,13.9,0.7,12.6,1.1,0.6,138,"very faint, small, round, making a triangle with 2 stars","vF, S, R, 2 st ¦¤"
NGC2562,,,*,,Gxy,S0-a,¾ÞÐ·×ù,CNC,8h20m23.5s,8.339861111,+21h7m54s,21.13166667,12.9,13.9,1,12.3,1,0.7,3,"very faint, considerably small, round","vF, cS, R"
NGC2563,,,*,,Gxy,S0,¾ÞÐ·×ù,CNC,8h20m35.7s,8.34325,+21h4m5s,21.06805556,12.2,13.2,1,13.4,2,1.7,80,"considerably faint, small, round, brighter middle","cF, S, R, bM"
NGC2564,,,*,,Gxy,E-S0,´¬Î²×ù,PUP,8h18m30s,8.308333333,-21h48m58s,-21.81611111,12.4,13.4,1,11.8,1.2,0.8,81,"very faint, small, round, gradually brighter middle, among many stars","vF, S, R, gbM, am many st"
NGC2565,,,*,,Gxy,SBbc,¾ÞÐ·×ù,CNC,8h19m48.2s,8.330055556,+22h1m53s,22.03138889,12.6,13.4,0.8,13,1.9,0.9,167,"faint, binuclear","F, biN"
NGC2566,,,*,,Gxy,SBab,´¬Î²×ù,PUP,8h18m45.5s,8.312638889,-25h30m2s,-25.50055556,11,11.8,0.8,13.1,2.9,1.7,62,"very faint, considerably large, extremely mottled but not resolved","vF, cL, er"
NGC2567,,,*,,OCL,III2m,´¬Î²×ù,PUP,8h18m32s,8.308888889,-30h38m24s,-30.64,7.4,,,,11,,,"a cluster, pretty large, pretty rich, a little compressed, irregularly round, stars from 11th to 14th magnitude","Cl, pL, pRi, lC, iR, st 11¡­14"
NGC2568,,,*,,OCL,I3p,´¬Î²×ù,PUP,8h18m18.1s,8.305027778,-37h6m19s,-37.10527778,10.7,,,,3,,,"very faint, pretty large, faint star involved","vF, pL, F * inv"
NGC2569,,,*,,Gxy,E-S0,¾ÞÐ·×ù,CNC,8h21m21.1s,8.355861111,+20h52m5s,20.86805556,14.3,15.3,1,13.1,0.6,0.5,117,"very faint, considerably extended, 3 very small (faint) stars to east","vF, cE, 3 vS st f"
NGC2570,,,*,,Gxy,Sab,¾ÞÐ·×ù,CNC,8h21m22.6s,8.356277778,+20h54m38s,20.91055556,14.5,15.1,0.6,14,1.1,0.6,75,"most extremely faint, large, round, northern of 2","eeF, L, R, n of 2"
NGC2571,,,*,,OCL,IV1p,´¬Î²×ù,PUP,8h18m56.3s,8.315638889,-29h44m57s,-29.74916667,7,,,,7,,,"a cluster, very large, considerably rich, a little compressed, stars from 9th magnitude","Cl, vL, cRi, lC, st 9¡­"
NGC2572,,,*,,Gxy,Sa,¾ÞÐ·×ù,CNC,8h21m24.7s,8.356861111,+19h8m52s,19.14777778,13.8,14.7,0.9,13.2,1.3,0.5,133,"extremely faint, very small, irregular figure, 13th magnitude star attached","eF, vS, iF, * 13 att"
NGC2573,,,*,ÄÏ¼«ÐÇÏµ,Gxy,SBc,ÄÏ¼«×ù,OCT,1h41m53.2s,1.698111111,-89h20m3s,-89.33416667,13.5,14.1,0.6,13.8,1.9,0.7,85,"faint, small, round, gradually a little brighter middle, Polarissima Australis","F, S, R, glbM, Polariss Austr"
NGC2574,,,*,,Gxy,Sab,³¤Éß×ù,HYA,8h20m48.1s,8.346694444,-8h55m6s,-8.918333333,12.3,13.1,0.8,13.2,2.3,1.2,153,"extremely faint, pretty small, partially resolved (some stars seen), magnitude 7.5 star 5 arcmin to northeast","eF, pS, rr, * 7.5 nf 5'"
NGC2575,,,*,,Gxy,Sc,¾ÞÐ·×ù,CNC,8h22m45s,8.379166667,+24h17m49s,24.29694444,12.7,13.4,0.7,13.4,1.7,1.3,145,"extremely faint, pretty large, irregularly round, several faint stars involved","eF, pL, iR, sev F st inv"
NGC2576,,,*,,Gxy,Sb,¾ÞÐ·×ù,CNC,8h22m57.8s,8.382722222,+25h44m22s,25.73944444,14.3,15.1,0.8,13.4,1.7,0.3,41,"extremely faint, extremely small, stellar","eF, eS, stellar"
NGC2577,,,*,,Gxy,E-S0,¾ÞÐ·×ù,CNC,8h22m43.4s,8.378722222,+22h33m13s,22.55361111,12.4,13.4,1,13.1,1.8,1.1,105,"faint, small, irregular figure, mottled but not resolved","F, S, iF, r"
NGC2578,,,*,,Gxy,SB0-a,´¬Î²×ù,PUP,8h21m24.2s,8.356722222,-13h19m5s,-13.31805556,12.6,13.5,0.9,13.5,2.2,1.3,80,"faint, very little extended, gradually brighter middle, mottled but not resolved, among 50 stars","F, vlE, gbM, r, am 50 st"
NGC2579,,,*,,OCL,IV1p,´¬Î²×ù,PUP,8h20m52.7s,8.347972222,-36h12m58s,-36.21611111,7.5,,,,19,,,"a double star (h 4083) in a pretty small nebula, among 70 stars","D * (h 4083) in pS neb, am 70 st"
NGC2580,,,*,,OCL,II2m,´¬Î²×ù,PUP,8h21m28s,8.357777778,-30h17m30s,-30.29166667,9.7,,,,8,,,"a cluster, considerably large, pretty rich, pretty compressed, round, stars of 12th magnitude","Cl, cL, pRi, pC, R, st 12"
NGC2581,,,*,,Gxy,SB?,¾ÞÐ·×ù,CNC,8h24m30.9s,8.408583333,+18h35m49s,18.59694444,13.4,14.2,0.8,13.1,1.1,0.8,10,"very faint, very small, round, very faint star involved, faint star attached","vF, vS, R, vF * inv, F * att"
NGC2582,,,*,,Gxy,SBab,¾ÞÐ·×ù,CNC,8h25m12.1s,8.420027778,+20h20m3s,20.33416667,13,13.9,0.9,13.3,1.2,1.2,,"very faint, pretty small, round, gradually a little brighter middle, star 75 arcsec to west","vF, pS, R, glbM, * p 75"""
NGC2583,,,*,,Gxy,E0,³¤Éß×ù,HYA,8h23m7.9s,8.385527778,-5h0m9s,-5.0025,13.4,14.4,1,12.9,0.9,0.9,,"very faint, small, round, suddenly brighter middle and nucleus, 1st of 4","vF, S, R, sbMN, 1st of 4"
NGC2584,,,*,,Gxy,Sbc,³¤Éß×ù,HYA,8h23m15.5s,8.387638889,-4h58m15s,-4.970833333,13.8,14.6,0.8,13.3,1.2,0.6,2,"very faint, small, round, 2nd of 4","vF, S, R, 2nd of 4"
NGC2585,,,*,,Gxy,Sb,³¤Éß×ù,HYA,8h23m26.2s,8.390611111,-4h54m55s,-4.915277778,13.6,14.4,0.8,13.8,1.8,0.8,95,"very faint, small, round, 3rd of 4","vF, S, R, 3rd of 4"
NGC2586,,,*,,Star(s),*3,³¤Éß×ù,HYA,8h23m31.4s,8.392055556,-4h57m5s,-4.951388889,,,,,,,,"extremely faint, pretty small, round, 4th of 4 (nebulous?)","eF, pS, R, 4th of 4 (? neb)"
NGC2587,,,*,,OCL,II1p,´¬Î²×ù,PUP,8h23m24s,8.39,-29h30m31s,-29.50861111,9.2,,,,10,,,"a cluster, pretty much compressed middle, irregular figure, stars from 9th to 13th magnitude","Cl, pmCM, iF, st 9¡­13"
NGC2588,,,*,,OCL,II1p,´¬Î²×ù,PUP,8h23m9.5s,8.385972222,-32h58m30s,-32.975,11.8,,,,2,,,"a cluster, faint, small, round, gradually brighter middle, stars of 15th magnitude","Cl, F, S, R, gbM, st 15"
NGC2589,,,*,,NF,NF,³¤Éß×ù,HYA,8h24m29.4s,8.408166667,-8h46m4s,-8.767777778,,,,,,,,"pretty faint, pretty small, a little extended","pF, pS, lE"
NGC2590,,,*,,Gxy,Sbc,³¤Éß×ù,HYA,8h25m2s,8.417222222,-0h35m28s,-0.591111111,13.1,13.9,0.8,13.4,2.2,0.7,77,"a faint star involved in very faint, very small, little extended nebula","F * inv in vF, vS, lE neb"
NGC2591,,,*,,Gxy,Sc,Â¹±ª×ù,CAM,8h37m25.5s,8.62375,+78h1m32s,78.02555556,12.2,12.9,0.7,12.7,3,0.6,32,"faint, small, extended, a little brighter middle","F, S, E, lbM"
NGC2592,,,*,,Gxy,E2,¾ÞÐ·×ù,CNC,8h27m8.1s,8.45225,+25h58m15s,25.97083333,12.3,13.3,1,13.2,1.7,1.4,45,"pretty faint, small, round, very suddenly brighter middle similar to a star","pF, S, R, vsbM *"
NGC2593,,,*,,Gxy,S0-a,¾ÞÐ·×ù,CNC,8h26m47.8s,8.446611111,+17h22m28s,17.37444444,13.9,14.8,0.9,13,0.9,0.5,172,"extremely faint, very small","eF, vS"
NGC2594,,,*,,Gxy,S0,¾ÞÐ·×ù,CNC,8h27m17.1s,8.45475,+25h52m43s,25.87861111,14.1,15.1,1,13,0.8,0.5,27,extremely faint,eF
NGC2595,,,*,,Gxy,SBc,¾ÞÐ·×ù,CNC,8h27m41.9s,8.461638889,+21h28m46s,21.47944444,12.3,12.9,0.6,14.3,3.2,2.4,45,"very faint, pretty large, irregular figure, mottled but not resolved, double star 2 arcmin to southwest","vF, pL, iF, r, D * sp 2'"
NGC2596,,,*,,Gxy,Sb,¾ÞÐ·×ù,CNC,8h27m26.6s,8.457388889,+17h17m4s,17.28444444,13.5,14.2,0.7,13.1,1.5,0.6,65,"very faint, small, a little extended","vF, S, lE"
NGC2597,,,*,,Star(s),*2,¾ÞÐ·×ù,CNC,8h29m57.4s,8.499277778,+21h30m9s,21.5025,,,,,,,,"extremely faint, very small","eF, vS"
NGC2598,,,*,,Gxy,SBa,¾ÞÐ·×ù,CNC,8h30m2.5s,8.500694444,+21h29m18s,21.48833333,13.6,14.6,1,12.7,1.3,0.6,3,"faint, small","F, S"
NGC2599,,,*,,Gxy,Sa,¾ÞÐ·×ù,CNC,8h32m11.2s,8.536444444,+22h33m39s,22.56083333,12.2,13.1,0.9,13.3,1.9,1.7,105,"very faint, small, stellar","vF, S, stellar"
NGC2600,,,*,,Gxy,Sb,´óÐÜ×ù,UMA,8h34m44.8s,8.579111111,+52h42m55s,52.71527778,14.2,15,0.8,13.3,1.2,0.4,78,no description,No description
NGC2601,,,*,,Gxy,SBa,·ÉÓã×ù,VOL,8h25m30.4s,8.425111111,-68h7m4s,-68.11777778,12.5,13.4,0.9,13,1.6,1.1,120,"faint, pretty small, round, gradually brighter middle","F, pS, R, gbM"
NGC2602,,,*,,Gxy,S,´óÐÜ×ù,UMA,8h35m4.3s,8.584527778,+52h49m53s,52.83138889,14.7,15.5,0.8,11.8,0.3,0.2,30,"extremely faint, small, round, star at 95¡ã","eF, S, R, * 95¡ã"
NGC2603,,,*,,Gxy,C,´óÐÜ×ù,UMA,8h34m31.2s,8.575333333,+52h50m25s,52.84027778,15.5,16.5,1,12.7,0.3,0.3,,"extremely faint, very small","eF, vS"
NGC2604,,,*,,Gxy,SBc,¾ÞÐ·×ù,CNC,8h33m22.9s,8.556361111,+29h32m19s,29.53861111,12.6,13.3,0.7,13.6,1.7,1.7,,"very faint, pretty large, round, a little brighter middle, mottled but not resolved, double star near","vF, pL, R, lbM, r, D * nr"
NGC2605,,,*,,Gxy,S0?,´óÐÜ×ù,UMA,8h34m53.3s,8.581472222,+52h48m16s,52.80444444,15.5,16.4,0.9,13,0.4,0.3,20,"faint, small, a little brighter middle","F, S, lbM"
NGC2606,,,*,,Gxy,Sbc,´óÐÜ×ù,UMA,8h35m34.4s,8.592888889,+52h47m19s,52.78861111,14.3,15.1,0.8,12.5,0.7,0.3,45,"considerably faint, small, round, star at 310¡ã","cF, S, R, * 310¡ã"
NGC2607,,,*,,Gxy,Sc,¾ÞÐ·×ù,CNC,8h33m56.6s,8.565722222,+26h58m23s,26.97305556,13.7,14.4,0.7,13.7,0.9,0.8,57,extremely faint,eF
NGC2608,,,*,,Gxy,SBb,¾ÞÐ·×ù,CNC,8h35m17.2s,8.588111111,+28h28m24s,28.47333333,12.3,13,0.7,13.4,1.9,1.2,60,"faint, very little extended, much brighter middle, mottled but not resolved","F, vlE, mbM, r"
NGC2609,,,*,,OCL,OCL,´¬µ××ù,CAR,8h29m30s,8.491666667,-61h6m36s,-61.11,,,,,6,,,"a cluster, pretty small, a little rich, a little compressed","Cl, pS, lRi, lC"
NGC2610,,,*,,PN,PN,³¤Éß×ù,HYA,8h33m23.4s,8.5565,-16h8m55s,-16.14861111,12.7,13.6,,,0.7,,,"faint, small, attached to a 13th magnitude star, 7th magnitude star to northeast","F, S, att to * 13, * 7 nf"
NGC2611,,,*,,Gxy,S,¾ÞÐ·×ù,CNC,8h35m29.1s,8.591416667,+25h1m40s,25.02777778,14.4,15.2,0.8,12.9,0.7,0.2,42,"very faint, small, pretty much extended, gradually brighter middle","vF, S, pmE, gbM"
NGC2612,,,*,,Gxy,E-S0,³¤Éß×ù,HYA,8h33m50.1s,8.563916667,-13h10m27s,-13.17416667,12.7,13.7,1,13.3,2.8,0.6,120,"bright, small, extended, pretty suddenly brighter middle, between 2 stars","B, S, E, psbM, bet 2 st"
NGC2613,,,*,,Gxy,Sb,ÂÞÅÌ×ù,PYX,8h33m22.8s,8.556333333,-22h58m22s,-22.97277778,10.3,11.2,0.9,12.9,6.5,1.4,113,"considerably bright, large, very much extended 110¡ã","cB, L, vmE 110¡ã"
NGC2614,,,*,,Gxy,Sc,´óÐÜ×ù,UMA,8h42m47.6s,8.713222222,+72h58m36s,72.97666667,12.9,13.6,0.7,14,2,1.6,150,"extremely faint, pretty small, round","eF, pS, R"
NGC2615,,,*,,Gxy,SBb,³¤Éß×ù,HYA,8h34m33.1s,8.575861111,-2h32m50s,-2.547222222,12.5,13.3,0.8,13,1.9,1.1,40,"faint, pretty small, a little extended, a little brighter middle, faint star involved, mottled but not resolved","F, pS, lE, lbM, F * inv r"
NGC2616,,,*,,Gxy,S0,³¤Éß×ù,HYA,8h35m34s,8.592777778,-1h51m3s,-1.850833333,12.5,13.5,1,13.2,1.1,0.9,163,"very faint, small, round, star near to northeast","vF, S, R, * nr nf"
NGC2617,,,*,,Gxy,S0-a,³¤Éß×ù,HYA,8h35m38.9s,8.594138889,-4h5m16s,-4.087777778,13.8,14.7,0.9,13.5,1.1,0.8,117,"extremely faint, very small, 2 very faint stars involved","eF, vS, 2 vF st inv"
NGC2618,,,*,,Gxy,Sab,³¤Éß×ù,HYA,8h35m53.5s,8.598194444,+0h42m28s,0.707777778,12.1,12.9,0.8,13.6,2.5,2,140,"extremely faint, pretty large, irregular figure","eF, pL, iF"
NGC2619,,,*,,Gxy,SBbc,¾ÞÐ·×ù,CNC,8h37m32.6s,8.625722222,+28h42m18s,28.705,12.4,13.2,0.8,13,1.8,1.1,35,"faint, pretty small, round, brighter middle, mottled but not resolved","F, pS, R, bM, r"
NGC2620,,,*,,Gxy,S?,¾ÞÐ·×ù,CNC,8h37m28.3s,8.624527778,+24h56m49s,24.94694444,13.5,14.4,0.9,13.4,2,0.5,93,"faint, small, extended","F, S, E"
NGC2621,,,*,,Gxy,S,¾ÞÐ·×ù,CNC,8h37m36.9s,8.626916667,+25h0m1s,25.00027778,14.8,15.6,0.8,13.4,0.8,0.4,171,"very faint, small, round","vF, S, R"
NGC2622,,,*,,Gxy,Sb,¾ÞÐ·×ù,CNC,8h38m10.9s,8.636361111,+24h53m43s,24.89527778,14.1,14.9,0.8,12.7,0.8,0.4,45,"faint, small, round","F, S, R"
NGC2623,,,*,,Gxy,Sb/P,¾ÞÐ·×ù,CNC,8h38m24.1s,8.640027778,+25h45m17s,25.75472222,13.4,14,0.6,13.8,2.4,0.7,60,"very faint, very small, round, brighter middle, mottled but not resolved","vF, vS, R, bM, r"
NGC2624,,,*,,Gxy,S,¾ÞÐ·×ù,CNC,8h38m9.6s,8.636,+19h43m34s,19.72611111,14.1,14.9,0.8,12.6,0.6,0.5,15,extremely faint,eF
NGC2625,,,*,,Gxy,E1,¾ÞÐ·×ù,CNC,8h38m23.1s,8.63975,+19h42m58s,19.71611111,13.9,14.9,1,13,0.7,0.6,45,"extremely faint, very small","eF, vS"
NGC2626,,,*,,Nb,EN+RN,´¬·«×ù,VEL,8h35m31s,8.591944444,-40h40m20s,-40.67222222,,,,,5,5,,"a 9th magnitude star involved in a pretty bright, pretty large, round nebula","* 9 inv in pB, pL, R neb"
NGC2627,,,*,,OCL,III2m,ÂÞÅÌ×ù,PYX,8h37m15s,8.620833333,-29h57m18s,-29.955,8.4,,,,9,,,"a cluster, considerably large, pretty rich, pretty compressed, stars from 11th to 13th magnitude","Cl, cL, pRi, pC, st 11¡­13"
NGC2628,,,*,,Gxy,Sc,¾ÞÐ·×ù,CNC,8h40m22.6s,8.672944444,+23h32m23s,23.53972222,13.3,14,0.7,13.4,1.1,1.1,,"extremely faint, small","eF, S"
NGC2629,,,*,,Gxy,E-S0,´óÐÜ×ù,UMA,8h47m15.2s,8.787555556,+72h59m8s,72.98555556,12.2,13.3,1.1,13.2,1.5,1.3,105,"very faint, small, stellar","vF, S, stellar"
NGC2630,,,*,,NF,NF,´óÐÜ×ù,UMA,8h47m6s,8.785,+73h0m0s,73,,,,,,,,"faint, small, a little extended","2 vF, vS, v nr III 982"
NGC2631,,,*,,NF,NF,´óÐÜ×ù,UMA,8h47m6s,8.785,+73h0m0s,73,,,,,,,,"2 very faint, very small, very near III 982","2 vF, vS, v nr III 982"
NGC2632,,,*,·ä³²ÐÇÍÅ,OCL,II2m,¾ÞÐ·×ù,CNC,8h40m24s,8.673333333,+19h40m12s,19.67,3.1,3.5,,,70,,,Praesepe Cancri,Paesepe Cancri
NGC2633,,,*,,Gxy,SBb/P,Â¹±ª×ù,CAM,8h48m4.6s,8.801277778,+74h5m57s,74.09916667,12.2,12.9,0.7,13.6,2.3,1.5,175,"faint, small, a little extended","F, S, lE"
NGC2634,,,*,,Gxy,E1,Â¹±ª×ù,CAM,8h48m25.5s,8.807083333,+73h58m2s,73.96722222,12,12.9,0.9,13.1,1.7,1.6,51,"2 very faint, very small, very near III 982","F, S, lE"
NGC2635,,,*,,OCL,I3p,ÂÞÅÌ×ù,PYX,8h38m25.9s,8.640527778,-34h46m18s,-34.77166667,11.2,,,,3,,,"a cluster, pretty much compressed, irregular triangle, stars from 13th magnitude","Cl, pmC, irr ¦¤, st 13¡­"
NGC2636,,,*,,Gxy,E0,Â¹±ª×ù,CAM,8h48m24.4s,8.806777778,+73h40m18s,73.67166667,13.8,14.7,0.9,12.8,0.4,0.4,,"very faint, small, 2 stars of 11th or 12th magnitude to east","vF, S, 2 st 11¡¤12 f"
NGC2637,,,*,,Gxy,S?,¾ÞÐ·×ù,CNC,8h41m13.4s,8.687055556,+19h41m25s,19.69027778,14.7,15.5,0.8,13,0.6,0.4,30,"most extremely faint, very small","eeF, vS"
NGC2638,,,*,,Gxy,S0-a,ÌìÃ¨×ù,LYN,8h42m25.8s,8.707166667,+37h13m15s,37.22083333,12.8,13.7,0.9,12.7,1.7,0.6,72,"very faint, very small, irregular figure","vF, vS, iF"
NGC2639,,,*,,Gxy,Sa,´óÐÜ×ù,UMA,8h43m37.8s,8.727166667,+50h12m22s,50.20611111,11.7,12.6,0.9,12.3,1.8,1.1,140,"considerably bright, small, extended 130¡ã, pretty suddenly much brighter middle","cB, S, E 130¡ã, psmbM"
NGC2640,,,*,,Gxy,E/SB0,´¬µ××ù,CAR,8h37m24.7s,8.623527778,-55h7m25s,-55.12361111,11.1,12.1,1,12.6,2.2,1.9,104,"pretty bright, small, round, 3 or 4 very small (faint) stars near to west","pB, S, R, 3 or 4 vS st p nr"
NGC2641,,,*,,Gxy,S0,´óÐÜ×ù,UMA,8h47m57.4s,8.799277778,+72h53m47s,72.89638889,13.6,14.6,1,13.9,1.3,1.1,5,"very faint, small, stellar","vF, S, stellar"
NGC2642,,,*,,Gxy,SBbc,³¤Éß×ù,HYA,8h40m44.4s,8.679,-4h7m20s,-4.122222222,12.6,13.4,0.8,13.9,2,1.8,90,"very faint, pretty large, gradually brighter middle, 2 bright stars to south, one to east","vF, pL, gbM, 2 B st s, one f"
NGC2643,,,*,,NF,NF,¾ÞÐ·×ù,CNC,8h42m9s,8.7025,+19h31m20s,19.52222222,,,,,,,,an extremely faint nebulous star,eF neb *
NGC2644,,,*,,Gxy,Sc,³¤Éß×ù,HYA,8h41m32s,8.692222222,+4h58m51s,4.980833333,12.4,13.1,0.7,12.8,2.1,0.8,14,"very faint, pretty large, irregularly oval, several small points","vF, pL, irr oval, sev S points"
NGC2645,,,*,,OCL,II2p,´¬·«×ù,VEL,8h39m3.1s,8.650861111,-46h13m38s,-46.22722222,7,,,,3,,,"a cluster, small, stars large (bright) and small (faint)","Cl, S, st L and S"
NGC2646,,,*,,Gxy,SB0,Â¹±ª×ù,CAM,8h50m21.8s,8.839388889,+73h27m46s,73.46277778,12.1,13.1,1,12.5,1.3,1.3,,"very faint, small, 2 faint stars 2.5 arcmin to southeast","vF, S, 2 F st 2'.5 sf"
NGC2647,,,*,,Gxy,C,¾ÞÐ·×ù,CNC,8h42m43s,8.711944444,+19h39m4s,19.65111111,14.3,15.3,1,13.2,0.8,0.5,18,a nebulous star,Neb *
NGC2648,,,*,,Gxy,Sa,¾ÞÐ·×ù,CNC,8h42m39.8s,8.711055556,+14h17m6s,14.285,11.8,12.7,0.9,13,3.2,1.1,148,"faint, small, very little extended 135¡ã, pretty suddenly brighter middle","F, S, vlE 135¡ã, psbM"
NGC2649,,,*,,Gxy,SBbc,ÌìÃ¨×ù,LYN,8h44m8.1s,8.735583333,+34h43m3s,34.7175,12.3,13.1,0.8,13,1.5,1.4,90,"faint, large, round, mottled but not resolved","F, L, R, r"
NGC2650,,,*,,Gxy,SBb,´óÐÜ×ù,UMA,8h49m58.3s,8.832861111,+70h17m58s,70.29944444,13.3,14.1,0.8,13.9,1.6,1.2,55,"pretty bright, pretty large, irregular figure, extremely mottled but not resolved","pB, pL, iF, er"
NGC2651,,,*,,Gxy,S?,¾ÞÐ·×ù,CNC,8h43m55.1s,8.731972222,+11h46m16s,11.77111111,14.5,15.4,0.9,13,0.6,0.5,114,"extremely faint, small, extended","eF, S, E"
NGC2652,,,*,,Dup,E4,Áù·ÖÒÇ×ù,SEX,9h42m33.2s,9.709222222,-3h41m57s,-3.699166667,10.9,11.9,1,13,3.4,2.1,40,"faint, pretty small, extended 50¡ã, gradually brighter middle and stellar nucleus, 9th magnitude star 50 arcsec to southwest","F, pS, E 50¡ã, gbM stell N, * 9 sp 50"""
NGC2653,,,*,,Star(s),*2,Â¹±ª×ù,CAM,8h54m55.5s,8.915416667,+78h23m39s,78.39416667,,,,,,,,"very faint, very small, faint star close to north, I 288 to south","vF, vS, F * close n, I 288 s"
NGC2654,,,*,,Gxy,SBab,´óÐÜ×ù,UMA,8h49m12s,8.82,+60h13m15s,60.22083333,11.8,12.7,0.9,12.9,4.2,0.8,63,"pretty faint, small, faint star in middle, faint star close to southwest","pF, S, F * in M, F * close sp"
NGC2655,,,*,,Gxy,SB0-a,Â¹±ª×ù,CAM,8h55m37.7s,8.927138889,+78h13m25s,78.22361111,10.1,11,0.9,13.2,4.9,4.1,85,"very bright, considerably large, a little extended 90¡ã, gradually then suddenly very much brighter middle","vB, cL, lE 90¡ã, gsvmbM"
NGC2656,,,*,,Gxy,E-S0,´óÐÜ×ù,UMA,8h47m53.1s,8.798083333,+53h52m34s,53.87611111,13.8,14.9,1.1,14.3,1,1,,"extremely faint, pretty suddenly brighter middle","eF, psbM"
NGC2657,,,*,,Gxy,Sd,¾ÞÐ·×ù,CNC,8h45m15.8s,8.754388889,+9h38m45s,9.645833333,13,13.6,0.6,12.7,1,0.9,153,"very faint, very small, irregularly round, faint star attached on east","vF, vS, iR, F * att f"
NGC2658,,,*,,OCL,II2m,ÂÞÅÌ×ù,PYX,8h43m27.3s,8.72425,-32h39m22s,-32.65611111,9.2,,,,10,,,"a cluster, pretty small, a little rich, a little compressed, irregular figure, stars from 12th to 13th magnitude","Cl, pS, lRi, lC, iF, st 12¡¤13"
NGC2659,,,*,,OCL,III3m,´¬·«×ù,VEL,8h42m36s,8.71,-45h0m0s,-45,8.6,,,,15,,,"a cluster, large, rich, pretty much extended, stars from 11th to 14th magnitude","Cl, L, Ri, pmE, st 11¡­14"
NGC2660,,,*,,OCL,I3m,´¬·«×ù,VEL,8h42m38s,8.710555556,-47h12m2s,-47.20055556,8.8,,,,3,,,"a cluster, pretty small, much compressed, irregularly round, gradually brighter middle, stars from 13th to 15th magnitude","Cl, pS, mC, iR, gbM, st 13¡­15"
