Ced,Note
84,b = NGC 2264 = GC 1440 = h 401 = H V 27 = H VIII 5. Disc. 1784. FA 123.
84,"WP 30. (12, 30, 54, 62, 64, 69, 74, 78, 88 Pl 28, 107, 114, 194, 216, 294,"
84,"304, 394, 482, 486, 492, 554, 578, 605, 618, 619, 630 Pl 35, 631, 715,"
84,"753, 823). R. The nebulous cluster around 15 (S) Monocerotis = +10 1220 ="
84,HD 47839 = Boss 8720. Other HD stars within the boundary of the nebula :
84,+10 1211 = HD 47553. +10 1214 = HD 47662. +9 1331 = HD 47732.
84,+10 1215 = HD 47754. +9 1332 = HD 47755. +9 1334 = HD 47777.
84,+10 1221 = HD 47838. +9 1344 = HD 47887 = Boss 8726. +9 1349 = HD 47934.
84,+9 1350 = HD 47961. +9 1356 = HD 48055.
84,c = Emission field (726) No 37. R. Probably an extension of the nebulosity
84,illuminated by S Monocerotis. A faint veil can be traced on (630) Pl 35.
85,Emission field (727) No 55. (630) Pl 35. R.+6 1351 = HD 48099 = Boss 8747.
86,"NGC 2283 = GC 1452 = H III 271. Disc. 1785. (114, 578)."
87,"NGC 2282 = IC 2172. Disc. Barnard 1883. (114, 366, 630 Pl 35)."
88,IC 454. Disc. Swift 1889 (736). R. Not identified. Perhaps of Class C.2.
89,The nebulous region of IC 2177.
89,a= Emission field (727) No 56. (630) Pl 37. R. -10 1848 = HD 53367.
89,"b = NGC 2327 = GC 1487 = h 428 = H IV 25. Disc. 1785. (114, 228, 232, 296,"
89,"578, 630 Pl 37, 631, 829). R. This is a part of the nebula described by"
89,Wood in (829).
89,"c = IC 2177. Disc. Roberts 1898 (611). FA 75. (216, 366, 614, 630 Pl 37,"
89,"715, 812, 829)."
89,d = Emission field (726) No 45.
89,e = Emission field (726) No 46. R. -10 1892 = HD 54662 =Boss 9459.
90,"-12 1771 = HD 53623 nebulous. Source: (366). FA 75. (196, 482, 486, 630 Pl"
90,"37, 715). R. Should perhaps have been included with No. 89 of the"
90,catalogue. Hubble has measured only the central condensation. His value of
90,"{alf} is 1.8', whereas measurement on (630) gives 4'.5, and an (196) 6'.0."
91,Emission field (727) No 57. R. -8 1734 = HD 53667.
92,IC 466. Disc. Javelle 1897 (392). R. Not identified.
93,"Anon. 7h 5.0m, -18 19'. Disc. Wood 1911 (829). (366, 429, 630 Pl 37)."
93,R. The nebula is situated between the two stars -18 1703 and 1713.
93,A number of faint stars involved.
94,a = IC 468. Disc. Bigourdan 1891 (110). R. Part of NGC 2359.
94,"b = NGC 2359 = GC 1511 = h 3075 = H V 21. Disc. 1785. (114, 208, 216, 297,"
94,"304, 365, 550, 578, 630 Pl 37, 631). R. NGC 2361 is probably a part of"
94,this nebula.
95,Emission field (726) No 44.
95,{tau} Canis Majoris = -24 5176 = HD 57061 = Boss 9736.
96,Nebulous field containing the following nebulous stars.
96,"a = -23 5277 = HD 57281. FA 51. (93 Pl 10, 366, 630 Pl 38, 715)."
96,"b = -23 5285 = HD 57325. FA 51. (93 Pl 10, 630 Pl 38, 715)."
96,c = -23 5296 = HD 57393. References as b.
97,Emission field (726) No 48.
98,Emission field (727) No 62. R.
98,{eta} Canis Majoris = -29 4328 = HD 58350 = Boss 9886.
99,Emission field (727) No 50. R. -15 1810 = HD 58343 = Boss 9893.
100,-22 1897 = HD 59612 = Boss 10043 nebulous.
100,"Source: (93) Pl 10. FA 51. (630 Pl -38, 715)."
101,-25 4775 = HD 61071 = Boss 10207 nebulous.
101,Source: (93) Pl 10. FA 51. (630 Pl 38).
102,Emission field (727) No 63. R.
102,3 Puppis = -28 4774 = HD 62623 = Boss 10417.
102,R. Faint veil perceivable on (630) Pl 38.
103,"NGC 2467 = GC 1589 = h 472 = H IV 22. Disc. 1784. FA 52. (114, 194)."
103,"R. Nebulous cluster. On FA 52, and according to (114), the nebulosity is"
103,confined to the vicinity of -26 5115 = HD 64315. The principal star of
103,the cluster is -26 5137 = HD 64455.
104,Emission field (727) No 53. R.
104,{lam} Velorum = -46 3847 = HD 68273 = Boss 11105.
105,NGC 2568. Disc. Barnard 1881 (43). R. Not identified.
106,Melotte's and Lundmark's nebulous region in Vela.  R. With the exception
106,"of a large detached loop, the nebulosity seems to condense around the"
106,individual stars mentioned by Melotte in (502). The whole group should
106,be classified as A. 2. (30).
106,a = The nebulosity connected with -43 4337 = CPD 2636 = HD 72067 =
106,Boss 11628.
106,b = The neb. conn. with -47 4004 = CPD -47 2296 = HD 72108 = Boss 11630 =
106,A Velorum.
106,c = The neb. conn. with -44 4462 = CPD -44 2667 = HD 72127 = Boss 11635.
106,d = The neb. conn. with -41 4189 = CPD -41 2599 = HD 72139 = Boss 11637.
106,e = The neb. conn. with -43 4343 = CPD -43 2645 = HD 72179. R. Connected
106,with a.
106,f = The neb. conn. with -47 4048 = CPD -47 2348 = HD 72485 = Boss 11683.
106,"g =The abovementioned ""loop"". R. (683) announces emission in this nebula,"
106,"which seems to be a pendant to the Cygnus ""loop""."
106,h = NGC 2626 = GC 1677 = h 3131. Disc. 1835. R. The neb. conn. with.
106,-40 4427 = CPD -40 2666.
106,i = The neb. conn. with. -42 4451 = CPD -42 2754 = HD 73634 = Boss 11852
106,= e Velorum.
106,j = The neb. conn. with. -46 4438 = CPD -46 2805 = HD 74180 = Boss 11951
106,= b Velorum.
106,k = The neb. conn. with. -46 4448 = CPD -46 2819 = HD 74272 = Boss 11966
106,= n Velorum.
106,l = The neb. conn. with. -44 4704 = CPD -44 2936 = HD 74371 = Boss 11978
106,m = The neb. conn. with the cluster IC 2395. R. Compare the Introduction
106,of the present paper (p 13). (194). Bailey (30) does not mention
106,"nebulosity in his description of the cluster. However, he has given"
106,"exactly the same description of M 16, which is certainly nebulous."
106,n = The neb. conn. with. -40 4569 = CPD -40 2824 = HD 74804.
106,o = The neb. conn. with. -45 4517 = CPD -45 3014 = HD 75063 = Boss 12109
106,= a Velorum.
107,NGC 3199 = GC 2067 = h 3239. Disc. 1835. FA 18. (561).
108,NGC 3324 = GC 2167 = h 3286 = Dunlop 322. R. These designations probably
108,"refer to the double cluster, the northern part of which has been"
108,separately catalogued as IC 2599. The neighhouring cluster NGC 3293
108,"should be searched for nebulosity. (30, 561)."
108,CPD -57 3584 = HD 92206 = Boss 14621. Alternative Class: A. 1.
109,The {eta} Carinae region. a = NGC 3372 = GC 2197 = h 3295 = Dunlop 309
109,"= Lacaille III 6. Disc. 1755.(30, 122, 123, 174, 175, 177, 191, 194, 216,"
109,"228, 365, 366, 382, 482, 486, 520, 560, 561, 575, 635, 636, 666, 682)."
109,"R. This is the ""Key-hole nebula"". See further Bok's monograph (123)."
109,b = NGC 3503 = GC 2286 = h 3311. Disc. 1834. R. This refers to part of
109,the general background of the {eta} Carinae region.
110,"Anon. 11h 3m, -76 48'. Disc. Melotte, 1926 (502). R. Not identified."
110,Described as a small patch of nebula near a twelfth magnitude star.
111,CPD -76 654 = HD 97048 nebulous. Disc. Melotte 1926 (502). FA 6.
112,CPD -75 714 = HD 97300 nebulous. Disc. Stewart 1908 (852). FA 6 (502).
113,A nebulous field discovered by John Herschel in 1834 and catalogued as
113,follows.
113,"a = NGC 3576 = GC 2333 = h 3324, R. CPD -60 2631 = HD 97452 may be the"
113,light-source.
113,b = NGC 3579 = GC 2336 = h 3325. R. CPD -60 2626 = Potsdam spectral DM
113,Area 193 No 48 may be the light-source.
113,"c = NGC 3581 = GC 2337 = h 3326. (561, 682)."
113,d = NGC 3582 = GC 2338 = h 3327. R. CPD -60 2643 = HD 97499 may be the
113,light source.
113,e = NGC 3584 = GC 2340 = h 3329.
113,f = NGC 3586 = GC 2342 = h 3330.
114,NGC 3699 = GC 2432 = h 3345. Disc. 1434. R. John Herschel described the
114,object as almost resolved. Gaseous spectrum and irregular form announced
114,"in (855). (381, 854)."
115,IC 2872. Disc. Frost 1908 (852). R. Not identified.
116,CPD -61 2350 = HD 99897 nebulous. Source: FA 18.
117,CPD -63 1904 = HD 10099 nebulous. Source: FA 18.
118,"IC 2944. Disc. Frost 1908 (852). FA 18. (194, 828). R."
118,IC 2944 = {lam} 118 Centauri with nebula.
118,IC 2948 = The cluster following {lam} Centauri.
118,This star (= CPD -62 2127 = HD 100841 = Boss 15899) is probably alone
118,responsible for the nebular light. The cluster is probably situated
118,behind the nebula.
119,CPD -60 3142 = Potsdam spectral DM Area 193 No 1249 nebulous. Disc. Innes
119,1913 (379). R. Not identified.
120,NGC 3882 = GC 2550 = h 3358. Disc. 1834. R. Not identified.
120,CPD -55 4616 = HD 102277.
121,IC 2966. Disc. Frost 1908 (852). R. Not identified.
122,"Anon. 13h 18.0, -63 30'. Disc. Shapley 1926 (681). FA 19. R. Probably a"
122,"case like the ""North America Nebula"",. The nebula seems to be connected"
122,"with the coalsack. CPD -62 2745 = HD 108248,9 = Boss 16952,3."
123,"NGC 5189 = GC 3570 = h 3514 = Dunlop 252. (103, 174, 216, 482, 486, 682,"
123,761). R. Wrong identification in (216). NGC 5189 refers to the whole
123,"nebulous field, which is well shown in John Herschel's drawing of the"
123,object (Cape Results Plate 6: 1). Has also been classified as a planetary.
124,-29 11837 = HD 139365 = Boss 21019 = {tau} Librae nebulous. Source: (93)
124,Pl 11. FA 59.
125,The nebulous field at {pi} Scorpii. Disc. Archenhold 1892 (19). R. Almost
125,detached condensations have been noted at the following stars:
125,a = -25 11131 = HD 141637 = Boss 21285 = b Scorpii.
125,b = -24 12352 = HD 142114 = Boss 21329 = A Scorpii. (715).
125,c = -24 12354 = HD 142165 = Boss 21339. (715).
125,"d = -25 11228 = HD 143018 = Boss 21447 = {pi.} Scorpii. FA 60. (81, 93"
125,"Pl 11, 175, 366, 377, 378, 630 Pl 2, 715)."
125,"e = -22 4068 = HD 143275 = Boss 21489 = {del} Scorpii. (81, 93 Pl 11,"
125,"175, 630 Pl 2). The whole region: Class A. 2."
126,The nebula around {rho} Scorpii = -28 11714 = HD 142669 = Boss 21398.
126,Source: (93 Pl 11).
127,"IC 4591. Disc. Barnard 1895 (61). (93 Pl 11 P1 13, 630 Pl 2). R."
127,-27 10841 = HD 145482 = Boss 21778 = 13 (c2) Scorpii.
128,"IC 4592. Disc. Barnard 1895 (60). (74, 82, 84, 86, 92, 93 Pl 12, 339,"
128,"366, 630 Pl 2, 715, 716). R."
128,-19 4333 = HD 145501/2 = Boss 21773 = {ups} Scorpii.
129,The nebulous stars in the region of IC 4601.
129,R. The designations IC 4601 a and b are according to Hubble (366).
129,"No 129 may be connected with No 128, although the latter gives the"
129,impression of being situated in the foreground. 129
129,"a = -19 4357 = HD 146834 = Boss 21935. Source: (88) Pl 35. (93 Pl 12,"
129,"Pl 13, 196, 482, 486, 715). 129"
129,"b = IC 4601 a = -19 4358,9 = HD 147009,10 = Boss 21958,60.  Disc."
129,Barnard. Independently found by Stewart in 1908 (852). FA 84. WP 195.
129,"(61, 88 Pl 35, 93 Pl 12 Pl 13, 196, 366, 630 Pl 2 Pl 5, 715). 129"
129,"c = IC 4601 b = -19 4361 = HD 174103,4 = Boss 21967,8. R. Compare 129 b."
130,The nebula around -25 11485 = HD 147165 = Boss 21982 = {sig} Scorpii.
130,"Disc. Barnard 1895 (60). FA 60. (74, 88 Pl 36, 92, 93 Pl 13, 339, 366,"
130,"715, 716, 718, 724, 726 No 8 No 9)."
131,The nebula at {rho} Ophiuchi. Disc. Barnard 1895 (61).
131,a = IC 4603. R. See the references at b. -24 12684 = HD 147889.
131,"b = IC 4604. FA 60. (34, 61, 66, 68, 70, 74, 78, 79, 82, 84, 86, 88 Pl 36,"
131,"92, 93 P1 13, 294, 295, 339, 366, 482, 486, 528, 630 Pl 2 Pl 5, 689, 715,"
131,"716, 820). R. -23 12861 = HD 147933,4 = Boss 22078,9 = {rho} Ophiuchi."
132,"The Antares nebula. (60, 61, 66, 68, 70, 88 Pl 36, 93 Pl 13, 175, 715,"
132,"724, 726 No 7). R. Compare the account of the red nebula given in (719)"
132,p 16. In (82) Barnard suggested that Antares is only projected against a
132,"nebular background. Antares = -26 11359 = HD 148478,9 = Boss 22157."
133,IC 4605 = The nebula around -24 12695 = HD 148605 = Boss 22179 = 22 Scorpii.
133,"Disc. Barnard 1895 (61). FA 60. (60, 66, 68, 82, 88 Pl 36, 93 Pl"
133,"13, 294, 339, 366, 482, 486, 630 Pl 1 Pl 2 Pl 5, 715, 716)."
134,"IC 4606. Disc. Finlay 1887 (273). R, Not identified."
134,Part of the Antares region?
135,Two nebulae found by John Herschel in 1834 near -47 10855 = HD 148937 =
135,Boss 22246. R. This star is probably responsible for the nebular light.
135,a = NGC 6164 = GC 4206 = h 3633.
135,b = NGC 6165 = GC 4207 = h 3634.
136,Nebulous field discovered by John Herschel in 1836.
136,a = NGC 6188 = GC 4223 = h 3640 The general nebulous background.
136,b = The nebulous cluster NGC 6193 = GC 4224 = h 3642. FA 38. (194).
136,The cluster = Dunlop 413. R. Principal star in the cluster:
136,- 48 11070 = HD 150135/6 = Boss 22418/9. Alternative Class: A. 1.
137,The nebulous field at IC 4628.
137,a = Emission field (727) No 68. R. Probably stimulated be the numerous O
137,and B0 stars in this region (Compare the HD catalogue).
137,b = IC 4628. Disc. Barnard. Independently found by Frost in 1908. (852).
137,"FA 39. (88 Pl37, 93 Pl 16, 194, 630 Pl 1, 827). R. The light-source is"
137,probable the same as in the case of No 137 a. NGC 6227 = GC 4243 = h 3651
137,"refers to this part of the Milky Way, as does also Emission field (727)"
137,No 72.
138,Emission field (726) No 70. R. -37 11206 = HD 153919 = Boss 22996.
139,"NGC 6302 = -36 11341 = HD 155520 = ""The Bug nebula"". Disc. Barnard 1880"
139,"(43). (80, 93 Pl 16, 103, 174, 273, 761). R. Has also been classified as"
139,a planetary.
140,"NGC 6334 = GC 4288 = h 3678. Disc. 1837. FA 61. (93 Pl 16, 243)."
140,R. -35 11457 = HD 156369.
141,NGC 6335 = GC 4289 = h 3679. Disc. 1837. (630) Pl 1.
141,R. The identification is uncertain.
142,"NGC 6357 = GC 4297 = h 3682. Disc. 1837. (93 Pl 22, 243, 297, 365)."
143,NGC 6360 = GC 4299 = h 3685. Disc. 1834. R. Potsdam spectral DM Area 157
143,is situated in this region. (31) announces that no nebula is to be seen
143,on a plate containing this region.
144,IC 1257. Disc. Spitaler 1890 (700). R. Not identified.
145,The nebula around -37 11673 = HD 158926 = Boss 23769 = {lam} Scorpii.
145,Source: (93) Pl 24. FA 39. FA 61.
146,IC 4657. Disc. Barnard. R. Not identified.
147,Emission field (727) No 69. R.-32 12935 = HD 159176 = Boss 23804. (630)
147,Pl 1.
148,"IC 4659. Disc. Barnard. R. No identification has been possible, although"
148,the eighth magnitude star referred to by Barnard must be -17 4848 =
148,HD 159172.
149,"NGC 6401 = GC 4314 = h 1982 = h 3697 = H I 44. Disc. 1784. (93 Pl 21,"
149,114). R. The nebula has also been listed as -23 13481.
150,The nebulous cluster (194) No 345. (93) Pl 21.
151,"NGC 6514 = GC 4355 = h 1991 = h 3718 = H IV 41 = HV 10, 11, 12 = M 20 ="
151,"""The Trifid nebula"". Disc. Le Gentil 1748 (Compare Chapter I note 14)."
151,"WP 92. (30, 57, 74, 85, 88 Pl 42, 93 Pl 29 Pl 30, 103, 114, 164, 174, 176,"
151,"191, 194, 210, 216, 228, 237, 238, 252, 260, 351. 366, 399, 407, 408, 453,"
151,"455, 457, 482, 486, 511, 520, 543, 559, 616, 630 Pl 4 Pl 6, 673, 682, 715,"
151,"717, 768). R. Hubble (366) ascribes the nebular light mainly to -23 13804."
151,"According to Wallenquist (768), -22 4510 (of the {alf} Cygni type) is"
151,probably responsible for the light of 1he northern part. HD stars
151,belonging to the cluster : -23 13789 = HD 164384.
151,-22 4503 = HD 164402 = Boss 24526. -23 13804 = HD 164492 = Boss 24537.
151,-22 4510 = HD 164514. -22 4516 = HD 164637 = Boss 24558.
151,-22 4520 = HD 164704. -23 13832 = HD 164739. -22 4533 = HD 164833.
152,"a = NGC 6523 = GC 4361 = h 3722 = M 8 = Lacadle III 13 = ""The Lagoon"
152,"nebula"". Disc. Legentil 1748 (Compare Chapter I p 13). FA 62. WP 92."
152,"(30, 51, 57, 66, 74, 85, 88 Pl 42 Pl 44, Pl 49 Pl 51 Pl 52, 93 Pl 29"
152,"Pl 30, 103, 114, 174, 191, 194, 210, 213, 2115, 216, 234, 260, 365, 366,"
152,"409, 413, 417, 449, 453, 482, 486, 511, 520, 531, 543, 559, 587, 617,"
152,"630 Pl 4 Pl 6 Pl 7, 682, 715, 717, 747, 753, 767). R. The two stars"
152,"-24 13814 = HD 164794 = CPD -24 6144 = Boss 24574, and"
152,-24 13816 = CPD -24 6146 = HD 164816 are involved together with the open
152,cluster NGC 6530 = GC 4366 = h 3725.
152,Other HD stars within the boundary of the nebula :
152,-24 13780 = HD 164515. -24 13786 = HD 164535. -24 13783 = HD 164536.
152,-24 13787 = HD 164537. -24 13793 = HD 164584. -24 13791 = HD 164585.
152,-24 13795 = HD 164602. -24 13803 = HD 164705. -24 13812 = HD 164793.
152,-24 13826 = HD 164865. -24 13832 = HD 164906. -24 13839 = HD 164933.
152,-24 13845 = HD 164947. -24 13843 = HD 161448. -24 13864 = HD 165052.
152,-24 13869 = HD 165133. -24 13880 = HD 165246. -24 13879 = HD 165247.
152,The brightest part of the nebula has also been listed as
152,-24 13806 = HD 164740.
152,b = IC 4678 = -23 13906 nebulous. Disc. Barnard 1908 (85). FA 62. WP 92.
152,"(93 Pl 29 Pl 30, 366, 715. R. The star -23 13908 = HD 165345 projects"
152,"against the nebula. The HD spectrum of this star is given to be K0,"
152,whereas Seares and Hubble (064) have B3.
153,IC 4683. Disc. Wolf 1903 (804). R. Faint background veil on (93) Pl 30 (?).
154,The group of nebulous stars following M 8. R. There has been some
154,confusion in the literature as to the proper identification of these
154,objects.
154,a = IC 4681 = -23 13954 = HD 165705 nebulous. Disc. Barnard 1908 (85).
154,"(194, 482, 486, 715)."
154,b = IC 4684 = -23 13974 = HD 167852 nebulous. Disc. Barnard 1908 (85).
154,"R. (88) Pl 52 gives the star as -23 13983, which is seen to be erroneous"
154,from the plate coordinates of the star. Probably -23 13983 in Seares' and
154,"Hubble's list (664) also refers to -23 13974, as it is very improbable"
154,that this nebulous star should have been excluded.
154,c = IC 4685 = -24 13962 = HD 165921 = Boss 24732. Disc. Barnard 1908 (85).
154,d = IC 1274. Disc. Barnard 1892 (51). R. Hubble (366) divides this nebula
154,"into two parts: IC 1274 a = -23 13997 nebulous, to which the stellar data"
154,"and log a_1_, in the present catalogue refer. In (366) the photographic"
154,magnitude is given as 8.7m. IC 1274 b = -23 13998 nebulous. R. (366)
154,"gives log a_1_, 0.398 and m_p_ = 9.2. In (664): m_p_ = 8.45, m_v_=8.56."
154,"HD gives m_p_ =8.3, m_v_ = 9.0. The nebula IC 1274 is probably to be"
154,"considered as one entity illuminated by the stars -23 13997, 13998, 13999,"
154,"14002, and 14004. (Compare (88) Pl 52). (717)."
154,e = IC 1275 = The nebula surrounding -23 14005 = HD 166107 = Boss 24753.
154,"Disc. Barnard 1892 (51). (715). R. -24 14017 may also be nebulous,"
154,although the writer has not been able to verify this suggestion. m_p_=8.47.
154,m_v_ = 8.46. Sp: B8. Taken as a whole No 154 should be classified as A.2.
154,f = NGC 6559 = GC 4384 = h 3733 = h 1996 = The nebula around the stars
154,"-24 13984 (= HD 166056), and -24 13985. In (88) Pl 52 the first mentioned"
154,"star is erroneously given as -24 13990. (114,294)."
155,"The nebulosity associated with Nova Herculis 1934. (193, 764). Compare"
155,"further Harvard announcement card 629, 1942."
156,Emission field (727) No 77. (630) Pl 4. R.
156,-20 5054 = HD 167264 = Boss 24893 = 15 Sagittarii.
157,"a = NGC 6589. Disc. Swift 1885 (733). FA 86. (49, 51, 88 Pl 55, 93 Pl 29"
157,"Pl 31, 114, 216, 366, 715). R. -19 4940 = HD 167638."
157,"b =  NGC 6590 = NGC 6595 = IC 4700 = GC 4395 = h 2002. (49, 51, 85,"
157,"93 Pl 29 Pl 31, 114, 194, 216, 366, 428, 578, 715, 733)."
157,"R. Regarding the identification, see Barnard (49)."
157,c = IC 1283 = -19 4948 nebulous. Disc. Barnard 1892 (51). 157 (93) Pl 31.
157,R. 19 4948 = HD 167722.
157,d = IC 1284 = The nebula around -19 4953 = HD 167815 = Boss 24954. Disc.
157,"Barnard 1892 (49). FA 86. WP 93. (51, 82, 85, 88 Pl 55,"
157,"93 Pl 29 Pl 31 Pl 32, 339, 366, 482, 486, 630 Pl 7, 715)."
157,Taken as a whole No 157 should be classified as A. 2.
158,IC 4701. Disc. Barnard 1908. (85). (87). R. This is a large nebulosity
158,superposed on a star cloud. Potsdam spectral DM Area 134 is situated in
158,this region.
159,NGC 6611 = GC 4400 = h 2006 = M 16 = IC 4703. R. IC 4703 refers to the
159,"nebula, which Roberts claimed to have discovered. The cluster was found"
159,about 1746 by de Cheseaux (Compare Chapter I p. 13). His brief note does
159,"not contain any statement as to nebulosity. However, Messier undoubtedly"
159,perceived the nebula in addition to the cluster stars (Compare (260)!)
159,"FA 86. WP 93. (30, 85, 88 Pl 57, 93 Pl 34, 114, 194, 234, 260, 365, 366,"
159,"383, 578, 589, 615 Pl 23, 630 Pl 6 Pl 7 P1 8, 715, 717, 753). HD stars in"
159,the cluster:
159,-13 4932 = HD 168137.
159,-14 4991 = HD 168183.
159,-14 4994 = HD 168207.
159,-13 4925 = HD 168075.
159,-13 4926 = HD 168076.
160,a = IC 4706 = -16 4811 = HD 168276 nebulous.
160,b = IC 4707 = -16 4812 = HD 168302 nebulous. Disc. Barnard 1903 (85).
160,"FA 86. (93 Pl 31 Pl 34, 715)."
161,"NGC 6618 = GC 4403 = h 2008 = M 17 = ""The Omega nebula"" = ""The"
161,"Horseshoe nebula"") = ""The Swan nebula"". Disc. de Cheseaux about 1748 (119)."
161,"FA 86. (30, 74, 85, 88 Pl 55, 93 Pl 31 Pl 34, 114, 158, 174, 191, 194,"
161,"216, 228, 234, 260, 349, 482, 486, 520, 573, 578, 603 Pl 38, 630 Pl 6 Pl 7"
161,"Pl 8, 631, 674, 791). R. The brightest part of the nebula has also been"
161,catalogued as -16 4820 = HD 168520. HD stars within the nebula :
161,-16 4817 = HD 168486.
161,-16 4821 = HD 168521.
161,-16 4827 = HD 168569.
161,-16 4828 = HD 168585.
161,-16 4836 = HD 168701/2.
161,"The two brightline stars -16 4829 = HD 168607 = Boss 25035, and"
161,-16 4830 = HD 168625 = Boss 25037 are situated in the immediate vicinity
161,"of the nebula, and they may be partly responsible for the nebular light."
162,"IC 4715. Disc. Barnard 1908 (85). (93 Pl 29, Pl 31 Pl 32). R. A remarkable"
162,"nebulous star-cloud in Sagittarius, which deserves further study."
163,"IC 1287. Disc. Barnard 1892 (51). FA 86. (88 Pl 57, 93 Pl 34 Pl 35, 190,"
163,"294, 297, 339, 366, 482, 486, 630 Pl 7 Pl 8, 715).  R."
163,-10 4713 = HD 170740 = Boss 25282.
164,The nebula connected with Nova Aquilae 1918.
164,"Disc. Barnard 1918 (ApJ 49 p 199, 1919)."
165,a = IC 4812 = The nebula connected with the stars:
165,"-37 13017 = HD 176269 = Boss 26099, and -37 13018 = HD 176270 = Boss 26100."
165,Disc. Stewart 1908 (852). References: See below!
165,b = NGC 6726 + NGC 6727. NGC 6726 = GC 5935. NGC 6727 = GC 5936. Disc.
165,"Schmidt 1860. (375). FA 40. FA 63. (366, 376, 385, 386, 486, 560, 832,"
165,856). R. -37 13023 = HD 176386 = Boss 26118. The star -37 13024 and the
165,nebula NGC 6727 are variable.
165,c = NGC 6729 = GC 5937 = The variable nebula connected with R Corona
165,"Austrina = e. Disc. Schmidt 1861. (217, 271, 366, 375, 386, 429, 430, 432,"
165,"433, 450, 482, 486, 579, 690, 693, 832)."
166,"Anon. 19h 2.7m, +4 11'. Disc. Kritzinger 1913 (440). R. Not identified."
166,"Although Kritzinger's description points to a nebulous star, the nature of"
166,this object deserves further study.
167,+22 3693 = HD 182918 nebulous. Disc. Miss Harwood 1928 =330). WP 152.
167,(630 Pl 13).
168,"+17 3986 nebulous. Source: (93) Pl 42. WP 152. (630 131 13, 715)."
169,"IC 1305. Disc. Espin 1893 (253). WP 152. (93 Pl 42, 630 Pl 13)."
170,"NGC 6820 = GC 5945. Disc. Marth. (114, 194, 550, 578)."
171,IC 1307. Disc. Espin 1893 (253). WP 151.
172,"Emission field (726) No 14. (630 Pl 16, 725)."
173,+34 3828 nebulous. Source: (93 Pl 43). WP 154. (715). R. The star
173,"responsible for the nebular light is stated to be +34 3828 (93). Then,"
173,+34 3830 = HD 189688 (spectrum K5) would only be aligned with the nebula.
174,Emission field (726) No 13. (725).
175,"IC 4954 + IC 4955. Disc. Barnard. WP 178. R. The subdivisions a, b, and c"
175,are according to Hubble (366).
176,The nebulous region around {gam} Cygni.
176,a = Emission field (726) No 11.
176,b = Emission field (726) No 10.
176,c = The nebula called {gam} Cygni a by Hubble in (366).
176,d = The nebula at +41 3731 = NGC 6914 a (according to Hubble).
176,e = The nebula at +41 3737 = NGC 6914 b (according to Hubble).
176,"f = The nebula designated {gam} Cygni b by Hubble (366). R. IC 1318,"
176,"discovered by Barnard in 1892 (54), refers to {gam} Cygni surrounded by"
176,large patches of nebulosity. The main parts are situated as given in the
176,"catalogue, and they are identical with Hubble's: {gam} Cygni a, b (No 176"
176,"c, f). NGC 6914 was discovered by Stephan in 1881 (702). WP 210. (38, 74,"
176,"88 Pl 76, 93 Pl 44, 114, 196, 208, 216, 239, 253, 288, 294, 304, 322, 337,"
176,"366, 486, 621, 630 Pl 17. 715, 716, 718, 722, 725, 781, 806)."
176,{gam} Cygni = +39 4159 = HD 194093 = Boss 28338.
177,Emission field (726) No 12. (725). R
177,+36 3907 = HD 191610 = Boss 27980 177 = 28 (P) Cygni. There are numerous O
177,stars in the Cygnus cloud which may as well be the light-sources.
178,IC 1310. Disc. Espin 1893 (253). R. Not identified.
179,"NGC 6888 = GC 4561 = H IV 72. Disc. 1792. (93 Pl 43 Pl 44, 114, 208, 216,"
179,"366, 550, 578, 615 Pl 21, 630 Pl 16 Pl 17, 631, 715),"
179,R. +37 3821 = HD 192163 = Boss 28056.
180,+36 4105 = HD 195593 = Boss 28551 = 44 Cygni nebulous. R. The nebula
180,probably has a continuous spectrum with it faint emission foreground
180,(727 No 78) which is to be ascribed to an extension of the {gam} Cygni
180,nebulosities.
181,+45 3216 nebulous. Source: (93) Pl 45.
182,The nebulous wreath in Cygnus.
182,a = NGC 6960 = GC 4600 = h 2088 = H V 15. Disc. 1784.
182,b = NGC 6992 = GC 4616 = h 2092 = H V 14. Disc. 1784.
182,"c = NGC 6995 = GC 4618 = h 2093. WP 179. (18, 31, 33, 64, 80, 88 Pl 79 Pl"
182,"80, 92, 114, 174, 208, 210, 216, 238, 240, 241, 304, 321, 365, 366, 415,"
182,"421, 448, 495, 520, 563, 578, 586, 588, 602, 603 Pl 45, 615 Pl 25, 630 Pl"
182,"16 Pl 17, 631, 642, 774, 780, 787, 815, 817, 820, 822). R. The nebulous"
182,star NGC 6974 = GC 5975 (not identified) probably refers to a part of
182,"""the wreath"", as does also NGC 6979 = GC 4607 = H II 206. IC 1340 is a"
182,part of NGC 6995.
183,"The region of the ""North America nebula""."
183,a = IC 5067.
183,b = IC 5068.
183,"c = IC 5070 = ""The Pelican nebula""."
183,"a, b, and c disc. by Espin in 1900 (254)."
183,d = NGC 7000 = GC 4621 = h 2096 = H V 37. Disc. 1786. The photographical
183,"appearance of the nebula made Wolf suggest the name: ""The America nebula""."
183,"John Herschel's visual observations showed ""an immense nebulosity; too"
183,"ill defined to fix the limits"". WP 198. (54, 74, 78, 93 Pl 45 Pl 46, 114,"
183,"148, 174, 208, 216, 238, 239, 288, 289, 294, 304, 366, 413, 414, 420, 423,"
