RCW,add,Text
93,--,Like a planetary in appearance.
94,--,Circular and filamentary.
96,--,Appears to be surrounding a star.
98,--,Appears to be distributed about a faint central star.
100,--,Stellar-like.
101,--,Stellar-like.
106,--,"Contains two bright areas: 16h 15m.5, -50 deg 51'(20' X 7'); 16h 17 m.0,"
106,--,-50 deg 42'(12 X 12).
107,--,Bright region near RCW108.
108,--,"Irregular intensity variation with bright region at 16h 36m, -48 deg"
108,--,30'(60' X 60').
109,--,Stellar-like.
110,--,Could be connected to RCW 113 by faint emission.
111,--,"Near RCW110, possibly connected."
113,--,Large loop of ionization in region of fainter emission. Boundries: (16h
113,--,"37m, -41 deg 50') to (16h 58m, -41 deg 30'); and (16h 50', -43 deg 30') to"
113,--,"(16h 45m, -39 deg 40')."
114,--,Ring of emission 50' wide.
116,--,Concentration inside RCW113 (Editors note; not present in table2&3).
116,*,Not present in table 2 or 3 of original publication. The notes to table 2
116,*,"and 3 from the original said ""116 Concentration inside (RCW)113."" This"
116,*,was added to the table to provide a complete list of all 182 objects in
116,*,the RCW.
119,--,"Filamentary, with bright concentration at 16h 57m.4 -38 deg 13' (15' X15')."
120,--,Contains dark central rift.
123,--,Loop.
127,--,"Faint extensions to 17h 10m, -35 deg 30'. Composed mainly of four bright"
127,--,concentrations.
127,*,"Other cross identifications given in the original are G61,62,63, 64a,b,c."
129,--,Region contains the star Tau Sco.
130,--,Appears to be a more concentrated region of a large area of diffuse
130,--,emission.
131,--,"Concentrations at: 17h 21m.0, -33 deg 58'(30' X30'); 17h 21m.8, -34 deg"
131,--,"10'(9' X9'); 17h 23m.1, -34 deg 27'(6' X 6'); 17 23m.9, -34 deg 03'(5' X"
131,--,5').
131,*,Other cross identifications given in the original are E8.
132,--,"Crescent-shaped bright region with faint extensions to 17h35m,-34deg"
132,*,Other cross identifications given in the original are E11.
133,--,Almost circular.
134,--,Circular.
136,--,Stellar in appearance.
137,--,Near galactic centre.
138,--,Diffuse edges.
140,--,Perhaps connected to RCW141.
144,--,Circular.
146,--,"Main bright area divided in three, probably by obscuration, with centres:"
146,--,"18h 01m.8, -24 deg 12'(100' X 45'); 18h 03m.0, -23 deg 30' (45' X 45'); 18h"
146,--,"06m.5, -23 deg 50'(60' X 50')."
146,*,"Other cross identifications given in the original: HS126; E23,27, 29,30;"
146,*,"G72,75."
147,--,Almost circular.
150,--,Stellar in appearance.
151,--,"Band of emission, one side bounded by heavy obscuration."
152,--,Stellar in appearance.
153,--,"Faint region with bright area [18h 14m.7, -19 deg 40'(19' X 19')] at one"
153,--,end.
153,*,The original also gave cross identifications as E39; G78.
155,--,"Two concentrations: 18h 08m.9, -17 deg 36'(7' X 7'); 18h 09m.3, -17 deg"
155,--,40'(8' X 5').
156,--,Possibly local concentration of general diffuse emmission present. Brighter
156,--,"region at 18h 14m.0, -17 deg 18'(40' X 20')."
157,--,"Faint extensions to 18h 01m,-14 deg 00(E25); and 18h 14m,-17 deg 00."
157,--,[Editors note E25 is designation from Sharpless (1953)].
157,*,The original also gave cross identifications as E35.
159,--,Surrounded by diffuse emission.
160,--,Surrounded by diffuse emission 40' wide.
160,*,"The original also gives HS144, 145; E43; G81a,b."
162,--,"Oval-shaped, possible concentration of general diffuse emission present."
165,--,Appears connected with adjacent regions by diffuse emission.
166,--,Surrounded by diffuse emission.
165,*,The original also gives E42.
169,--,Circular region.
175,--,Crescent-shaped.
180,--,Stellar-like.
