# Object ID	RaDec	Con	Type	Magn	Size
n1596	042737.8-550137	Dor	eg	11.16:12.10	3.72x0.95 20°
n1546	041436.7-560339	Dor	eg	10.92:11.8	3.02x1.66 147°
n6503	174927.7+700841	Dra	eg	10.23:10.91	7.08x2.40 123°
n5908	151643.5+552440	Dra	eg	11.83:12.79	3.24x1.23 154°
n5905	151523.2+553105	Dra	eg	:12.49p	3.98x2.63 135°
n5879 	150947.2+570006	Dra	eg	11.58:12.22	4.17x1.35 0°
n4319 "with qso mrk205"	122143.9+751928	Dra	eg	:12.80p	2.95x2.29 160°
n1389	033711.8-354442	For	eg	11.50:12.42	2.29x1.38 30°
n1385	033728.0-243012	For	eg	10.94:11.45	3.39x2.00 165°
n1381	033631.5-351739	For	eg	11.50:12.44	2.69x0.74 139°
n1380	033626.9-345833	For	eg	9.93:10.87	4.79x2.29 7°
n1379	033603.3-352626	For	eg	10.91:11.80	2.40x2.29 7°
n1371	033500.7-245604	For	eg	10.67:11.57	5.62x3.89 135°
i5264	134137.0-295450	Gru	eg	12.00:12.60	2.51x1.51
n7418	225641.8-364621	Gru	eg	:13.82p	3.72x1.82 83°
n7421	225654.6-372044	Gru	eg	11.93:12.56	2.04x1.82
dodz9	1808.8+3132	Her	oc		34
n3904	114913.3-291635	Hya	eg	10.85:11.83	2.69x1.95 8°
n5078	131950.4-272432	Hya	eg	10.96:12.0	3.98x1.95 148°
n5101	132146.7-272553	Hya	eg	10.57:11.6	5.37x4.57
i1434	2210.5+5250	Lac	oc	9.0p 12pm*	8
n3608	111658.7+180857	Leo	eg	10.76:11.70	3.16x2.57 75°
n3605	111646.7+180104	Leo	eg	12.27:13.13	1.55x1.02 17°
n3003	094836.0+332518	LMi	eg	11.90:12.33	5.75x1.35 79°
n5822	154604-3747.2	Lup	gc	7.6 13.2m*	9.8 round
n2251	0634.7+0822	Mon	oc	7.3 9.1m*	10 oval
cr106	0637.1+0558	Mon	oc	4.6p	45
n2264 S Mon oc=Cone gn=Christmas Tree oc	0641.0+0953	Mon	oc	3.9 5pm*	20
n2301 "Line-shaped oc"=Great Bird oc	0651.8+0029	Mon	oc	6.0 8.01m*	12 i
n2353	0714.6-1018	Mon	oc	7.1 9.19m*	20
n6031	1607.6-5403	Nor	oc	8.5 10.85m*	2.0
n6342	172110-1935.2	Oph	pn	9.5 15.0pm*	3.0
ic4665	1746.2+0543	Oph	oc	4.2 6.86m*	41
Pipe_Nebula	1728.4-2632	Oph	dn		7°x1.5°
ic4604	162535-2326.1	Oph	gn	vFT 4.61m*	60x25
cr69 LAMBDA Ori oc	0535.0+0956	Ori	oc	2.8p	65
n1980	0535.2-0555	Ori	gn	2.77m*	14x14
n1981	0535.2-0425	Ori	oc	4.6 6.26m*	25
n7320 Stephan's Quintet	223601+335757	Peg	gg	11.1	3.2
tr2 cr29	0237.3+5559	Per	oc	5.9 7.4m*	20
n1528	0415.4+5114	Per	oc	6.4 8.7m*	24
n1582	0432.1+4352	Per	oc	7.0 9pm*	37
n383 Psc Cloud	010727+322319	Psc	gg		
n2423	0737.1-1351	Pup	oc	6.7 9.02m*	19
n2818	0916.0-3635	Pyx	oc	8.2 17m*	9 round
n6242	1655.7-3928	Sco	oc	6.4 7.28m*	9
n7793	235749.5-323524	Scl	eg	9.11:9.63	9.33x6.31 98°
Scutum_Star_Cloud	1845-07	Sct	sc		
b318	1849.7-0624	Sct	dn		90x2
i4756 Graff oc	1838.9+0526	Ser	oc	5.4p 8.67m*	52
n6558	181018-3145.8	Sgr	gc	8.6	3.7 round
n1514	040917.00+304633.3	Tau	pn	10 9.40m*	120"x90"
n1647	0446.0+1905	Tau	oc	6.4 8.61m*	45
n604	0134.5+3048	Tri	xn	BT	45" round
n292 Nebecula Minor=Small Magellanic Cloud	005238.1-724801	Tuc	eg	2.25:2.70	316.23x186.21
n346	0059.0-7211	Tuc	sn	2.47m*	14x11
n3073	100051.9+553713	UMa	eg	13.40:14.07	1.29x1.20
n3179	101757.1+410652	UMa	eg	:14.09p	1.86x0.55 48°
n3893	114839.1+484240	UMa	eg	:11.16	4.47x2.75 165°
n3896	114857.0+484030	UMa	eg	:13.89p	1.41x1.00 125°
n3938	115249.8+440726	UMa	eg	10.38:10.90	5.37x4.90
n3949	115341.5+475135	UMa	eg	11.09:11.54	2.88x1.66 120°
n4085	120522.9+502114	UMa	eg	12.37:12.95	2.82x0.79 78°
n4290	122048.4+580532	UMa	eg	:12.66p	2.34x1.62 90°
u7089	120559.1+430856	UMa	eg	:14.4p	3.24x0.66 36°
n2547	0810.7-4915	Vel	oc	4.7 6.47m*	20
i2395	0841.1-4811	Vel	oc	4.6 5.53m*	8
n2670	0845.5-4846	Vel	oc	7.8 9.31m*	9
Tr10 cr203	0847.8-4228	Vel	oc	4.6 6.42m*	15
n2736	0900.4-4554	Vel	gn	xFT	vLG oval 19°
n2792	091226.52-422541.1	Vel	pn	13.5 15.74m*	13"x13"
n4168	121216.5+131224	Vir	eg	11.18:12.11	2.75x2.29
n4193	121353.5+131028	Vir	eg	12.31:13.18	2.04x1.05 93°
n4206	121516.6+130130	Vir	eg	12.15:12.82	6.17x1.17 0°
n4222	121622.7+131831	Vir	eg	:13.86	3.31x0.46 56°
n4267	121945.7+124757	Vir	eg	10.93:11.86	3.24x3.02
n4292	122116.4+043547	Vir	eg	12.21:13.09	1.66x1.15 7°
n4303a	122226.7+043358	Vir	eg	12.99:13.40	1.55x1.29
n4365	122427.9+071906	Vir	eg	9.56:10.52	6.92x5.01 40°
n4387	122541.8+124842	Vir	eg	12.12:13.01	1.78x1.10 140°
n4402	122607.9+130646	Vir	eg	11.73:12.55	3.89x1.10 90°
n4413	122631.8+123635	Vir	eg	12.25:12.99p	2.34x1.51 60°
n4425	122713.4+124409	Vir	eg	11.83:12.73	2.95x1.00 27°
n4435	122740.6+130448	Vir	eg	10.80:11.74	2.75x2.00 13°
n4458	122857.8+131435	Vir	eg	12.07:12.93	1.74x1.58
n4461	122903.0+131108	Vir	eg	11.19:12.09	3.55x1.45 9°
n4473	122948.8+132549	Vir	eg	10.20:11.16	4.47x2.51 100°
n4476	122958.7+122053	Vir	eg	12.19:13.01	1.70x1.17 25°
n4478	123017.4+121944	Vir	eg	11.45:12.36	1.91x1.62 140°
n4486a	1230.9+1216	Vir	eg	11.2	1.3x1.1
n4531	123416.1+130435	Vir	eg	:12.42	3.09x2.04 155°
n4564	123627.0+112621	Vir	eg	11.12:12.05	3.55x1.48 47°
n4567	123632.8+111531	Vir	eg	11.31:12.06	2.95x2.00 85°
n4568	123634.7+111415	Vir	eg	10.81:11.68	4.57x2.00 23°
n4570	123653.3+071452	Vir	eg	10.90:11.84	3.80x1.15 159°
i3583	123643.8+131531	Vir	eg	:13.31	2.19x1.12 0°
n4606	124057.8+115441	Vir	eg	11.83:12.67	3.24x1.62 33°
n4607	124112.2+115309	Vir	eg	12.83:13.75	2.88x0.66 2°
n4637	124254.2+112612	Vir	eg	:14.82	1.17x0.49 97°
n4638	124247.7+112635	Vir	eg	11.19:12.13	2.24x1.38 125°
n4647	124332.4+113456	Vir	eg	11.29:11.94	2.88x2.29 125°
n4703	124919.0-090632	Vir	eg	:14.5p	2.95x0.58 30°
n4731	125101.1-062329	Vir	eg	11.47:11.90	6.61x3.24 85°
i3826	125137.2-082437	Vir	eg	:15p	1.91x0.78 3°
n4739	125137.2-082437	Vir	eg	:14p	1.62x1.41
n4754	125217.7+111849	Vir	eg	10.60:11.52	4.57x2.45 23°
n4759 n4764	125306.8-091529	Vir	eg	:15.98	0.10x0.10
n5084	132016.8-214937	Vir	eg	10.52:11.63	9.33x1.74 80°
n5087	132025.3-203637	Vir	eg	11.39:12.40	2.34x1.70 10°
n5740	144424.6+014046	Vir	eg	11.86:12.56	2.95x1.51 160°
cr399 Coathanger oc=Brocchi's oc	1925.4+2011	Vul	oc	3.6 5.2m*	60
n6802	1930.6+2017	Vul	oc	8.8 12.93m*	3.2 oval 0°
n6940	2034.6+2819	Vul	oc	6.3 9.31m*	31
