Note,ID, ,hr,min,deg,min,Con.,Type,2000,Uran,VPSA,V-mag,arc-min,Brightness,C1,MDM,Comments
*,NGC 604, ,1,34.5,30,46,Tri,Neb,4,91,94,?,1x1, , , ,HII region in M33
 ,NGC 613, ,1,34.3,-29,25,Scl,SBc,18,352,306,11.1,3.0x2.0,21.7,1,38, 
 ,NGC 615, ,1,35.1,-7,20,Cet,Sb,10,263,234,12.6,2.7x0.8,22.1,0.9,96, 
*,NGC 628,M74,1,36.7,15,47,Psc,Sc,10,173,126,9,9.0x9.0,22.4,0.7,9,M74
!*,NGC 650-,1 M76,1,41.9,51,34,Per,Plan,1,37,41,10,1.5x0.7,18.7,2.2,110,M76
 ,NGC 663, ,1,46.0,61,16,Cas,OpCl,1,16,23,7,11x11,20.8,1.4,7,80 stars mag 9+
 ,NGC 672, ,1,47.8,27,26,Tri,SBc,4,128,126,11.6,4.5x1.7,22.4,0.7,45, 
 ,NGC 681, ,1,49.2,-10,25,Cet,Sa,10,263,234,12.9,1.3x1.2,22,0.9,64,similar to M104
 ,NGC 752, ,1,57.8,37,41,And,OpCl,4,92,66,7.5,45x45,24.4,-0.1,2,70 stars mag 9+
 ,NGC 779, ,1,59.7,-5,57,Cet,Sb,10,264,234,11.8,3.0x0.5,20.9,1.4,154,edge-on spiral
!!!!,NGC 869, ,2,19.0,57,9,Per,OpCl,1,37,23,4.4,35x35,20.7,1.4,2,the Double Cluster
!!!!,NGC 884, ,2,22.4,57,7,Per,OpCl,1,37,23,4.7,35x35,21,1.3,2,the Double Cluster
*,NGC 891, ,2,22.4,42,21,And,Sb,4,62,66,12.2,12.0x1.0,23.5,0.3,77, 
 ,NGC 908, ,2,23.1,-21,13,Cet,Sc,18,309,271,11.1,4.0x1.3,21.5,1.1,59, 
 ,I.1805, ,2,33.4,61,26,Cas,Neb,1,17,23,9,60x60,26.5,-0.9,1,Running Dog Nebula w/I.1795
 ,NGC 925, ,2,27.3,33,36,Tri,Sb,4,93,95,12,9.4x9.4,25.5,-0.5,8, 
 ,NGC 936, ,2,27.6,-1,9,Cet,SBa,10,220,199,11.3,3.0x2.0,21.9,1,38,near NGC 941
 ,NGC 941, ,2,28.5,-1,9,Cet,Sc,10,220,199,12.9,1.9x1.3,22.5,0.7,59,near NGC 936
 ,NGC 972, ,2,34.2,29,19,Ari,Sc,4,93,95,12.3,2.7x1.0,22,0.9,77, 
 ,For.Sys, ,2,39.1,-34,27,For,Irr,18,354,307,9,65x65,26.7,-1,1,Fornax System
 ,NGC 1023, ,2,40.3,39,5,Per,E7,4,62,67,11,4.5x1.3,21.5,1.1,59, 
 ,NGC 1049, ,2,39.8,-34,16,For,Glob,18,354,307,13,0.4x0.4,19.6,1.8,192,in Fornax System
!,NGC 1039,M34,2,42.0,42,47,Per,OpCl,4,62,67,6,20x20,21.1,1.2,4,M34
 ,NGC 1055, ,2,41.8,0,29,Cet,Sb,10,220,199,12,5.0x1.0,22.4,0.7,77,similar to M104
*,NGC 1068,M77,2,42.7,0,1,Cet,Sb,10,220,199,10,2.5x1.7,20.2,1.6,45,M77
 ,NGC 1073, ,2,43.8,1,23,Cet,Sbc,10,220,200,12,4.0x4.0,23.6,0.2,19, 
 ,NGC 1084, ,2,46.0,-7,34,Eri,Sc,10,265,236,11.1,2.1x1.0,20.5,1.5,77, 
 ,NGC 1087, ,2,46.5,0,29,Cet,Sc,10,220,200,11.2,2.3x2.3,21.6,1,33, 
 ,NGC 1090, ,2,46.6,0,14,Cet,Sb,10,220,200,12.8,4.0x1.5,23.4,0.4,51,near NGC 1087
 ,NGC 1097, ,2,46.4,-30,16,For,SBb,18,354,307,10.6,9.0x5.5,23.5,0.3,14, 
 ,NGC 1156, ,2,59.6,25,15,Ari,Irr,4,131,95,12.5,2.0x1.5,22.3,0.8,51, 
 ,NGC 1187, ,3,2.6,-22,52,Eri,SBc,18,311,272,11.3,5.5x4.0,23.3,0.4,19, 
 ,NGC 1232, ,3,9.8,-20,35,Eri,Sc,18,311,272,10.7,7.0x6.0,23.4,0.3,13, 
 ,NGC 1261, ,3,12.3,-55,14,Hor,Glob,24,419,390,12.5,2.4x1.0,22.1,0.9,77, 
 ,NGC 1245, ,3,14.6,47,14,Per,OpCl,4,63,43,9,20x20,24.1,0,4, 
 ,NGC 1291, ,3,17.3,-41,6,Eri,SB,18,390,339,10.2,5.0x2.0,21.3,1.2,38, 
 ,NGC 1300, ,3,19.8,-19,24,Eri,SBb,10,311,272,11.3,6.0x3.2,23.1,0.4,24,nice barred spiral
 ,NGC 1313, ,3,18.2,-66,29,Ret,SB,24,443,407,10.8,5.0x3.2,22.4,0.7,24, 
 ,NGC 1316, ,3,22.6,-37,14,For,SOp,18,355,339,10.1,3.5x2.5,21.1,1.3,31,Member of Fornax Cluster of Galaxies
 ,NGC 1317, ,3,22.7,-37,6,For,Sb,18,355,339,12.2,0.7x0.6,19.9,1.7,128,Member of Fornax Cluster of Galaxies
 ,NGC 1326, ,3,23.9,-36,28,For,Sb,18,355,339,11.8,3.0x2.5,22.6,0.7,31,Member of Fornax Cluster of Galaxies
 ,NGC 1341, ,3,28.0,-37,9,For,Sba,18,355,340,13.1,0.8x0.8,21.2,1.2,96,Member of Fornax Cluster of Galaxies
 ,NGC 1351, ,3,30.5,-34,52,For,E4,18,355,340,12.8,0.8x0.6,20.6,1.4,128,Member of Fornax Cluster of Galaxies
 ,NGC 1350, ,3,31.1,-33,37,For,Sb,18,355,308,11.8,3.0x1.5,22.1,0.9,51,Member of Fornax Cluster of Galaxies
 ,NGC 1360, ,3,33.1,-25,50,For,Plan,18,312,308,?,6.0x4.5, , , ,central star mag 9
*,NGC 1365, ,3,33.7,-36,8,For,Sb,18,355,340,11.2,8.0x3.5,23.4,0.3,22,Member of Fornax Cluster of Galaxies
 ,NGC 1374, ,3,35.3,-35,14,For,E0,18,355,340,12.4,0.8x0.8,20.5,1.5,96,Member of Fornax Cluster of Galaxies
 ,NGC 1379, ,3,36.1,-35,27,For,E0,18,355,340,12.3,0.6x0.6,19.8,1.8,128,Member of Fornax Cluster of Galaxies
 ,NGC 1380, ,3,36.5,-34,59,For,E7,18,355,340,11.4,3.0x1.0,21.2,1.2,77,Member of Fornax Cluster of Galaxies
 ,NGC 1381, ,3,36.6,-35,18,For,E7,18,355,340,12.6,2.0x0.5,21.2,1.2,154,Member of Fornax Cluster of Galaxies
 ,NGC 1386, ,3,36.9,-36,0,Eri,S,18,355,340,12.4,2.5x1.0,22,0.9,77,Member of Fornax Cluster of Galaxies
 ,NGC 1387, ,3,37.0,-35,31,For,S0,18,355,340,12.1,1.0x0.9,20.6,1.5,85,Member of Fornax Cluster of Galaxies
 ,NGC 1389, ,3,37.2,-35,45,Eri,E,18,355,340,12.8,1.0x1.8,22.1,0.9,77,Member of Fornax Cluster of Galaxies
 ,NGC 1395, ,3,38.5,-23,1,Eri,E3,18,312,273,10.2,5.0x2.0,21.3,1.2,38, 
 ,NGC 1399, ,3,38.5,-35,27,For,E0,18,355,340,10.9,1.4x1.4,20.3,1.6,55,Member of Fornax Cluster of Galaxies
 ,NGC 1398, ,3,38.9,-26,20,For,SBb,18,312,308,10.7,4.5x3.8,22.4,0.7,20, 
 ,NGC 1404, ,3,38.9,-35,35,For,E1,18,355,340,11.5,1.0x1.0,20.1,1.6,77,Member of Fornax Cluster of Galaxies
 ,NGC 1400, ,3,39.5,-18,41,Eri,E1,11,312,273,12.4,0.7x0.7,20.3,1.6,110,near NGC 1407
 ,NGC 1407, ,3,40.2,-18,34,Eri,E0,11,312,273,11.4,0.8x0.8,19.5,1.9,96,near NGC 1400
 ,NGC 1427, ,3,42.3,-35,24,For,E3,18,356,340,12.4,1.4x1.0,21.4,1.1,77,Member of Fornax Cluster of Galaxies
 ,NGC 1433, ,3,42.0,-47,14,Hor,SBa,18,391,367,11.4,7.0x6.0,24.1,0.1,13, 
 ,I.342, ,3,46.7,68,6,Cam,Sc,1,18,11,12,15x15,26.5,-0.9,5, 
 ,NGC 1437, ,3,43.6,-35,52,Eri,S,18,356,340,12.9,2.0x1.5,22.7,0.6,51,Member of Fornax Cluster of Galaxies
*,NGC 1435, ,3,46.2,23,45,Tau,Neb,4,132,129,6.8,15x20,21.6,1.1,5,Merope Nebula in M45
!!!!*,M45,M45,3,46.9,24,7,Tau,OpCl,4,132,129,1.4,100x100,20,1.7,1,"M45, the Pleiades"
 ,NGC 1491, ,4,3.3,51,18,Per,Neb,1,39,43,?,3x3,?, , , 
 ,NGC 1499, ,4,3.4,36,25,Per,Neb,5,95,68,6,145x40,24,0.1,2,"California Nebula, see Notes"
 ,NGC 1501, ,4,6.9,60,55,Cam,Plan,1,39,25,12,0.9x0.8,20.3,1.6,96,central star mag 13.5
 ,NGC 1502, ,4,7.4,62,19,Cam,OpCl,1,18,25,7,8x8,20.1,1.6,10,25 stars mag 8+
 ,NGC 1514, ,4,9.2,30,46,Tau,Plan,5,95,97,11,2.0x2.0,21.1,1.2,38,central star mag 10
 ,NGC 1513, ,4,9.9,49,31,Per,OpCl,5,64,44,9,12x12,23,0.5,6, 
 ,NGC 1531, ,4,12.0,-32,51,Eri,E3,19,356,309,13,0.5x0.3,19.6,1.9,256,near NGC 1532
 ,NGC 1532, ,4,12.1,-32,52,Eri,Sb,19,356,309,11.8,5.0x1.0,22.2,0.8,77,near NGC 1531
 ,NGC 1528, ,4,15.2,51,15,Per,OpCl,1,39,44,6,25x25,21.6,1.1,3,about 80 stars
 ,NGC 1535, ,4,14.4,-12,44,Eri,Plan,11,268,238,9,0.3x0.3,15,3.7,256,central star mag 11.5
 ,NGC 1549, ,4,15.8,-55,35,Dor,E1,24,420,391,11,2.8x2.5,21.7,1,31,near NGC 1553
 ,NGC 1553, ,4,16.3,-55,47,Dor,S0,24,420,391,10.2,3.1x2.3,21,1.3,33, 
 ,NGC 1559, ,4,17.6,-62,48,Ret,SB,24,444,391,11.1,3.0x1.5,21.4,1.2,51, 
 ,NGC 1566, ,4,20.0,-54,57,Dor,Sb,24,420,391,10.5,5.0x4.0,22.4,0.7,19, 
 ,NGC 1555, ,4,21.9,19,32,Tau,Neb,11,133,130,var,0.5x0.5,-, , ,Hind's Variable Nebula
 ,NGC 1579, ,4,30.2,35,17,Per,Neb,5,96,69,?,8x12,?, , , 
 ,NGC 1624, ,4,40.3,50,27,Per,Neb,1,40,44,?,3x3,?, , ,nebula around 7 stars
 ,NGC 1637, ,4,41.4,-2,50,Eri,Sc,11,224,202,11.4,2.7x2.0,21.9,1,38, 
S,NGC 1647, ,4,46.1,19,5,Tau,OpCl,11,134,131,6.5,40x40,23.1,0.4,2,25 stars mag 8 to 13
 ,NGC 1746, ,5,3.6,23,48,Tau,OpCl,5,134,131,6,45x45,22.9,0.5,2,50 stars mag 8+
 ,NGC 1792, ,5,5.2,-38,0,Col,Sc,19,358,341,10.7,3.0x1.0,20.5,1.5,77, 
 ,NGC 1807, ,5,10.7,16,32,Tau,OpCl,11,180,131,7.5,10x10,21.1,1.2,8,15 stars mag 8 to 9
 ,NGC 1817, ,5,12.1,16,42,Tau,OpCl,11,180,131,8,15x15,22.5,0.7,5,50 stars mag 10+
 ,NGC 1832, ,5,12.3,-15,43,Lep,Sc,11,270,275,12.3,2.1x1.1,21.8,1,70, 
 ,NGC 1851, ,5,14.0,-40,2,Col,Glob,19,393,342,7,5x5,19.1,2.1,15, 
 ,I.405, ,5,16.3,34,19,Aur,Neb,5,97,99,10,18x30,25.5,-0.5,4,nebula with AE Aurigae
 ,NGC 1857, ,5,20.1,39,21,Aur,OpCl,5,66,70,7,9x9,20.4,1.5,9,45 stars mag 8+
 ,I.410, ,5,22.6,33,31,Aur,Neb,5,97,99,9,20x20,24.1,0,4, 
 ,NGC 1893, ,5,22.6,33,24,Aur,OpCl,5,97,99,8,12x12,22,0.9,6,"near I.410, 20 stars mag 9 to 12"
!!!!,LMC, ,5,19.7,-68,57,Dor,Irr,24,444,409,1,360x360,22.4,0.7,1,Large Magellanic Cloud
 ,NGC 1904,M79,5,24.3,-24,31,Lep,Glob,19,315,276,8.4,7.5x7.5,21.4,1.1,10,M79
 ,NGC 1912,M38,5,28.7,35,51,Aur,OpCl,5,97,70,6.2,20x20,21.3,1.2,4,"M38, 150 stars mag 8+"
 ,NGC 1964, ,5,33.3,-21,57,Lep,Sb,19,315,276,11.8,5.0x1.6,22.7,0.6,48, 
!*,NGC 1952,M1,5,34.5,22,1,Tau,Neb,5,135,132,9,5x3,20.6,1.5,26,"M1, the Crab Nebula"
 ,NGC 1960,M36,5,36.2,34,9,Aur,OpCl,5,97,99,6.3,12x12,20.3,1.6,6,"M36, 60 stars mag 9+"
!!!!*,NGC 1976,M42,5,35.4,-5,23,Ori,Neb,11,225,240,4,65x65,21.7,1,1,"M42, the Great Nebula in Orion"
 ,NGC 1977, ,5,35.5,-4,52,Ori,Neb,11,225,204,7,40x25,23.1,0.4,3,"includes NGC 1973, 1975"
!!*,NGC 1982,M43,5,35.6,-5,16,Ori,Neb,11,225,240,8,7x5,20.5,1.5,15,M43
 ,NGC 1999, ,5,36.5,-6,43,Ori,Neb,11,271,240,9,2x2,19.1,2,38,near M43
*,B33, ,5,40.9,-2,28,Ori,DNeb,11,226,204,-,6x4,-,-, ,Horsehead Nebula
*,I.434, ,5,41.1,-2,24,Ori,Neb,11,226,204,?,60x12,?, , ,"contains Horsehead Nebula, B33"
*,NGC 2023, ,5,41.7,-2,13,Ori,Neb,11,226,204,?,10x10,?, , , 
!*,NGC 2024, ,5,41.9,-1,50,Ori,Neb,11,226,204,?,20x20,?, , ,beautiful complex detail
!!!,NGC 2070, ,5,39.6,-69,3,Dor,Neb,24,445,409,~5.?,20x20,~20.1,1.7,4,Tarantula Nebula
!*,NGC 2068,M78,5,46.8,0,3,Ori,Neb,11,226,204,8,8x6,20.8,1.4,13,M78
*,NGC 2071, ,5,47.2,0,18,Ori,Neb,11,226,204,?,4x3,?, , ,15' NE from NGC 2068
!,NGC 2099,M37,5,52.3,32,34,Aur,OpCl,5,98,99,6.2,20x20,21.3,1.2,4,"M37, 150 stars mag 9+"
 ,Barn. Lo,op,5,55.0,-1,30,Ori,Neb,11,226,204,p 6.0,840x60,26.4,-0.9,1,Barnard's Loop: faint arc
S,NGC 2129, ,6,1.1,23,18,Gem,OpCl,5,136,132,7,5x5,19.1,2.1,15,about 50 stars
 ,NGC 2158, ,6,7.4,24,6,Gem,OpCl,5,136,133,11,4x4,22.6,0.6,19,near M35
!,NGC 2168,M35,6,8.8,24,20,Gem,OpCl,5,137,133,5.5,30x30,21.5,1.1,3,"M35, 120 stars mag 8+"
 ,NGC 2174, ,6,9.7,20,30,Ori,Neb,5,137,133,?,40x30, , , ,Ape Man Nebula; includes NGC 2175
 ,I.443, ,6,16.9,22,47,Gem,Neb,5,137,133,?,50x40, , , ,supernova remnant
 ,NGC 2207, ,6,16.4,-21,22,CMa,Sc,19,317,277,12.3,2.5x1.5,22.4,0.8,51,interacting pair of galaxies
 ,I.2165, ,6,21.9,-12,58,CMa,Plan,11,272,241,12.5,0.13x0.1,3 16.7,3,591, 
 ,NGC 2237,-9,6,32.3,5,3,Mon,Neb,12,227,169,9,60x80,26.8,-1,1,Rosette Nebula
!,NGC 2244, ,6,32.4,4,52,Mon,OpCl,12,227,205,5.5,40x40,22.1,0.8,2,cluster surrounding NGC 2237
!*,NGC 2261, ,6,39.1,8,43,Mon,Neb,12,182,169,10,2x2,20.1,1.6,38,Hubble's Variable Nebula
 ,NGC 2264, ,6,41.2,9,53,Mon,OpCl,12,183,169,5,15x26,20.1,1.7,5,cluster + Cone Nebula
!,NGC 2287,M41,6,47.0,-20,45,CMa,OpCl,19,318,278,6,30x30,22,0.9,3,M41
 ,NGC 2281, ,6,49.3,41,4,Aur,OpCl,5,68,71,6,15x15,20.5,1.5,5,about 30 stars mag 7+
 ,NGC 2323,M50,7,2.9,-8,20,Mon,OpCl,12,273,242,6,10x10,19.6,1.8,8,M50
 ,NGC 2346, ,7,9.3,0,49,Mon,Plan,12,228,206,10,1.0x0.9,18.5,2.3,85,central star variable mag 11+
 ,NGC 2276, ,7,28.2,85,47,Cep,Sc,1,1,1,12.4,2.5x2.0,22.8,0.6,38, 
 ,NGC 2359, ,7,17.7,-13,12,CMa,Neb,12,274,242,?,10x5, , , ,complex nebula around 10.4 mag star
 ,NGC 2360, ,7,17.7,-15,38,CMa,OpCl,12,274,278,9,10x10,22.6,0.6,8,50 stars mag 9 to 12
 ,NGC 2300, ,7,33.5,85,45,Cep,E2,1,1,1,12.2,1.0x1.7,21.4,1.1,77,NGC 2276 is 6' NW
 ,NGC 2362, ,7,18.7,-24,57,CMa,OpCl,19,319,278,4,6x6,16.5,3.1,13,40 stars & 4th mag 30 CMa
 ,NGC 2383, ,7,24.8,-20,56,CMa,OpCl,19,319,279,11,2x2,21.1,1.2,38,50 stars mag 12+
 ,NGC 2366, ,7,28.9,69,2,Cam,Irr,1,21,13,12.6,6.0x3.0,24.4,0,26, 
!,NGC 2392, ,7,29.2,20,55,Gem,Plan,5,139,135,8.3,0.7x0.7,16.2,3.2,110,Eskimo Nebula
 ,NGC 2403, ,7,36.8,65,36,Cam,Sc,1,21,13,8.8,16x10,22.9,0.5,8, 
 ,NGC 2421, ,7,36.3,-20,37,Pup,OpCl,19,319,279,10,8x8,23.1,0.4,10,about 60 stars
S,NGC 2422,M47,7,36.6,-14,30,Pup,OpCl,12,274,243,5,20x20,20.1,1.6,4,M47
 ,NGC 2419, ,7,38.2,38,53,Lyn,Glob,5,100,72,11.5,2x2,21.6,1,38,most distant globular in our Galaxy
!*,NGC 2437,M46,7,41.9,-14,49,Pup,OpCl,12,274,243,8,25x25,23.6,0.3,3,"M46, with planetary NGC 2438"
*,NGC 2438, ,7,41.9,-14,43,Pup,Plan,12,274,243,11,1.1x1.1,19.8,1.8,70,in M46
 ,NGC 2447,M93,7,44.5,-23,52,Pup,OpCl,19,320,279,7,18x18,21.9,0.9,4,M93
 ,NGC 2477, ,7,52.3,-38,33,Pup,OpCl,19,362,345,7,25x25,22.6,0.7,3,300 stars mag 11+
 ,NGC 2516, ,8,0.5,-60,52,Car,OpCl,25,424,393,6,60x60,23.5,0.3,1,100 stars mag 7 to 13
 ,NGC 2547, ,8,10.4,-49,16,Vel,OpCl,20,396,372,5.5,15x15,20,1.7,5,50 stars mag 7+
 ,NGC 2523, ,8,15.0,73,36,Cam,SBb,2,7,14,12.7,1.8x1.4,22.3,0.8,55,theta shape
 ,NGC 2546, ,8,12.4,-37,38,Pup,OpCl,20,362,345,8,25x25,23.6,0.3,3,50 stars mag 9+
 ,NGC 2548,M48,8,13.7,-5,47,Hya,OpCl,12,275,244,5.5,40x40,22.1,0.8,2,M48
 ,NGC 2613, ,8,33.4,-22,58,Pyx,Sb,20,321,280,10.9,6.4x1.5,22,0.9,51, 
 ,NGC 2627, ,8,37.3,-29,56,Pyx,OpCl,20,363,315,9,8x8,22.1,0.8,10,70 stars mag 11 to 13
 ,NGC 2623, ,8,38.4,25,46,Cnc,Pec,6,141,103,14,2.0x0.4,22.4,0.7,192,extending filaments
!!,NGC 2632,M44,8,40.4,19,41,Cnc,OpCl,12,141,136,4.5,80x80,22.6,0.6,1,"M44, Praesepe"
 ,NGC 2659, ,8,42.6,-44,57,Vel,OpCl,20,397,346,9.5,10x10,23.1,0.4,8,50 stars mag 11+
 ,H3, ,8,46.1,-52,47,Vel,OpCl,25,425,372,6,7x7,18.9,2.2,11,35 stars mag 10+
*,NGC 2682,M67,8,51.0,11,49,Cnc,OpCl,12,187,173,7,15x15,21.5,1.1,5,"M67, stars mag 10+"
 ,NGC 2683, ,8,52.7,33,27,Lyn,Sb,6,102,103,10.6,9.0x1.3,21.9,0.9,59, 
 ,NGC 2681, ,8,53.6,51,20,UMa,S0,2,44,48,11.3,2.8x2.5,22,0.9,31, 
 ,NGC 2782, ,9,14.1,40,7,Lyn,Sb,6,71,74,12.4,1.8x1.6,22.2,0.8,48,"distorted, extended filament"
 ,NGC 2818, ,9,16.0,-36,37,Pyx,OpCl,20,364,346,11,9x9,24.4,-0.1,9,contains 13th mag planetary nebula
 ,NGC 2841, ,9,22.1,50,59,UMa,Sb,2,44,49,10.3,6.2x2.0,21.7,1,38, 
 ,I.2488, ,9,27.2,-56,58,Vel,OpCl,25,425,395,7,20x20,22.1,0.8,4,50 stars mag 11+
 ,NGC 2910, ,9,30.1,-52,54,Vel,OpCl,25,426,373,8,6x6,20.5,1.5,13,30 stars mag 10+
*,NGC 2903, ,9,32.1,21,31,Leo,Sb,6,143,138,9.7,11.0x4.7,22.6,0.7,16, 
 ,NGC 2925, ,9,33.6,-53,26,Vel,OpCl,25,426,373,8,11x11,21.8,1,7,about 30 stars
 ,NGC 2976, ,9,47.3,67,54,UMa,Sc,2,23,14,10.8,3.4x1.9,21.5,1.1,40,member of M81 group
 ,NGC 2997, ,9,45.7,-31,12,Ant,Sc,20,365,317,11,6.0x5.0,23.3,0.4,15, 
!!*,NGC 3031,M81,9,55.6,69,4,UMa,Sa,2,23,14,8,18x10,22.3,0.8,8,M81 (near M82)
!!*,NGC 3034,M82,9,56.1,69,42,UMa,Irr,2,23,14,9.2,8.0x3.0,21.3,1.2,26,M82 (near M81)
 ,NGC 3077, ,10,3.4,68,44,UMa,E2,2,23,14,11,2.6x1.9,21.4,1.2,40,member of M81 group
 ,NGC 3109, ,10,3.1,-26,10,Hya,Irr,20,324,317,11.2,11.0x2.0,23.2,0.4,38, 
 ,NGC 3114, ,10,2.7,-60,8,Car,OpCl,25,426,395,8,40x40,24.6,-0.2,2,100 stars mag 9 to 13
 ,NGC 3115, ,10,5.3,-7,43,Sex,E7,13,279,247,10,4.0x1.0,20.1,1.6,77,Spindle Nebula
 ,NGC 3132, ,10,7.0,-40,26,Vel,Plan,20,399,347,8.2,1.4x1.4,17.6,2.7,55,central star mag 10
 ,NGC 3145, ,10,10.1,-12,25,Hya,SBb,13,279,247,12.5,2.4x1.0,22.1,0.9,77, 
 ,NGC 3166, ,10,13.8,3,25,Sex,Sa,13,234,211,11.5,4.0x1.5,22.1,0.9,51,near NGC 3169
 ,NGC 3169, ,10,14.3,3,28,Sex,Sb,13,234,211,11.4,3.9x1.7,22.1,0.9,45,near NGC 3166
 ,NGC 3147, ,10,17.1,73,24,Dra,Sb,2,8,15,11.3,3.0x2.3,22,0.9,33, 
 ,NGC 3185, ,10,17.7,21,41,Leo,SBa,6,144,139,12.7,1.5x0.9,21.7,1,85,"group with NGC 3187, 3193, 3190"
 ,NGC 3187, ,10,17.8,21,53,Leo,SBc,6,144,139,13,1.0x1.3,21.9,0.9,77, 
 ,NGC 3184, ,10,18.2,41,25,UMa,Sc,6,72,75,10.5,5.5x5.5,22.8,0.6,14, 
 ,NGC 3190, ,10,18.2,21,50,Leo,Sb,6,144,139,12,3.0x1.0,21.8,1,77, 
 ,NGC 3201, ,10,17.6,-46,24,Vel,Glob,20,399,374,8.5,10x10,22.1,0.8,8, 
