#  Object      R.A.    DEC     Mag    PA*   Type     Size      Const  Urn  SA   
                                                                      
NGC6208    16 49.5  -53 49  7.2    -----  OpCl  15.0'        Ara    433  26   
NGC6231    16 54.0  -41 48  2.6    -----  OpCl  14.0'        Sco    407  22   
                                                                      
H13      17 05.4  -48 11  9.0    -----  OpCl  15.0'        Ara    407  22   
IC4651    17 24.7  -49 57  6.9    -----  OpCl  12.0'        Ara    408  22   
NGC6352    17 25.5  -48 25  8.1    -----  GbCl  7.1'         Ara    408  22   
NGC6362    17 31.9  -67 03  8.3    -----  GbCl  10.7'        Ara    455  26   
NGC6397    17 40.7  -53 40  5.7    -----  GbCl  25.7'        Ara    434  26   
                                                                      
NGC6541    18 08.0  -43 42  6.1    -----  GbCl  13.0'        CrA    409  22   
NGC6584    18 18.6  -52 13  9.2    -----  GbCl  7.9'         Tel    434  26   
NGC6752    19 10.9  -59 59  5.4    -----  GbCl  20.4'        Pav    435  26   
